"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO"
"SLC25A5",9.98803245561193,9.51770273418336,8.75502003924715,9.70087170712934,10.1245067818355,9.9213306209718,9.8086554210554,9.980689341175,9.27354839613682,10.6579722326063,10.1016341603633,10.776013774387,10.0332453459766,10.0342288657932,8.93896729706236,8.26827539782284,9.62133837629669,9.64962414547172,10.0582001845237
"VIM",11.1085712709111,11.19596654831,11.2541003157134,13.5314169393389,11.4280883041256,11.7378605966,11.5965097476682,12.0754220220926,12.2329104852955,10.0700604076031,11.8334961776654,12.2587365605749,10.625122469813,11.2484236994588,12.0783374382993,9.5556321775684,11.7191769835579,11.358270953879,11.3985418715861
"TMSB10",11.2684636256278,10.4959440764437,10.628145375959,12.8810058953954,11.2074389038011,11.5424734100612,10.8881903487844,10.9662208749885,11.8160733214942,11.8499052812763,11.2962133362773,11.5173810452704,11.3775728523803,10.8897480048651,11.4360197259567,11.4537705218722,11.2239672783431,11.3640228107806,-0.341132520488285
"RPL18",11.0031454701408,10.757045070206,10.5045532835455,10.8065577407841,10.5262740285508,11.0010779396992,9.93541325528137,9.69881985154724,10.4297885027397,9.74919309302512,9.58324063293498,10.6713929790831,10.1381123458622,10.2981313698503,9.93768607959948,10.2068964069673,10.2198533095775,10.1388343811074,10.9277328985445
"YBX1",10.4640994340067,10.629550200617,10.4220922282805,10.6249432300367,10.6663150520544,10.0756924197475,9.47622100326932,10.3741689232051,10.4629780814782,10.2997161263919,10.2184527477693,10.0825134784583,10.3271631807925,10.3951480820715,9.30468986017304,10.0152056514981,9.64779124397571,10.0507457595281,9.63004137578976
"PKM",11.5556323230681,11.4302406425263,11.1149336209197,11.260805020166,11.3461742167835,11.3604362654357,11.848987578315,11.1953042549618,11.6332447889991,10.134312899174,11.814408751322,11.4427363162842,11.8870145369277,11.4828703513937,10.9113957869408,12.4439081685175,10.972101641605,10.9067304029195,11.202251949649
"PABPC1",11.3007545818317,9.38338205893994,10.0299196530365,12.3627340314515,10.8978509325604,10.7306810932558,9.92935242367585,10.6863062324852,11.3790355458541,10.6033053069998,10.2215109267462,9.7827502718885,11.4663306956931,11.9063210354203,10.9609070005545,10.9603726874986,10.2814801849802,10.5762759265905,-3.32192809488736
"ENO1",11.5675244230121,10.5544276804733,10.4368349907728,10.3989138016892,11.3574823744231,12.2681460642611,10.9483216973004,11.5130368057846,11.25931950606,11.2609668556816,11.8145817123663,11.1848106729054,11.1993403647804,11.0287171158993,10.566335380067,11.9183535372645,10.8850185626456,11.4856619698313,9.12327948756555
"ACTB",11.6725792227446,11.6963819213587,11.6041161437768,11.4067859275764,11.5878888664697,11.652617624457,11.436898844547,12.0453714425053,12.0295675599259,11.0341627908221,11.5270541056505,11.3687383373095,12.0722349654881,10.4983524199884,12.571947120473,11.5197064595206,11.7413753250493,12.3461509561655,10.8450469133494
"HSP90AA1",10.59012163355,10.0774292508587,9.62276747206934,8.97378689295601,9.4450554899621,10.0577832535034,10.195091407368,9.29835195282516,10.6876006250677,10.991687940654,9.4883995821516,9.23872315261165,9.83917623843878,9.74343591245059,9.76808818911613,9.58253134793582,9.61995659063452,9.8438282930323,9.89018636728719
"RPS5",11.2387972704852,10.5864376135388,10.4371533228844,10.7145889486572,10.3494198011614,10.5293226645525,9.90141440487717,9.60302867004157,10.6657972970134,9.66602470607783,9.67464514966834,10.821930231606,10.525211904265,10.6296980579175,10.053905240436,10.117095087392,10.5546272413383,9.84184848196726,10.9886210115018
"FTL",11.3392997781623,10.6019455534962,11.3097829425784,12.6864878078582,12.1754358624736,11.3201544880314,11.2436272137474,9.59745456343664,12.2685961957393,10.0636226725126,11.5709197898722,11.5287294826604,10.8798710987383,11.131220085139,11.6618409013555,13.0473111732624,10.816554189048,10.5934290466183,13.3202056949753
"GNAS",11.0640891600499,10.7488559917136,10.5282839125629,10.9032178543217,9.80872675637488,10.8935456813107,11.5732611530367,10.4515448876918,10.0202391993206,11.6052126730454,10.4256110805046,11.0744499944385,10.7553704023296,10.8377542459997,10.9918830602212,10.3459235963308,11.2153859269317,10.3704174495274,9.75662465054779
"RPL6",11.5962077550752,11.1364958773051,10.7921753238912,11.5176917512495,10.5921471024675,10.8299165952757,10.3011479789935,10.7161290667768,11.1556436603231,10.9538540093848,10.4743525362713,10.6831997837857,10.3047234604288,10.5089100676681,10.2874323720338,10.516028411707,10.6990096574226,10.685990083578,10.7185384827757
"MYL6",10.595591516837,9.32246950428618,9.12140495242328,10.6615776871977,10.2441166167429,10.0897849106273,9.83751068244031,9.8152114520336,10.5274959481114,11.9368775865882,10.2845399041024,9.83137767282309,9.5467013717208,8.8656441911589,11.443483569145,10.5453796502483,10.5076657481508,10.897973657449,9.72446616489787
"RPS18",10.3731756109804,10.8054409746941,10.6534110760187,11.5486397365903,10.0609578927469,10.2607592618076,9.8165471221916,10.320554634138,10.3846271268436,10.1361515034489,9.92345605843164,10.3413916503233,9.69229691652182,10.4377264438992,9.79763935219823,10.8907335839087,10.1324766816476,10.2023369556613,10.8138366146312
"HSP90AB1",10.4825449270008,10.6283047078554,10.5923877078938,10.6472816035623,10.5820635491949,10.2268674356551,10.0193250541202,10.4654650537639,10.6824384235977,10.2136288460924,9.78784262539454,10.1221324129042,9.85337497967345,10.325488444381,10.0190433417551,10.5387043268247,10.0880546963542,10.7085411154523,11.2254954892452
"LGALS1",10.7613154903753,11.7092211588816,11.1902303316838,11.8991964318913,10.9640382142872,12.5301346451944,11.150594694264,10.5042629825866,11.170480792601,11.078425364609,11.6986653764273,11.7898587853024,10.9067997793308,11.8373472695374,12.3914173891731,11.5101629073734,11.5149260796524,12.3821179636349,12.0157663425787
"EIF3L",9.65635151863624,10.198943610526,9.88172947148642,9.95980707930094,9.11125054568983,9.87342338135366,8.53835011461227,9.84306149360856,9.34299277008155,9.20365840408656,9.13223244270049,9.72558781418726,9.75566719245957,10.2557174540138,8.52129525949131,9.82207811914927,9.28197086266574,9.12163457257226,7.97215414393695
"RPL3",11.4561329449005,11.351320249668,11.3352679709193,11.7292636421146,11.0442397544861,10.7759366045334,10.1278721915757,11.1178123868023,10.8849413500422,10.8374754522229,10.6041485643641,11.3639705888714,11.3303323750506,11.5955313257318,10.6380960447188,11.1545913937714,10.8755274739924,10.3144957192932,10.1452627548558
"PGK1",10.3551558929483,11.0271068867033,10.995609524601,9.54289125787584,10.7380924930684,10.9448025374255,10.4552310194903,10.5369386448076,10.0493463245908,10.2650569323918,11.0352680856224,11.0345032795415,10.1245272574757,10.7815558691566,10.1701416774955,10.4900814560486,10.8041657977231,10.2014794149018,10.9546312897417
"OAZ1",9.47215011734114,9.80371754871055,9.82196943160768,10.0948261938595,9.96890892518225,10.3842917796553,9.85453171834278,9.31349232663858,10.393278024173,9.44616685546234,9.80436897569264,9.89317205570116,10.3301465219641,9.82534908262151,10.0738998499899,9.89992900428814,9.82168951617086,9.84003844327095,9.70120724438321
"RPS19",11.8098015346114,11.6918791091455,11.6229555381117,11.9985305234796,11.5699338495451,11.7545399137639,11.1729168008255,11.1633157166415,11.4351366285588,10.8109845395238,10.8342518499789,11.8892271937446,11.6454759851957,11.2677963462415,11.4437774804809,10.8878356349835,11.4022145134357,11.0587819597253,11.4360733824384
"RPL18A",11.5857286707286,10.9149077099572,10.7670459826098,11.3838782913298,10.481012078386,11.4117463313461,10.5132284261118,10.7042215649031,10.7556013158315,10.6719066067455,9.97054852024062,11.4976140848706,10.7628012399301,10.8009705977758,10.3794313509685,10.6618951343795,10.6972591190171,10.2174752213493,11.6007166486301
"CHCHD2",9.41563500576201,9.92046892558401,9.87698628138058,9.64922974889886,9.20000273399082,9.86003903315739,9.18554718405407,9.11226438695503,9.45183611202616,9.26555653556054,9.44906873511605,9.65605887082753,9.67263412989755,9.63603961434312,9.7641016501094,9.15482686685668,9.69329222270384,9.96041598555537,9.05562639235432
"RPL19",12.0052214357235,11.949868093775,11.796042296505,12.0072156599444,11.7021560153368,11.67717507912,11.2213044254368,11.5652687934751,11.6857679685956,11.2842251838183,11.6573888101192,12.0477446051872,11.2064252416236,11.4382900788263,10.8619824671187,12.147573377498,11.1775813705573,10.9694485879258,11.4047607889745
"PFN1",11.0106806215175,10.1983209142571,9.88443114361947,10.2523384620873,10.6008843047503,9.76304899206049,9.82011818946613,10.331092472959,10.7208252553077,9.90943152628217,10.0305480791438,9.89841333887098,9.24359205290018,10.235090352348,10.3861408617788,10.274420743774,10.2697036497947,10.3441853997741,10.4091672006227
"RPL34",10.3945545112853,10.0454267526048,9.96164756619827,10.7930601803139,10.5739836305318,10.206678609137,9.36091824795712,9.4454691259003,10.2941833693122,9.55365415979146,9.80161259574727,10.2623959539079,9.75753221823849,9.89620912457446,9.77648350554844,10.2738851944032,10.2094908383871,9.67861103629934,11.0866528363185
"HSPA8",11.5895926180468,11.0206276403761,11.0917434069349,11.1393669315425,9.88325260958791,11.0615625894876,10.8643505990546,11.1908949420884,11.0168374751841,11.1275747424054,11.4736709861384,10.6086842310752,10.32358628361,9.15383067214318,11.331707060086,11.4577006821791,10.6500421443328,11.1831068076134,10.5990751457339
