"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"AK2",8.09246795138582,8.68044220860036,8.45634018365426,7.62284530429721,7.9300753212572,8.63528881207183,7.91645504260257,8.25540431979062,7.98490290796798,8.27372800452409,8.32935350400865,7.94299818400115,8.46601197837203,8.20022906483828,7.01794523845662,7.97971250192015,7.73286587136772,8.12488212954734,6.66799912987804,6.84224813175148,6.74402811435663
"SLC25A5",10.2245893074339,9.63190616466099,8.84070934803025,9.78211598960428,10.4085675987131,9.83087219440477,9.80244822551997,10.0362541390891,9.28889810133447,10.6728719344874,10.1680346293943,10.9666345473801,9.91761966503835,10.0980402446485,8.71732180161459,8.20004064492868,9.59138096240822,9.55996576722701,10.0096866850591,10.0454359801605,10.0829515869989
"PSMB1",8.50244526599634,7.69216473002896,7.46128548025581,7.94861133993743,8.21927015926654,8.25238674043341,7.74753344271069,7.18800542083121,8.81443513615496,8.19731751782634,7.91918030918924,7.94211406136218,7.58622310638514,8.10148255364781,8.32914782470661,7.99892028987605,7.90673357644433,7.1180782765867,8.33483613142351,8.33048930236591,8.49711866973908
"CSDE1",8.75419861285068,8.9174864965167,8.61070687820339,9.51217682181457,8.71619267579326,9.09408072291344,10.1613457034807,8.81008161838542,10.335239200921,7.48826961252151,9.50327536620264,9.19372763816216,8.32374370853035,8.59999642655843,8.43124245367153,9.17483473556325,8.69850470610389,8.44705405398807,7.03341760490925,7.12324925492609,7.16414668550803
"UQCRC1",8.17334689053568,8.11284599566613,8.09557019394842,8.0564515484895,9.06317377869283,8.20029211905069,8.5222818785516,8.22768051690804,8.40391550547948,7.94012305099807,8.40940499137112,8.99507000919585,8.50175213932132,8.75665521393791,7.80015920699071,8.68993534831788,7.71524288974206,7.96243579782034,6.67085903200514,6.76380782786578,6.6967123007294
"PTBP1",9.02614054497422,8.9510178579496,8.99302647650227,8.66335703441946,8.4967652173375,8.73924186406421,8.48061720932612,8.7660053427087,8.92187393080641,9.13938396553027,8.74249541761252,8.59544287553834,8.67035663867533,8.48822270884797,8.66051389518298,9.17082687326191,8.44873925955338,8.72640208335695,8.3530469815547,8.39867722292648,8.21144560728731
"MDH1",8.77735500805723,9.36540836421004,9.51578354896258,8.90339814966524,9.47832178925217,10.0778003405058,8.63223608924041,9.3863172276771,8.75501636663852,10.2634268334749,9.67710202179709,9.67378998395324,10.3460676100296,9.84050451542668,8.37159010553884,8.16281063052008,8.49281149031741,9.50119454235066,7.98711053082083,8.02310091744955,8.20567074291739
"VIM",11.2908709650555,11.0331451883376,11.1707772796,13.567704322764,11.304658302959,11.412619832358,11.4858178838324,11.9024385607619,12.2935949930616,9.88111246218779,11.7678669541655,12.3182295889611,10.4582883480093,11.1474209247441,12.0032572898434,9.47062312603095,11.7248671124755,10.8763530968593,11.3557347784117,11.2333157263256,11.1156384700571
"CD44",8.88814702885792,8.68944441407424,8.30398409124472,10.1081642655493,9.23550699506005,7.88321210364461,9.98183598541316,9.63515539431695,8.99717886680426,9.86510306040438,9.05581526278741,9.77939917841962,10.1102073422403,8.18913010717826,9.20567053507422,10.3317657108965,9.3123743614069,8.22219599142845,7.14960420964811,7.29957192934334,7.0379933281259
"TMSB10",11.5898571593344,10.4227624549517,10.6259680899647,13.0028882259452,11.2940112440616,11.096978497228,10.8197605167474,11.0761364681977,11.9945321748558,11.8477696579765,11.2123849754163,11.6125104195973,11.2949716097435,10.8775034747738,11.1280615992059,11.3534528775284,11.1722845973588,11.1908699507705,-0.351882907287969,-1.28402936485563,-0.473572628787011
"AP2S1",9.43775165851678,8.24639655119203,8.66408365731021,9.08321915836583,8.80838593259079,9.09813719416006,8.57112373825555,8.08986790763272,8.88997261855074,7.68134810591072,8.68142734203481,9.01003383338304,8.28439582986272,8.35034496742417,8.5436578188768,7.68547859431227,9.31767172733558,8.36242416696641,8.07459548763911,7.9888232596344,8.05595518301343
"CTNNA1",8.49038421919626,8.04139790548051,7.88025279060535,8.41243868734587,8.34067622678304,8.67019232644292,8.75071581948679,7.34525590557262,8.00869578736312,8.02867779383195,9.00979526005372,8.80080167221629,9.48434042916071,4.60881245776292,8.78794170987238,8.34905401980398,9.34921827709561,8.76177548970657,7.22336631505556,7.27648327671292,7.06666641700664
"HSPA5",8.31050023352914,7.5363645428687,7.1519333614076,8.43872890891544,7.15206412213668,8.56121704234103,8.71515338658135,8.00997945223673,8.21763797607208,8.62064237995192,8.08693985611208,8.4521078547667,7.42685996629941,6.35162375676379,8.96018421034578,8.72037777327366,9.74610641545416,8.07166380478129,9.2870509090453,9.55968293543686,9.51055234474072
"YBX3",8.37483234412848,7.85419229444591,8.16070506447992,9.3060343950719,6.98877758608994,7.61658337297686,7.71983789928442,8.4117393278781,8.93949449417461,7.66134517550736,8.12795373542628,7.6640459934093,8.64262768224184,8.69777682030376,8.13950376036646,7.53064374957006,7.89929804145928,6.38039644447067,8.65579636972915,8.95368849752942,8.61781981428714
"EIF4B",8.55900583836373,8.90863118846616,8.82807059588419,9.78496986090568,8.20814965341459,7.71511679944211,7.93796734899281,8.74853480188955,8.30566552946414,8.66795659282785,8.1710210020388,8.18432468627233,8.96325750562933,8.487170036402,6.77730529581776,8.57394810395613,8.19640767479194,7.68942507505439,7.36577362784263,7.3154780283947,7.19845182470697
"RPL18",11.2076371518816,10.7179664972583,10.560255698723,10.8127071187171,10.4579149903399,10.6970872085261,9.91734804980629,9.74686578150898,10.4403524699405,9.76369656062711,9.43332421712485,10.9078768249421,9.97688596538399,10.303895942684,9.92810603719554,10.2127434403893,10.0769177838024,9.99604624684198,10.8790043939012,10.9233042394541,10.9507987152907
