"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"CX3CL1",-0.983913651121198,-0.0910740031445191,-0.341188958893606,-0.192372465183777,0.636812024295081,-0.0248248869574004,0.0671673690510882,-0.0314587310308195,0.207935602350801,-0.204034901826388,0.191413044422135,0.172017306704259,-0.222690287630137,-0.10942412263891,-0.166120014449315,-0.26558048725047,-0.0240847980713231,0.0015962921841238,-0.0435983487269292,0.316914116083019
"CXCL2",0.52447511225662,0,0.811496575651104,0.166490092170672,0.388765804549903,0,0.0744010545175607,-0.668656427193497,-0.644689043033087,0.00515475034887841,0.602929686511225,0,-0.546022171639969,0,0.21647650433819,-0.04182833302229,0.772377020634877,0.21934021870559,0,0.289054885467246
"CCL22",-0.0436361668514171,-0.474397582947815,0.0559973288482598,0.114999533584351,-0.015834897833004,-0.227421758800725,-0.225890497055093,-0.0937281292668324,-0.155228341235962,-0.806762867239525,-0.672442832215171,-0.29574896061756,-0.277690083281401,0.355663195693108,1.07479083698369,0.03642076280788,-0.626674095162206,0.165530072882127,0,-0.175100239670869
"CCL17",0.938026788554843,-0.279061899934409,-0.225255482835621,0,-0.796634211796591,-0.50635850648853,0.83996645618462,-0.283876684136402,0,2.59507428211767,0.133419864464173,1.62812761813038,0.0956113203464594,-0.184071749052914,0,0.965755478111146,-0.766324312531221,2.4278715621936,0.386875938733563,0.478565424237253
"CCL24",0,0,0,0,0,0,0,0,2.28623867591621,0,0,0,0,0,0,-0.0446433961428281,0,0,-0.228308227143276,0.431578994611804
"CXCL12",0,0,0,0,0,0,0,0,0,0,0,0,-1.87395163360601,0,-1.53364359494746,-0.503909745022386,0.0700481044004286,-0.306900397511706,0,0
"CCL7",0,0,0,0,0,0.634556127910823,0,0,0,0,0,0,0,0,0,0,-0.580168113857267,0,-0.331421222784122,0
"CCL2",0.496787615875702,0,0,1.07535960094187,1.11499222529419,0,-1.47075627739953,0,0.799996063765479,-0.42855881182147,-0.650826045099058,-0.838055077245867,-0.896740204722276,0,0.00761031493756244,0.115423392542755,0.145473007405997,-1.16619811516622,0.448867976470775,-0.346868298434132
"IL2",0,0,0.426380193417723,0,0,0,0,0,-0.628715738647307,0,0,0,0,0,0,0.717674411765263,0,0,0.186742583373172,-0.435648961744396
"IFNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57995941234673
