"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"TNFRSF12A",7.52308116624661,4.81473505852729,4.64140565219044,8.37997477453764,4.62379663675984,6.34862386239012,6.92319316320295,5.14971414586329,7.54512340468733,3.38687268701981,6.68889689916511,5.34653324178403,5.99119894965358,2.85636076503027,8.19361113907031,6.24518744394855,6.58243492685155,7.01484207693732,7.57250958367955,7.7401375412325
"BID",5.29279850611648,5.04337235558611,5.60045069990433,5.49536171465931,5.59993526158159,5.67546364733961,4.84621193685217,3.73490594238255,6.17021883796633,5.30445831584486,5.286445710619,5.73088065879773,5.44349912376222,5.92327810592885,4.49737002276792,5.94842646190812,4.87572310230488,5.19246956191122,4.62898760110985,4.59902170622968
"ATP9A",3.14539307224024,3.19953236605748,3.59633154456278,4.06099797226103,2.8313635644455,3.4999728799627,5.31813488223278,2.9012356490577,1.19886916292029,4.4655528718979,2.70408809788681,4.17606130907972,3.11034735649678,2.22710629388747,5.09630554762272,4.90855170617782,3.54201663238629,2.35329419883792,4.78950430044585,4.45780882303862
"ATP2B4",4.50770056254763,4.59991107657242,4.15470273160238,-0.628420877852575,5.05214269500363,5.43722084330524,5.32350209238136,5.63200130590593,2.8763528410148,5.59307798377328,5.19201256719184,5.361143845755,5.87812559124173,4.34756060031634,5.19679912269254,5.75489435230393,5.20650170655207,5.08851273360795,0.551985879390507,1.12102941402794
"NGFR",4.16449803272771,0.0146171137096153,-0.927666372316835,-2.64804148124031,3.43983548973241,1.58436120291021,6.70585191531923,2.17283925736037,-2.9349101155175,0.36916816021411,6.35946586474216,3.39927318850605,0.669274403180375,0.144850184083395,4.63508742361637,-0.0861235508684862,4.25062503056509,4.86998942884733,-2.40914470436761,-2.54377851710506
"CNN2",5.7315407775831,4.75236417231673,4.86374485233651,7.01247732066544,2.91911247140077,4.80177767950369,4.27627851450986,5.11087690108015,6.40047686855464,5.25647055900037,3.65587500120735,4.26138911264226,4.56361688558067,4.38102754810463,6.37245782925967,7.08508291727007,6.11498959579132,5.76563233712999,5.79840671061855,5.6882985899839
"TRAM2",3.95512393626765,3.43704124424183,3.17324895599839,3.48491061751655,3.65523008527246,3.97351441017444,5.01231410576753,4.6750134177488,6.004752518593,3.85061984875071,3.49760610640662,4.62160418037771,2.89664065224042,3.2175673199329,6.04202440157052,5.82053630580631,5.41379578880855,4.2320871975264,2.24791227591023,1.9356646760666
"SLK",4.18679017926966,4.25575940854845,3.99151865892858,4.61859201092498,4.15115228509205,3.60263565201328,3.39854856417726,3.88887902150272,4.29627439682682,4.03132008701325,4.15619510193759,4.26836403330949,4.00447671315148,4.00777652791157,4.19764923779733,3.94088303528012,3.94452839462004,3.34833164634683,5.47206434751795,5.43502158875571
"GPR137B",3.93835826053184,6.27200334406268,6.15311416878434,3.69367323233518,7.24657492516146,7.96164068800449,6.64189710649713,5.95624166132078,3.04960053916023,5.57720527237382,6.7893392973153,5.99627253914426,7.32167657391484,6.20473008655356,5.30736966929433,2.97660496289564,4.89266418897937,6.09540421573245,8.11460234454299,8.18841428849794
"ITGAE",5.29047274518937,5.32110723377718,5.5131843356338,4.40231104952623,5.64243562130187,5.19670031167754,5.29318600721079,5.31645412273213,4.70438246869289,5.78719318853989,5.18875307377627,5.10873148404673,4.64143356806396,5.62642248409452,5.25062049224289,4.90721365229292,5.11983708117515,4.49047626651379,-2.0145644936568,-2.00220315703297
"TRIP6",6.65947945310707,3.81309449786683,0.79154346830315,7.74282105439803,5.45445410329516,5.08015208313357,7.28130617027438,6.64710066858215,4.71368896653178,6.00949994021949,3.23188258750921,7.24314639964387,5.16550099938422,1.36295434267784,7.63476980051669,5.73349618435221,6.72522445092311,5.34084198706259,6.06301430568919,6.00823956988991
"ZDHHC8",4.69020649997894,5.76969213843786,5.96370244119782,5.71460737462693,5.57457170578565,5.82770353844241,4.99546396597572,4.68999223759116,5.11955786683391,5.06243929189171,5.24832881434656,5.40555638480303,4.81578391910024,5.7976179145428,5.37645086560718,4.93703013948609,4.69795357228948,6.07333669291408,2.99480769345818,2.82698064158296
"TRIOBP",5.50642506972274,5.5804921550036,4.86292727410404,4.48196757387497,4.52463702880084,6.36213091316361,6.32631873556791,5.51013169734094,5.22979294468803,5.16460506872081,5.87370682657536,6.45239634004967,5.2153981784717,5.77911276849483,6.45841699971874,6.50933166863209,5.78400541583276,6.05930715193109,5.71470616303547,5.59076936524136
"CENPM",5.02390369444627,5.27693591154113,5.69870706545928,4.1690940952853,5.35606833958949,5.93033457204547,4.21621743380245,5.10367622223571,5.54621005267204,5.55883925941983,5.19235132141686,4.82642360583109,5.84439765342544,6.54840540846767,4.90218732807255,5.04746167323903,4.75887274873214,6.30331333959688,5.49016575637509,5.29786368457943
"CDK16",6.72587788415704,6.91102786669306,6.72909790679509,6.36061800425829,6.75427736484583,6.53648890312546,6.41885243483388,6.3430336528851,6.63150785066583,6.63479379332518,6.30008879001943,6.78144220016749,6.90046288940736,6.87444165352931,6.82154059792193,6.21578261146113,7.29427276285398,6.05823239596728,5.99631479833795,6.04882380944595
"EHD4",4.94685365279983,4.61202600828326,4.21714257373192,3.04367161741861,3.72083608981591,4.68578746746759,4.25551124671383,5.14644747271857,4.03090276999023,5.1873646345236,2.72354763026224,3.77071991339587,2.80805380057855,2.40845521208083,5.42281918051197,3.60739812211046,4.93079190251089,4.22695993963839,4.67520480851193,4.57102351298088
"ASAH1",4.20188124131471,7.53871673639127,8.055062721616,4.95765456401573,8.4423510530937,9.34252985415337,8.61658601820222,9.15366628305637,4.30912826972391,8.8866760987654,8.42091874370343,8.40304624915033,8.55360480132502,8.40156690067523,6.47264727108065,5.66417425907589,5.06966923991162,8.79061684670599,6.81278074833891,6.84389894359911
"NFKBIB",3.64406602880986,3.46687582939772,3.22885294334218,3.23114399923342,4.02393021449372,4.07741471337119,3.50754298390086,2.84127857630857,3.4350199662422,2.7323646787015,3.2224393176553,3.52505359324096,3.1703478947409,3.80999362280415,3.63901247853417,3.50963464295067,3.62741619860493,4.05396164708329,5.28066697191118,5.28260292373003
"PLEKHJ1",5.0266449782084,5.5770898575902,5.42864051527404,5.07490126568397,5.41132007907123,5.35860589094497,4.48024959368181,4.82122240796023,5.59001443144251,4.95294033286584,4.66931057040204,5.41108190562715,5.76585660648413,5.57910201243524,4.99124270356083,4.4373990675714,5.24428236354311,4.69592280894674,6.22433709048217,6.31805756125993
"OAZ1",9.47977618743052,9.64644739944575,9.81054476114386,10.0124290453831,9.62041023898848,9.97757996158223,9.76405803312101,9.20106679218499,10.2554487499195,9.37992424898711,9.65843212528001,9.84177359516463,10.1185396440223,9.70444769955395,9.87459069093898,9.71541160187729,9.57795540613086,9.69554858037048,9.65186057181604,9.74053510992156
"SYDE1",5.67055245293472,3.62172397320006,3.63210547281821,3.83841542843764,3.94156113915057,4.10898721474196,4.10297633289084,4.5021147187869,5.19661236665232,3.86474881365719,3.04423883769348,3.60877287861681,2.56845227418969,3.45994477930277,4.30854922109748,3.50036861964952,5.06203330337223,4.09206954962885,5.60927805905961,5.41960886215981
"TNKS2",3.87201484619255,4.7510910647714,4.35631409456796,4.37356266388478,4.60124139886198,3.95911468338879,4.23900577056829,4.28400094410394,4.24947013106011,4.78124105910761,5.17773705051818,4.92244344057734,4.93672855100823,4.70053124106891,4.51851866741672,4.56334705177828,4.13674337859173,4.53599405463108,5.8390518661652,5.87117807655553
"DKK1",7.23646888520305,-0.975974002453047,-1.92125905975961,-3.07266373687683,1.29308121248538,3.29575217269056,3.83020192983869,-3.32192809488736,7.80653313484421,-0.175694692225922,-0.837274748127229,-0.448144065929781,-0.86888700033905,-3.32192809488736,5.29477625018934,5.43747106969907,-1.42772846741282,3.5072811628767,-2.89895233326899,-2.96432976719246
"SH2B3",5.51273042313105,5.76167817712824,5.87911310473691,5.48165281329462,4.91003796749659,6.60991751320082,7.20155742298474,3.90773088224914,5.18867707899698,2.8759917541305,7.85282676813671,7.47219884892757,5.84706956975825,5.16577930252734,7.45593183764919,6.30262380007426,5.6008343719271,6.2975899909139,4.17252010311716,3.94853826841519
"PERP",4.40372026666249,3.97920019384552,3.34434691351998,5.26640627144022,6.27585584265308,5.595994749469,5.3493649812057,4.61466546892716,4.54306758933728,3.12575273568575,4.99056636954294,4.97632394840227,4.79310081091578,4.28829471989815,5.74988152119946,7.73420084716832,4.0231767749491,5.20883122987218,0.617708757621908,0.672209089062701
"AMOTL2",5.47955800773494,2.50890532226994,1.71240671433734,5.95680739423035,-0.424595386319316,2.57359320897016,2.00687967260187,2.02020798862931,6.17690111973631,3.43394461155196,1.46179174009683,1.44960765972694,1.80668096097826,2.95624043934373,5.57819698416838,3.67288203050993,3.90866036749384,3.81889196364866,4.66905014547135,4.28230857446616
"IVNS1ABP",5.74862401394942,8.51539664302428,8.60952353881753,5.66926589266285,7.04138788424577,7.42167281154572,6.90859762575055,9.1602789046534,5.44817721695366,6.03732831924787,7.53251390869697,7.40805615849097,8.63337327323696,8.73151174802976,5.86432715459982,5.12865976921609,6.48439495046791,6.56075109209651,6.43822381205757,6.28150216437041
"CD3EAP",3.83620780954229,4.07117783314358,4.11025882962172,2.9610976731655,3.92981017090105,3.65681448479615,3.42734300022415,3.87402667816467,3.87640736988412,2.41179110085655,2.80945896044407,3.00045968346509,3.70092940732329,2.87979904392421,3.87996373013126,2.43245885507416,3.64163827060742,3.94424959731106,4.21448239354001,4.27612701152756
"CTGF",5.38448540790562,2.12407753978094,1.13345518314002,5.97441625261163,3.24666057971034,3.98849281534128,2.11536009006288,-2.46115103952057,7.34840912537007,3.05810900646773,3.15516496749023,1.60719904177145,4.27788485737534,1.80691940362824,8.65595033570302,3.00482461852501,3.68173563446711,3.96344602064877,3.91483530897945,3.8159408124105
"NEK6",4.76011740067073,5.98501396551202,5.31982262149234,6.06374016772271,4.94245858510854,4.47283857940697,5.85333325024223,5.63370771950596,5.47983036005309,5.55975634260006,4.87389386601906,5.42980270386739,5.45066211398712,5.01438574481071,5.54265165276207,5.38252120329956,5.09398822360088,5.00482290414857,5.77889820020787,5.61663327517678
"UBL3",2.69336559573553,5.96381721531792,5.8714562267486,3.44504229396836,5.92300645587704,5.31851681058173,5.63060882467171,5.45761520512827,2.82364203503024,5.77223846026608,5.2270178981586,6.90060596253755,6.10677722048394,7.52589527516162,4.20894929593131,3.28159795335091,3.42087277483515,4.78288755132088,7.04441988613207,7.4401248482116
"KIAA1191",5.53875241017804,6.00485829671763,5.875193354035,5.9392340572701,5.62180980837824,5.85857308020595,5.28917505857758,5.78344563538112,5.75345233282358,6.59959716257767,5.35797299803682,5.73292443553175,5.92673503687302,5.7909199280734,5.85317243948362,6.69174530326189,5.90450251824822,5.34975345322179,5.8353074427721,5.89446760183912
"BAZ2B",2.22676398646632,3.79035044338699,4.15660628390134,4.45167896811867,3.96099072871702,3.28606561643989,4.03153174835668,3.14586179696377,2.40483467493541,4.08150226470395,4.74850159729595,4.00020873616398,4.6695848656174,4.54951881867871,4.10124221838854,4.16240739214556,3.28086496154729,4.01627630981571,4.09468578937133,4.19007613700534
"POPDC3",5.62994401000629,5.4584744805085,5.35225880080522,6.36238616670542,5.38613309951904,5.46198062278782,5.45001450720658,5.22485952883923,4.18961274188549,4.35350734379172,5.81903496890123,5.35821555624786,5.26017417544579,5.26076040290905,6.07809837035719,4.84530710755401,5.58534753739034,5.08531769364579,-3.32192809488736,-3.32192809488736
"LOXL2",6.08208355584715,1.47615976773621,0.93209792198445,7.65734538254318,0.874104082106717,2.0905998349146,6.23927350993098,4.95082956615474,5.67455304372867,4.02352873627916,5.01881177940812,6.00240744125925,2.41391633628654,3.18578697313769,8.28319251098815,6.80185476614472,8.32677885165872,4.895495892661,2.93349126567912,2.44140034509675
"BHLHE40",2.98306370084506,4.02926706764356,3.95187310926489,5.49236106941946,5.36191343642866,5.66449314600786,7.16883210116026,6.32821596288372,2.6308387767788,4.27088172099548,7.0761932957928,6.92189737210328,7.03824500164023,6.25002324087027,3.23483799457487,5.72368968188918,3.69975923561925,5.27613072034706,6.127877120649,6.31937655474139
"ANXA1",10.515700712366,2.81226004892499,4.18469636395581,8.88344425404277,5.85983688454936,8.14563927453121,8.84434862638443,7.02003428703772,9.57174696777488,6.71418666279523,7.89484010901137,7.55113696720895,4.82153452174419,0.32452137181224,8.98936858213395,7.15097269420182,8.71706644686244,7.93133821066828,7.84513613976497,7.78636342427257
"CD63",10.5062805477398,12.4457850613676,12.4459069739425,10.1054985325896,12.0199719275622,12.5774363017018,12.3973120919898,12.9216133738406,9.81208865655564,11.5893232064423,12.710601492507,13.1328714792195,12.7020918770297,12.5602874651084,11.4407304939852,10.1388018748869,10.1367961711133,11.9128577832491,9.67995474655741,9.85565485432416
"SERPINE2",11.0915194204486,7.56478616329022,8.19916189862019,4.46106808178792,8.223181889965,8.66678471791446,12.301675936169,8.63138457879277,6.65440986750439,7.89424625166521,10.0229085753132,11.96018864585,7.66785576500025,8.33706658202446,12.2942889524952,9.75917159926482,10.5321311417476,10.2098106130701,-1.23456581037767,-1.21873383762475
"NDUFB5",6.31376262206393,6.67566089177559,6.6243867102891,6.80286340261023,6.72613706639638,7.1189092192492,7.01011954858321,6.4618756209955,7.03249021586743,7.39474672021389,6.85398157766519,7.28762826931671,8.1106046710131,7.31285946820402,6.97903712912947,6.67270254171688,6.98751968288345,6.57477913084634,7.70806714297012,7.92445601111234
"ATP6V1G1",6.36793438312471,8.13158935244457,7.96561721949463,6.88041639080956,7.28863184669646,7.92205562757935,7.45344205193975,7.81502210150399,6.23289508098517,7.99627458072568,7.07684857588187,6.97922158936119,7.29609123098307,6.68460138205411,6.99131136664715,6.81454810667701,6.09598579118121,7.52908193014066,8.85499121615406,9.4220550773868
"FAM8A1",2.0970288980623,3.3062147049439,3.54129967960024,3.24914062635484,3.58284082329797,3.13844161441898,3.84257041224268,2.99060941485265,2.46105298206572,3.01145304919348,3.81414290484072,3.54848499976215,4.15786812095181,4.087994631508,4.05715717421859,3.82219132463035,3.37746962653125,2.99078282196249,4.29469933576213,4.30057500855342
"PTPRF",6.60619415038703,4.2296552652311,3.37627619674493,6.91869525192699,2.59923250699527,3.64182863126209,3.5881476352904,3.79990383854896,6.78025546971348,3.45122690848911,1.50947377156551,3.3486705016804,3.16168565467326,2.39478844879642,7.12929510127942,4.86427727109014,7.12418816686769,4.87775622424093,-1.97378762217612,-1.86290700557662
"ZNF697",3.07823587463736,3.99094258753851,3.70464810071781,4.43818189194005,4.18809252274981,5.6775206727227,5.47281249807018,6.019947475585,3.79520607159016,3.38880534693134,5.51531173046579,5.03058321338225,6.36015817139838,4.88805732098266,2.76609840573597,3.78158630772272,3.24832026619946,4.51379717785476,1.68845347803082,1.65547630362936
"EPHX1",4.69196864267213,5.55068130101929,5.13966501794226,1.65018434609127,5.20911347500896,4.76370309099311,5.15861680122102,7.42302318092136,3.59323904225764,5.82825231419688,6.23396770278392,5.27678872403589,7.67345261368906,5.04516658845966,5.39592575809561,7.18043100806836,5.85611570505134,4.57988365399983,7.2745248876111,7.43213505243414
