"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"MYLIP",2.6360998257421,4.31091228982691,4.12108426260789,0.506499830821549,3.27758637517118,4.66605062109367,4.48834798748873,4.67406642791459,2.26354202794971,4.96157753611517,3.34718037295774,3.91650642377751,3.95185844357631,3.62028252834555,3.69513321350517,4.98597738543478,3.32641734490719,4.01109911248075,3.63121020113617,3.66304688255518
"CD9",7.19309869918344,8.54380963477651,8.62827885646714,-1.86360913830861,7.77694574916675,7.31761189901287,7.63476412122446,7.91387948662369,6.65494517708718,6.38848168253812,5.92203073364243,8.03786491534917,7.31931974094464,7.90312035568735,8.23942512682585,6.56073896419174,8.46208008088014,6.44704503524558,8.16845050275707,8.12418857239492
"GPRC5A",6.92450946282595,4.10723059671126,4.23214597159534,-1.34284877475475,4.90916879581866,1.50217365091573,4.83495363210653,4.98311807613091,5.04464829495517,3.54282181425961,4.31197260002687,4.62221434879433,6.74779994618624,4.35946223994615,-1.92156628948219,5.76815835281965,3.27109296583439,4.08328218894912,3.49107487894467,3.34632141244623
"PLEKHO1",4.39388657193133,4.33705473969268,4.21749253128047,3.15140194079951,6.00955920760024,5.02036256365929,3.97099033527569,3.96001296755413,5.08807538637219,4.94072907245524,3.57989979531762,4.66835930430098,4.95365847220159,4.24762225101736,3.82326178236524,5.65185256440124,5.28428720043634,4.59226514805988,6.63194681015314,6.40254320435616
"LIMA1",5.90280867620345,5.48383060401484,5.62506969258539,5.30490461433954,4.69282013881391,6.36374907047804,4.97000092084939,5.31030651089514,6.09863236525143,5.26006115388935,5.37455974724588,5.16328846275627,7.07716445846245,5.80270546271903,5.1592391061675,6.93605585336833,4.69112376263772,5.996666517023,6.0969238953284,6.37672958503747
"YBX3",8.37483234412848,7.85419229444591,8.16070506447992,9.3060343950719,6.98877758608994,7.61658337297686,7.71983789928442,8.4117393278781,8.93949449417461,7.66134517550736,8.12795373542628,7.6640459934093,8.64262768224184,8.69777682030376,8.13950376036646,7.53064374957006,7.89929804145928,6.38039644447067,8.65579636972915,8.61781981428714
"LIMCH1",4.7959764766757,-0.579392902214522,-3.24902013193885,-3.32192809488736,1.38376855617224,0.842208067671094,1.70901931857817,3.45453180190683,6.12835105540819,4.04688627916216,3.47766584914238,-1.59044911688462,1.5237521606472,3.94465915041518,6.05617922463027,7.46671086104699,4.47041710890218,4.32139118095967,5.1667640694546,4.57215331453567
"CNN2",5.7315407775831,4.75236417231673,4.86374485233651,7.01247732066544,2.91911247140077,4.80177767950369,4.27627851450986,5.11087690108015,6.40047686855464,5.25647055900037,3.65587500120735,4.26138911264226,4.56361688558067,4.38102754810463,6.37245782925967,7.08508291727007,6.11498959579132,5.76563233712999,5.79840671061855,5.6882985899839
"MYLK",2.50365669018553,2.06888224310616,3.01171774556885,2.34652536223085,1.44841812182071,1.71230135888998,3.0758683391987,0.582285315959333,6.91020183183004,5.34903203023163,3.81299510211716,2.2235725144566,3.82959702002469,2.3421994115123,4.29822417177661,5.17382834200554,4.71301302122342,3.48681360402683,3.47219623865463,3.18862034895327
"FSTL3",5.06113569009592,2.25300506565203,2.54289212275321,5.77342731812138,2.08821812065506,2.81680785101075,2.94138650129857,2.19207263290817,1.93120646864218,3.8051602428175,2.24658597928986,2.27470092689796,3.16300495072189,2.69543240237018,5.35997705898978,3.75312011269165,1.94421814752965,3.04733615316365,2.69201296320255,2.67996388874473
"CDH19",2.9491485124611,2.64609519406219,3.13309161474002,-3.32192809488736,4.01612368798467,2.42300118522298,6.44698864530878,2.36484239576359,-2.2702513059872,3.74927920448404,5.15490772137742,5.46739057482919,1.77412582196604,3.31118724039465,5.62478305566832,-1.61348455584101,4.5794952786731,5.02868741517253,4.69364420017012,4.65748203849311
"TCF7",1.75570328425541,3.49292096613852,2.85941478682699,1.66052016180887,1.81111991788602,2.30737076584852,1.85848689311917,-0.551962724481129,1.95081490783937,0.62989646423238,0.541035244372054,1.13173210540373,2.00180068112249,0.449487810564901,0.990393816768175,4.62465571729972,3.57726042260979,1.30647550538535,0.888649880786188,2.22762412883478
"GSTP1",9.70656970720089,10.1940817502867,9.94451233787191,9.09786923090796,9.91462906489835,9.83088349517487,8.73593846308301,7.38617191301147,8.70082094850833,9.86175900231605,9.08993700571426,8.83069554550044,8.92396489313192,9.21063058024349,9.28767641159932,8.4743376341128,9.25305450766891,9.25817773073667,5.96257050775637,6.20138535581223
"NOP14",5.76381382984114,4.39312849945205,4.54130067449187,4.61136947465765,5.09053200132043,4.19424925873008,4.48219405076167,4.54599096927804,5.20565667091718,3.92224811425635,4.62379185844686,4.24215545340464,4.65476216004801,4.17143311542442,4.50110888509611,4.6261534893241,4.75033447742408,4.61142981450583,5.8407447141299,5.76302968581544
"BLVRB",5.1445506090753,6.12770959198618,6.04251565310443,6.52275504017125,6.76166556205535,6.72958550956271,5.95417727506905,6.93209501576928,6.19128544096971,6.89639029975665,6.34435371193691,6.7216543442451,6.79776241071126,7.12542768540308,5.34400456076248,6.04552471924008,5.25127269508993,6.06257032019532,6.53588252628494,6.66061786802032
"PABPC4",8.22899024549093,8.50755364358831,8.40786000378739,8.07756396991083,7.65007723892839,7.72618606896269,7.28774355867329,7.66935074397278,7.1019950983157,7.586678597797,7.98067589108083,7.61896835324277,8.40093061631395,7.84713119547799,7.61132027660609,7.11090136250729,7.18765256095416,7.5257154758545,6.77798103510315,6.69042082059715
"JAK2",0.911057644928489,2.281129428456,1.9432849080973,2.77741493180041,0.870232270170174,2.50388025383786,1.49114176733728,1.66431141676771,0.9265941301571,1.34246446947378,1.59121747290814,1.97772281388148,2.94738376782726,3.36909468883878,2.16268930901057,1.72675918708336,1.30986402062578,1.59527824460055,3.7854643584739,3.75673572486864
"SNAP29",4.28851233074326,5.1912802224031,5.73049656574715,4.79746470327657,5.23111604663899,6.07038658495871,5.23046833424882,5.33484189889656,4.88646235291521,5.12544443625025,5.34033838870508,5.60051484610875,5.69081177172907,6.82895211215996,5.14588108909364,4.9367938931452,4.83287350539153,5.6278067398562,4.30357549222964,4.45905850683677
"TIMP3",7.72053912741338,8.44884202985843,7.4803202133634,-3.32192809488736,6.86951561741254,8.03109174654532,8.8436985644787,8.07623996308644,0.975311374798519,5.00759081177249,9.33168068678518,8.55769445243093,9.96097587297035,7.38825144946829,9.4073960431689,8.90871640791955,7.55662080506729,8.82452642246833,3.96362068752492,3.13227971472598
"WISP1",-3.32192809488736,-2.84650992732789,-1.6927674946125,-3.20779820258879,-3.20199338576516,-3.21898182837912,-0.716042099120053,-2.43875556127506,-3.32192809488736,-1.81423243612862,-0.840703480470665,-2.74908196982368,-3.32192809488736,-3.20896037333985,0.240172279081261,-0.227424451463649,-0.247375012785946,-3.32192809488736,2.45034084804097,3.38041983264515
"PLIN3",6.03301090363041,5.42182535010579,5.57148760509196,6.75488616153292,6.20597587919359,6.19956760323325,6.21775058189868,5.81316837991579,6.78855131440538,5.8945838222439,5.70834396093357,6.26540285737369,5.5078762067114,5.27812559626155,5.99584610578215,6.2032955557974,6.070118986663,6.16735282184943,6.84316308444772,7.01402726490326
"COL1A1",1.45165966789492,1.0705265342825,1.66460973335801,6.49171881086751,-0.83012771110635,-2.04576285820195,-0.910714741051657,-0.717092500178452,4.59135853732152,0.918945235551836,-1.2835884115829,-1.48783953878454,-2.43316432264885,-1.31153946401179,-0.160493723657477,1.00786914910931,-0.444545853977264,-1.56431801381654,3.51718205208564,3.06554025977673
"ST3GAL4",7.54075896804716,6.93972180399197,6.68991846519391,4.61961454093811,7.17811464417443,7.05715577787153,8.37697472637292,8.77034610255594,3.80110899792122,6.84133397770796,7.95994674943109,7.98487283645411,8.91801912940826,8.2392169497504,8.06123725567461,5.38392788049068,7.76469188748324,7.81697744859911,5.44680299560048,5.66007090500003
