"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"CX3CL1",-1.45419557489886,1.82881159837722,3.59649179718262,-3.1055150728354,-0.498926172282026,2.46124592700423,2.06579171307669,3.60689920865662,-2.61763102016759,-0.663453217039917,3.41748156865052,3.87269679934292,2.99076130001633,3.04495567129759,-1.3336992041478,2.93801217015538,3.37869327199335,3.48369795044496,-1.06308845468835,-1.72405242679671
"CXCL2",0.421190100383388,-3.32192809488736,-2.51043151923626,5.3815019583692,-0.537114495395277,-3.32192809488736,-2.12822935787084,-3.32192809488736,1.97120981303328,-2.95515114435733,-2.71899840837614,-3.32192809488736,-3.32192809488736,-3.32192809488736,3.45066974199824,1.71443365281669,3.95849368100746,0.12242591097658,-3.32192809488736,-2.97177996459844
"CCL22",-2.33529437915624,-2.39464861319175,-1.81718859120664,-1.8532485044957,-2.39046109332158,-2.63136319527439,-2.1202702950297,-2.21145606485663,-2.24700471060858,-2.5928768335439,-2.02562869936979,-2.36881264333006,-2.18765633616233,-1.76224643243548,-1.40192717830474,-1.99874961850629,-2.8701792303103,-2.53707380707948,-3.32192809488736,-3.32192809488736
"CCL17",-2.38390130633252,0.287971356650553,1.14671191921551,-3.32192809488736,-1.98902930666723,-0.337733742395601,-0.946865458619351,-0.04297730289334,-3.32192809488736,-0.726853812769693,-0.323836108119589,0.281576313331965,-0.274471549252933,2.08562207233558,-3.32192809488736,-2.35617261677622,-3.32192809488736,-0.894056532693758,-1.65769289229511,-2.17223799953099
"CCL24",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-1.03568941897115,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,0.403634412158019,-3.32192809488736,-3.32192809488736,-2.3901418596002,-2.18774150752631
"CXCL12",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.63907856883271,-2.96328974880895,-3.11250068145774,-3.32192809488736,-3.32192809488736
"CCL7",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.68737196697654,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736
"CCL2",1.62642811858518,-3.32192809488736,-3.32192809488736,-2.24656849394549,-2.20693586959317,-3.32192809488736,-0.703093242904693,-3.32192809488736,-1.10356573654069,2.55435622578643,1.03615570693451,-2.7334653921883,-3.32192809488736,-3.32192809488736,8.42982880943185,6.89175640529791,9.72725246033002,6.70531187383539,-2.09728833568322,-3.32192809488736
"IL2",-3.32192809488736,-3.32192809488736,-2.89554790146964,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-1.72964560965812,-3.32192809488736,-3.32192809488736,-2.44050651281349,-3.32192809488736
"IFNG",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.49003200555109
"IL4",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-1.41738786403807,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-0.819112535145776,-3.32192809488736,-3.32192809488736,2.04467679572702,1.90645215709627
"CCL20",0.67604871575512,2.68179746708146,2.53509938970207,9.49682074228206,0.800953425822033,2.92802913270009,0.489347441857811,1.7516598289908,0.887311272282435,-3.32192809488736,2.44108800953937,1.87788023635446,1.38084835238928,2.24168240225025,3.15631585274836,2.97994230818124,4.84802300979914,2.43417443746002,-3.32192809488736,-2.29368199211989
"IL1B",1.79340244890442,-2.07475644973867,-1.32608183046151,8.87321299848237,-2.27227723404543,3.83769667727012,0.878434968298851,-1.77646223621105,-0.415828647859978,-2.78210114057738,-0.632586103481403,-2.85595383634696,-3.08542236099972,-2.49078443092088,9.73529018048064,5.21859416967239,6.5643456855731,3.14981544113163,-3.32192809488736,-3.32192809488736
"CCL25",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,3.69063191977708,3.78364216662241
"IL6",-0.702813711916225,-2.65937658909083,-1.98727822078101,-3.32192809488736,0.28273553026404,-1.83787421166257,-2.98581084069865,-2.91186767825124,3.77731227968048,-1.69685167076943,-2.05304689459928,-1.89297723334619,-0.770786778979432,-3.32192809488736,6.16490344783242,6.98984772020385,4.36930071059995,0.174103996192413,-2.10399680407568,-2.79258733432706
"IL10",-0.262402642179969,-0.0989019825524121,-2.21436504211204,-3.32192809488736,-2.79034106391396,-2.4713806867113,-1.12286070322902,-2.910271354318,-3.32192809488736,-2.77792049706823,-2.08160618120752,-3.06477523268656,-1.01604628687268,-3.32192809488736,0.17758903079364,-1.16851323438531,-0.295174375594298,-2.23755263647737,-3.10445739786994,-3.32192809488736
"CXCL13",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.9271829760245,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736
"CXCL16",1.93355244783789,1.54750352121503,2.54258264802463,-1.98502223715738,2.52488901469967,3.28697951002174,5.2022757947825,2.86002389781392,-0.708225222265913,3.64244678423103,3.80536008929437,5.03164612595462,3.6075268662702,4.611769126384,3.78468319527987,3.12631285259793,1.18404346972355,2.75089013938424,-2.28255593803649,-2.38249335444752
"CXCL5",-3.32192809488736,-3.07464836216002,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.12153630858492,-3.32192809488736,-3.32192809488736,-2.85861289375807,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.80684942461523,1.38722618831591,-3.32192809488736,-2.20395642424243,-2.52885667898946
"CXCL1",4.89744257362819,1.96761188609257,1.54362705694229,7.42143825993837,0.208613100527431,2.10881513904517,3.31505698650736,6.22125908248918,3.60166614758319,-3.32192809488736,-0.258635546439478,1.67336922310449,1.37838492623458,-1.74484644587154,9.72826038281112,6.98719331225367,7.09709947259637,5.46033707385798,0.190038340679232,0.475641472201577
