"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"SLC25A5",10.2245893074339,9.63190616466099,8.84070934803025,9.78211598960428,10.4085675987131,9.83087219440477,9.80244822551997,10.0362541390891,9.28889810133447,10.6728719344874,10.1680346293943,10.9666345473801,9.91761966503835,10.0980402446485,8.71732180161459,8.20004064492868,9.59138096240822,9.55996576722701,10.0096866850591,10.0829515869989
"VIM",11.2908709650555,11.0331451883376,11.1707772796,13.567704322764,11.304658302959,11.412619832358,11.4858178838324,11.9024385607619,12.2935949930616,9.88111246218779,11.7678669541655,12.3182295889611,10.4582883480093,11.1474209247441,12.0032572898434,9.47062312603095,11.7248671124755,10.8763530968593,11.3557347784117,11.1156384700571
"TMSB10",11.5898571593344,10.4227624549517,10.6259680899647,13.0028882259452,11.2940112440616,11.096978497228,10.8197605167474,11.0761364681977,11.9945321748558,11.8477696579765,11.2123849754163,11.6125104195973,11.2949716097435,10.8775034747738,11.1280615992059,11.3534528775284,11.1722845973588,11.1908699507705,-0.351882907287969,-0.473572628787011
"RPL18",11.2076371518816,10.7179664972583,10.560255698723,10.8127071187171,10.4579149903399,10.6970872085261,9.91734804980629,9.74686578150898,10.4403524699405,9.76369656062711,9.43332421712485,10.9078768249421,9.97688596538399,10.303895942684,9.92810603719554,10.2127434403893,10.0769177838024,9.99604624684198,10.8790043939012,10.9507987152907
"YBX1",10.6071148089463,10.6245901950744,10.4455559583679,10.6793911630675,10.6948808934549,9.97523720515608,9.47840910477257,10.5107039659605,10.4390328598478,10.2941510098064,10.2449887123519,10.1952822944152,10.3264808400625,10.4202602991789,9.27044130733221,9.90910607900303,9.7414592172579,10.0181704250892,9.5408702989773,9.65348915119798
"PKM",11.3714081291537,11.5224930366682,11.1812764257044,11.4638366420754,11.5727597473046,11.5963481348931,11.8291946583526,11.2555893009651,11.7935192910276,10.1275842945246,11.8458583839188,11.2821062011358,11.8678506929521,11.5190764867893,10.7678012805328,12.270261804694,10.9806893135476,10.7842334485643,11.3580688886296,11.3274706153286
"PABPC1",11.5404948707732,9.21223590560479,9.97023433709454,12.4374944816301,10.8862604584418,10.6715426296649,9.94064134020543,10.7767007637384,11.2647145509532,10.7206971285382,10.4701648653006,9.88959747883436,11.5240196213623,11.8803301761728,11.0088239470622,11.0694491540262,10.1492311891843,10.567022502119,-3.0941111850154,-3.32192809488736
"ENO1",11.6314745427022,10.606360641501,10.5070216513507,10.5060778621552,11.4619745306898,12.1278854858049,10.9048989053183,11.5674026673161,11.3024017220589,11.2291873631924,11.8878321129871,11.2104784721347,11.1337014365786,11.0268320106029,10.4220322965626,11.7379645434624,10.8714128920668,11.3805011607612,8.97940378246528,8.90568828753259
"ACTB",11.4865685730527,11.5634062433878,11.6100953573389,11.5902031631713,11.7452673120027,11.3625221888233,11.3160206612766,12.1586572704892,11.9751630212562,10.8915943501909,11.3744764544622,11.4778305362663,11.8242397578733,10.4333048586965,11.9829490706091,11.3039956683431,11.5569193887752,12.0678065869138,10.7204898203431,10.6998705388446
"HSP90AA1",10.5432761225729,10.0066886111055,9.67560997285928,9.08205352631501,9.33468373498547,10.0479687502488,10.1057255685337,9.36405936122284,10.6147190041768,10.9358615975816,9.69188479223386,9.18323476227576,9.80660918795417,9.68674592100026,9.54915230578149,9.49031892535919,9.67219743699335,9.72919885590929,9.80439191533219,9.97813076406634
"RPS5",11.4717011604817,10.6062997179936,10.4975617621771,10.6854892891236,10.7684608207107,10.2622310307031,9.91960197689206,9.63901435473468,10.7520842580403,9.71899528082314,9.57607237840076,10.9671612401275,10.384288977356,10.6169096899756,10.0329888491016,10.1176333156124,10.4525884544802,9.75888892903703,10.8953350495896,10.9860427509888
"FTL",11.6660922949858,10.6767474591701,11.3604181754036,12.7985181822137,12.1668689188396,11.1272549890193,11.407769998855,9.7199701495037,12.4360929449579,10.0793062165471,11.5702129825262,11.8139252082612,10.7984334342644,11.134597781271,11.79530962782,13.1760005915356,10.9678485373177,10.7818606876454,13.7537056291499,13.8186981646787
"GNAS",11.4309706887274,10.7970669864891,10.4662951191735,11.0151103720905,9.84707743545492,10.9947013920495,11.5752386362239,10.5891840700025,10.009759701988,11.6133048913087,10.3565305565821,11.2425436423072,10.5756241855219,10.8549342017391,11.0175824142529,10.3712161845926,11.1790493313189,10.5004425381447,9.86528715790359,9.79620244153253
"RPL6",11.8095025809681,11.1922174281856,10.9017806266486,11.5122784188191,10.5249327171097,10.7424123434476,10.3497259856828,10.8082304849285,11.1593753382866,10.9442591233449,10.3376472494568,10.8348617526635,10.1238798236808,10.5722321601778,10.252368975881,10.5114280231315,10.8117609791454,10.434429654472,10.6191623548979,10.7448557228557
"MYL6",10.9115268457843,9.32874247391335,9.36927524734313,10.9204875376132,10.4319652221193,9.65765040662908,9.81520888009085,9.87677354587442,10.7047890162963,11.8358471854941,10.0795155539549,9.99832586460362,9.46110437574683,8.98727360162704,11.1544326467172,10.4975986286532,10.5731850796025,10.6362415327986,9.74694138464881,9.90335254194281
"RPS18",10.6356223644226,10.8498147822993,10.7354399896392,11.5843855739122,10.5456680778676,10.063572798159,9.88802179127243,10.4140720674759,10.6988422289573,10.2503587381302,9.85714507084914,10.5415265167454,9.66292997516576,10.4548693947196,9.7331462285559,10.8516274245352,10.1552886750537,10.1701272455524,10.7597464566306,10.9296702427517
"HSP90AB1",10.5025059612288,10.6158504197294,10.5644058154834,10.65070216052,10.5770714100258,10.142630448296,10.0086642299508,10.5228498763007,10.7057623038591,10.2809872945448,9.94106749805961,10.0146820836463,9.80967356551997,10.255383365542,9.95172179561073,10.4427470589745,10.0124628156825,10.6605851356388,11.1364130177725,11.1210056569571
"LGALS1",10.9754479072592,11.6775739638015,11.395829781079,12.0188640079361,11.0807194431937,12.1536832245036,11.001096523645,10.3374795657825,11.4232651505611,10.8939381843554,11.4905201569825,12.028694662141,10.6459120018052,11.8066473168217,12.186952210513,11.3607260881453,11.3950391613933,12.0477872650075,11.9544233956185,12.1470439706478
"RPL3",11.6874846007329,11.4403441888553,11.4370272009407,11.7084072201388,11.0100571757555,10.6238266408304,10.1567609034649,11.0975397728432,10.7959411471858,10.8446489484331,10.5242152103881,11.4266514303679,11.2741193989602,11.5837242930357,10.6164679768027,11.1499651428306,10.8966308989741,10.2763404380525,10.0595973635042,10.1784104156509
"PGK1",10.4002194507852,10.9989866694869,11.0056027764211,9.57417803153849,10.982373324716,10.8413598359476,10.3821501072045,10.5454243261622,10.1222685101859,10.3631467406422,11.1570412552806,10.9029331110537,10.0689773486121,10.8049834773181,10.1737950919391,10.349567003498,10.9047889195471,10.2171060183984,10.980977220944,11.1475813842111
"OAZ1",9.47977618743052,9.64644739944575,9.81054476114386,10.0124290453831,9.62041023898848,9.97757996158223,9.76405803312101,9.20106679218499,10.2554487499195,9.37992424898711,9.65843212528001,9.84177359516463,10.1185396440223,9.70444769955395,9.87459069093898,9.71541160187729,9.57795540613086,9.69554858037048,9.65186057181604,9.74053510992156
