"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"ISL1",-0.0141303015794342,0.0140510512600281,-0.28804921358842,0,-0.359992916191865,0.425477167701142,0.756751442483912,-0.0841166147876856,-0.366128596879871,-0.255571976418301,-0.312571626545439,-0.130830291115184,0,0,-0.234079364431768,0.0223377916550948,-0.244277587141135,0.0472096403339092,0.375400291667833,0.386062683995593
"FAS",-0.196920234477979,0.0912539306466773,0.0975180099909662,0.0667806610197107,0.953107670513008,0.291898770592437,-0.170459006677928,0.0265861699433043,0.621316091369459,-0.333457217544053,-0.225274944244762,0.00270209527228971,0.073126239419664,-0.153947457461434,-0.26705095012658,-0.229349657467844,0.189577043365282,-0.268927181682431,-0.182149391648237,0.0269700913936286
"RARB",-0.234144036466717,0.169857265847778,-0.51322169025419,0.198182601776676,0.557160911263494,0.0631600560761308,-0.294888292982362,-0.0602159231127472,-0.542774758494629,0.183490925791982,-0.2405045682052,-0.589979988911156,-0.589491608829074,0.0508634391294927,-0.334303860169214,-0.110154172965566,-0.0527442356323799,0.153867379537813,0.014355951528672,-0.110838973652368
"TCF7",-0.232289475643762,0.367561173070139,0.0378874898372647,0.323349701538591,-0.505984671389686,0.19799859450565,-0.112793508105239,-0.0296882028100064,-0.289932241353042,0.288755372424388,-0.75471532128793,-0.431181415382882,0.010743451411716,-0.3624522061419,-0.0436486418893388,0.0284948927417632,-0.156157529335507,-0.0712640563585955,-0.00337047235001256,-1.07571858833766
"BIRC5",0.0924987363314917,0.12573990066791,0.154728856487775,-0.0648339923803845,0.0135827176787442,-0.194201940280781,-0.367261323958108,-0.0938030992683622,0.225729107156014,-0.159117505777872,-0.000477889292263434,0.0607036858359694,0.0154047208833347,-0.0859814372664599,-0.240505947400785,-0.182277038347179,0.058932421322553,-0.201794246998441,-0.0865467417795524,-0.0453382326936483
"SI",0,-0.114234241772004,0.06915990264299,0,0,0,0,0,0,-0.0703142313891974,0,0,0,0,0,0,-0.0598132228815312,0,-0.141075438069751,0.0216552593526465
"SLC7A8",-0.0189987440572796,0.228957402973721,-0.227937247186661,-0.727598353038443,-0.216814500392441,0.232047889240301,0.206442738433052,0.925290990019085,0.160548002269025,0.0626665541817376,0.180178648423084,0.098587123497469,-0.24795417823709,0.0725580585570357,0.876835078755151,-0.0152158810849366,0.0791388074721663,0.412571669216797,0.0354183860211659,-0.192800829602387
"WISP1",-0.168891160664519,-0.778048214583209,0.970731388564992,-0.934363140640998,0.1199347091222,0.00124030665900911,0.446899740412467,0.106884721613034,0,-0.421100189280301,-0.03985734347547,-0.360291333050606,0,-0.932855412846881,-0.184900865989255,-0.159622346110711,0.0547449785559314,-0.134703914928886,-0.95192422754765,-1.03545662027742
"MET",-0.387379108323708,0.469070413298278,-0.00309880444349801,0.109640239305713,0.032984104050901,0.11743132091877,-0.376169326059472,0.525237474478451,-0.180877525632195,0.323536804936433,-0.00527464784821647,-0.0923834006809406,-0.0532885066319363,-0.0927433737773534,0.0312032456084258,-0.0318088485975476,0.0243428478728608,0.130787785267122,0.288973893526692,-0.142435554599486
"EPHB6",-0.127435293028452,0,0.601251659881785,0,0.00611099026542468,-0.294702620961444,-0.0536410005000054,-0.315544677384716,0,0.769337559138711,-0.0286173256964251,0,-0.0749487476067986,0.0461004423894116,0,0.680154541518033,-0.0299923650322482,0.00567764360510238,0.151804540674121,-0.240918160839403
"MLPH",0.518168070538231,0.188427405333671,0.0281013066865272,-1.04065448881883,0.0286346762212452,-0.112201457827396,0.144554746646748,0.23196944783852,0.731996497227036,0.157188781855173,0.0290676995529798,0.141327316036329,0.0746593970684118,0.145626853931462,-0.729849863766837,-0.160769527431515,0.488932414594062,0.567803559881618,-0.164410123276366,-0.560859959707408
"ID2",0.564352681070591,-1.24217924297888,-0.440241939048797,0.927141848652122,-0.571522679380075,-0.197125423862055,0.245247825718791,0.322995677740944,0.670820989209063,-0.0987862645666035,0.215275493961805,-0.454441512211408,-0.0140367829735272,-0.0195609684730171,-0.70206369991887,0.227732994554012,0.459860790050213,0.188996216803865,0.118569336934424,-0.178786183560308
"SPP1",0.183801062284052,0.352240542990368,0.525218017180126,0.217508628978778,0.924425859330271,0.276506967782807,0.232135325278344,0.443480207065167,-0.327942884397264,0.262206398344996,-0.222848861772865,0.164593302384346,0.0245067969086003,-0.035799044358391,-0.37538571013096,0.0526489105725788,-0.0827614406631676,1.14292749637153,0.268130975156335,0.330319369779741
"MLANA",-0.223180977750342,0.123160150076486,0.0614300171585717,0.683071031571104,0.258145179970773,-0.0328346474001016,0.286383568590013,0.203946977769233,-2.1324703605187,0.231402098689449,0.449389370855549,0.15828208204412,0.0472948718361154,0.0198412379164436,-0.268657556955229,-0.895106270945511,0.108758712663402,0.688391961593911,0.00470470598663804,-0.100265348164645
"SOX9",-0.143283002350404,-0.160609594911928,0.0730383681736919,-0.0161403896266543,0,0.0793263607479525,0.366844423342052,0.0492054858960022,0.42612917188671,0.0134317223099197,-0.435378168840258,0.0918279860161631,-0.105233815417715,0,-0.318862454251733,-0.0352948774628299,0,-0.0343773252068744,0.534573247629534,0.113172445648232
"PALLD",-0.355116360980624,-0.064445852172512,0.00111769815927712,0.266435616391523,0.312822764063281,-0.439591411127443,-0.249188438883751,-0.0208339474324496,0.0920306874066825,-0.567360397942597,0.241337583387179,0.102565459424766,0.0835898678962489,-0.182042757907322,-0.190520510964612,-0.294055395544602,0.111065738436141,0.149876896087991,0.0279921701632937,-0.0278319991347386
"NES",0.0440114618757226,-0.318394664862793,0.101660790488269,0,-0.116387824617296,-0.501388501144525,-0.0443086467845759,-0.313553049533708,0.664604330804615,-0.131185121007776,-0.184945046491187,-0.0333584759363011,-0.137429439486232,0.0966268791416497,-0.0953699819541207,0.0667749605932483,-0.173208322344257,-0.150098341213705,0.122074130750724,-0.166130663103612
"TRPM1",-0.200572671431384,0.380703964225623,0.0366596702073142,0,0.0131826593381637,0.0044318930462733,1.31172508781242,0.471804403236144,-0.119493384551599,0.427041499468518,0.0491434372666881,-0.131588864647679,0.266122777280112,0.508239328921364,0.141565328749488,0,0,0.804496762147959,0.000328371649668536,-0.649727401094292
"MYC",0.187109589143444,0.0081706168488788,-0.0653221812549634,0.0243402120136298,-0.123778847906057,-0.0727978590986104,0.197918469271187,0.0160522847700146,-0.724820959595619,0.0277606445589017,0.127024834143756,0.0689739028979506,-0.177383660163892,0.00382824443680097,0.0968182160585735,-0.0224637816182878,-0.235407796930875,0.0050610400365085,-0.615276350907011,-0.415761373289819
"FZD7",0.0976938174733239,0.0751769893022368,-0.0086018918359133,-0.0157763518244613,0.0909536874893941,0.0319777805672317,0.0504323247817982,0.0728786526977592,0.0997087466392395,0.191401872702851,-0.00606269339666451,0.13151889982624,-0.0416858067195493,0.0600608859271338,0.246641192424617,-0.100794352797348,0.0188519735972479,0.133648919485809,-0.0617835338339224,-0.515274609260804
"KIT",-0.231371027873958,0.531638241132889,-0.102665867306258,0.0842945890600093,0.266770761594354,0.00595547342490019,0.717993370292408,0.210687892108173,0.310171044536054,0.0260693369156196,-0.421964871509637,-0.0856299984426707,0.317907818666611,0.182083241878111,-0.418636052059246,0.25574717284329,0,0.537477571564497,-0.66876269050668,-1.08242747668853
"TGFA",-0.11698414623494,0.41681600080355,-0.371313723880111,0.101637322367248,0.57523917074027,0.113473278957757,0.169513560595924,-0.346535541631166,-0.271507828094936,0.195157436123891,-0.344542045147697,-0.0449807696058139,0.166159923663372,-0.662774711056366,-0.110832795207844,-0.779617854179521,-0.0628059444176596,-0.208224107711634,0.292134528713719,0.139057698806443
"CITED2",0.0475196341725406,-0.196044846960193,-0.167781402034082,0.0397721828767837,-0.000159998129714852,0.031862809413738,0.0918904912078063,-0.259141930888209,-0.756395876876523,0.163740170018405,-0.293189291549736,0.201506533021392,-0.269250865539403,-0.00386453995536104,-0.0984779642768053,-0.160709537112446,-0.305577571035633,-0.13881673850132,-0.103427976984816,0.154811572731557
"AXIN2",-0.614306050009764,0.0231192380035027,1.09751913851233,0.145719122478712,0.0181529834104977,0.440475811295732,-0.0773145646318535,-0.179425200813341,-0.661648381748814,0.497866696820329,-0.542645990221763,-0.223816101287944,0.0575968304438012,0.279278132778428,-0.107401794960107,-0.111177747141228,-0.309859332615356,0.168361383682017,0.103540783557226,-0.873976333785804
"MITF",-0.793772809317007,0.235995848256089,0.0122949797260968,-0.220356105575778,0.316008871600712,0.423819061231572,0.0975385810135748,0.131652806295137,-0.280054109091212,0.0631145063087853,0.0732254735829885,-0.0918592892530677,0.0118147171673081,0.0448008874047589,-0.119470351665361,-0.34460234844485,0.120322740474255,0.557335812265523,-0.0494994670658825,-0.278776155493079
"MME",-0.163718499865621,0.131547293905299,0.0426536576823567,0.0367966934290993,0.0200693253843796,0.16742879239427,-0.207915745742278,-0.118933654696762,-0.142828972968819,-0.517001077618413,0.178078039255072,0.207288253076891,-0.101178849130658,0.0883869185069328,-0.341730020437319,-0.287063966245667,0.205114074711332,0.0761219083321155,0.168670821303826,-0.30105709183548
"L1CAM",0.0103318816033509,-0.14026099691266,-0.141230892706119,0.295496366125398,-0.042497841393107,-0.304865832045863,0.544913449600159,0.0101791022600831,0.282117900987726,-0.203440778299239,-0.239572278050967,0.324680043577845,-0.239294109011853,-0.0041613523953342,-0.370052194064203,-0.139398980469695,-0.241011049977517,-0.00602458297618698,0.0212137975591755,0.25369657595118
