"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO"
"CX3CL1",-0.470281923777657,1.91988560152174,3.93768075607623,-2.91314260765162,-1.13573819657711,2.48607081396163,1.99862434402561,3.63835793968744,-2.82556662251839,-0.459418315213529,3.22606852422839,3.70067949263866,3.21345158764647,3.1543797939365,-1.16757918969848,3.20359265740584,3.40277807006467,3.48210165826083,-0.909553649967905
"CXCL2",-0.103285011873233,-3.32192809488736,-3.32192809488736,5.21501186619853,-0.925880299945179,-3.32192809488736,-2.2026304123884,-2.65327166769387,2.61589885606637,-2.96030589470621,-3.32192809488736,-3.32192809488736,-2.77590592324739,-3.32192809488736,3.23419323766005,1.75626198583898,3.18611666037258,-0.0969143077290105,-3.32192809488736
"CCL22",-2.29165821230482,-1.92025103024393,-1.8731859200549,-1.96824803808006,-2.37462619548858,-2.40394143647366,-1.89437979797461,-2.11772793558979,-2.09177636937262,-1.78611396630438,-1.35318586715461,-2.0730636827125,-1.90996625288093,-2.11790962812858,-2.47671801528843,-2.03517038131417,-2.2435051351481,-2.70260387996161,-3.32192809488736
"CCL17",-3.32192809488736,0.567033256584962,1.37196740205113,-3.32192809488736,-1.19239509487064,0.168624764092929,-1.78683191480397,0.240899381243062,-3.32192809488736,-3.32192809488736,-0.457255972583762,-1.34655130479842,-0.370082869599392,2.26969382138849,-3.32192809488736,-3.32192809488736,-2.55560378235614,-3.32192809488736,-2.16522331787607
"CCL24",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,0.448277808300847,-3.32192809488736,-3.32192809488736,-2.18432690418551
"CXCL12",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-1.44797646128135,-3.32192809488736,-1.78828449993991,-2.13516882381032,-3.03333785320938,-2.80560028394603,-3.32192809488736
"CCL7",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.7417599810301,-3.32192809488736,-2.90975591038983
"CCL2",1.12964050270947,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,0.767663034494841,-3.32192809488736,-1.90356180030617,2.9829150376079,1.68698175203357,-1.89541031494243,-2.42518789016509,-3.32192809488736,8.42221849449429,6.77633301275515,9.58177945292403,7.87150998900161,-2.55506442950089
"IL2",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.69321235624006,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.44732002142338,-3.32192809488736,-3.32192809488736,-2.71709038357213
"IL4",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-1.60837785747528,-2.02172312808479,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.45046900120149,-3.32192809488736,-3.32192809488736,1.68956268204386
"CCL20",-0.589261664070301,2.39983167711255,2.29897967121225,9.27080485939428,0.731311586011748,3.29658931595775,0.866836445148443,1.6190113281848,0.386131770142936,-2.17984459085377,2.04438243803434,1.8177468922842,1.76693303032312,2.25910748675384,1.99039444204125,2.87225692670413,4.27673264617783,2.61052339804829,-1.82286104219673
"IL1B",1.55783163932689,-1.68728689581714,-1.95636471474192,8.63127291034616,-2.01882625886146,3.9666021818519,0.892945763509254,-1.24924883856532,-0.528298992645874,-2.60007480452128,-0.37815427223851,-2.09512104717551,-2.72420697709502,-3.32192809488736,9.61453215411702,5.15758392002267,6.52903527534759,3.0896859767477,-3.32192809488736
"CCL25",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.2787913692198,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,3.31820263509782
"IL6",-0.778762119811023,-3.32192809488736,-2.40677397837742,-3.32192809488736,0.883260546049969,-2.36530263995997,-1.96855367161671,-2.27523599011336,4.26206966754603,-1.48951810582641,-1.95396400484337,-1.43674642428488,-1.07752186672323,-3.32192809488736,6.62752570833209,7.19622679551884,4.03660922865417,0.844485794112456,-1.84419528057272
"IL10",-0.665404308801525,0.157727000177809,-1.11921213425095,-2.69446359251957,-3.32192809488736,-2.23573459605416,-1.89947967481934,-2.67199431637827,-3.32192809488736,-2.00213632321175,-2.71332033786938,-2.78622427016282,-1.55306157072962,-3.32192809488736,-1.09118408633961,-1.84527484660542,-0.766798239477729,-2.9941170250269,-3.32192809488736
"CXCL13",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.00572850596364,-3.32192809488736,-3.32192809488736
"CXCL16",1.47604998923299,1.69805765585971,2.84057918586478,-2.06866427399203,1.75179445483827,3.59108845639242,4.94853765620508,2.59796145078632,-0.865652652941145,3.86689281370707,3.80587692323966,5.04456893466372,3.7539115485965,4.57768269223777,3.54303184716307,3.49156222230927,0.95606912353228,2.29734066455027,-1.92721266249006
"CXCL5",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.1662864838134,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.17814041631245,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.12273973607874,1.03320747640411,-3.11683786248174,-2.9673923001497
"CXCL1",5.00291646205922,2.56390537233904,1.56136901234832,7.28079371346211,1.47660891985613,3.24895786856394,3.22761169468788,6.15928488811775,4.26799079628296,-2.91783776653931,0.054705073473071,1.81459561146239,2.65669290402981,-1.3412967094404,9.76832382260822,7.12241028765007,6.98522328184452,6.48220513501894,-0.633535870363319
"CSF2",-0.646306963040922,-3.32192809488736,-2.72529800007477,-2.6182376375264,-3.32192809488736,-3.32192809488736,-3.32192809488736,-1.30090953892866,-1.59381647905282,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-0.809394624185723,-2.44471363227056,-2.17569195559794,-2.1700810568082
"CXCL10",-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.22764278313482,-3.32192809488736,-2.97425779519062,-2.17639222868623,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.99903822217471,-2.930007130737,-3.32192809488736,-3.32192809488736,0.506120641102767,1.22064787160498,1.09742855091029,0.212708735940888,4.0257659740721
"CXCL11",-2.9194901882078,-3.32192809488736,-3.04210564124111,-2.11177011456784,-3.32192809488736,-2.10497061153932,-2.56058270029072,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.89073276017327,-1.87093611384538,-3.32192809488736,-3.32192809488736,-0.39195919375989,0.609671897525234,0.17845112380209,-0.604318555835335,-2.5388268025085
"IL16",0.972056351449965,5.15729086032645,4.4627971979578,3.67076446737972,5.53123995246017,6.02872782082618,4.61589083314012,4.7487911268979,0.937704603585094,2.86417199160897,3.32502900822355,3.58802380458779,5.9545167645894,4.52133803246454,4.00813835895364,-1.68597325806689,3.28493362209435,3.25226517990893,-2.28146262642272
"TNF",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.26720936381424,-3.32192809488736,-3.32192809488736,-3.28813100013774,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.13684265953274,-3.18789227536335,-3.27299020816189,-2.71911334493748
"CCL27",-0.62188148741005,-2.55276500829239,-2.17183688702259,-1.05730874798968,-1.86644335272524,-0.811398744849718,0.0241194680187362,-1.0527814353985,-2.58495906387971,-0.376748351055595,-1.01034435558008,-2.16187498904521,-3.32192809488736,-0.906894175561411,-0.555896277659314,-0.321538934477127,-0.704844846248618,-1.69040757687567,-3.32192809488736
"CCL5",-1.6394016673386,-0.503755249069388,-0.69196397633479,3.96038183405626,-2.59500751242647,-1.80611990559338,-0.875493879605665,-2.574910127122,-1.38876873654417,-1.09593017555495,-2.22799543154318,-0.746333276800143,-1.94134383622606,-1.79538574873104,0.424115448967553,3.45834612391756,-0.284434734203416,1.80595783385314,2.69407321630033
"CCL3",-2.98780083865281,-2.68833590009825,-3.32192809488736,0.114097090472918,-3.32192809488736,1.68471252825807,0.788225091664721,-3.17004762222329,-3.32192809488736,2.5157020834652,-1.48295128589305,-2.86806674835708,-2.58008074491417,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.1308217793831,-3.0524525442852,-3.32192809488736
"CCL4",-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.99224389390814
