"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO"
"AK2",8.06881419951621,8.67759103796451,8.33218271268294,7.5156913941555,7.79324359364569,8.69672100573506,7.93978884196817,8.20800868965122,8.07363618541727,8.26469372527033,8.26475235110697,7.96839122670728,8.47406368556511,8.16846078988388,7.12572778574328,8.05932796518013,7.7125791314439,8.1269745403456,6.7982514738833
"SLC25A5",9.98803245561193,9.51770273418336,8.75502003924715,9.70087170712934,10.1245067818355,9.9213306209718,9.8086554210554,9.980689341175,9.27354839613682,10.6579722326063,10.1016341603633,10.776013774387,10.0332453459766,10.0342288657932,8.93896729706236,8.26827539782284,9.62133837629669,9.64962414547172,10.0582001845237
"CSDE1",8.88400833985965,8.81283362973016,8.57090644491478,9.39727816257547,8.49512671862174,8.74374668738914,10.1727111793221,8.70007412240395,10.3325742210262,7.576938555048,9.38135445977543,9.30155886561873,8.26044607490493,8.62459657970936,8.38897728835657,9.18288313894,8.63863414590362,8.42905723769582,7.0649477256403
"UQCRC1",8.04691963056533,8.04291318647225,8.09045738987935,7.92753828310621,8.91672997717176,8.37235669553612,8.38240211685603,8.20959294696292,8.14268466363678,7.85714562868952,8.46642322209177,8.94894081304736,8.59337669338649,8.75411435225548,7.85277193360437,8.71050001872421,7.81915668412626,8.08548219002828,6.66625585375669
"PTBP1",9.44980714964279,8.84298916207655,8.84792285575734,8.61720680633673,8.43320479409976,8.46392352581677,8.50933285658513,8.84034619426464,8.98009652057097,9.31149891474632,8.61226058091738,8.69296263032992,8.75796115136011,8.51869645772849,8.8430922041732,9.25540907951113,8.63244732050846,8.8642596648441,8.43609967489302
"MDH1",8.5530418150823,9.25509935875787,9.47578525042049,8.78156422194116,9.23991976540272,10.2255573791936,8.52462492508242,9.2631949292174,8.64193983164392,10.0681585085223,9.41245906259685,9.74137610157986,10.2834648470858,9.82961161864659,8.31520390752,8.04380549630519,8.41354807914574,9.13818152190529,7.93928178339829
"CD74",10.2065717743292,1.96249576479126,-2.488237366191,-3.32192809488736,-2.81540574654463,8.18142103052137,11.2190328202491,8.68319666888279,8.02397295368438,-2.24519714774352,8.87013994373514,9.70012622942365,7.97087080016281,1.16685461025898,11.1597573195893,0.497613847355688,10.4972862114081,9.38386362611626,-0.766855866072641
"VIM",11.1085712709111,11.19596654831,11.2541003157134,13.5314169393389,11.4280883041256,11.7378605966,11.5965097476682,12.0754220220926,12.2329104852955,10.0700604076031,11.8334961776654,12.2587365605749,10.625122469813,11.2484236994588,12.0783374382993,9.5556321775684,11.7191769835579,11.358270953879,11.3985418715861
"CD44",8.82866298244495,8.64504445844278,8.38335496799961,9.969582533864,9.09248161417488,8.04615744516766,10.0700683367162,9.67576538439768,9.01030273898567,9.82803039140574,9.22242695116807,9.80807614383645,10.1733039126622,8.19295772651477,9.55811282889739,10.616657174344,9.28276428309244,8.34257683145333,7.19484238674648
"GRN",6.73295463323342,7.83848021881712,8.04216881866733,6.89859437056592,8.33171428650804,8.27098938009916,8.46223529028155,8.79859925807202,7.40211003270851,8.37651802981351,7.7269233751943,8.70899028054121,7.70197480475198,8.40397748568076,8.01388140081185,8.75009050143789,6.93742646326425,7.60005835217991,7.03094253479673
