"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"TNFRSF12A",7.37671035657657,5.36351095350515,4.67571542340307,8.35711292604854,5.88075713203943,7.10960978098722,7.5905787474827,5.55133942705519,7.93657986945647,4.24698357116147,6.90227275218158,5.47927003001511,6.28478107836952,3.10565340411347,8.95773106321113,6.88944984491146,6.73551804128476,7.68185643876748,7.80114625591839,7.75198384555335
"BID",5.32246005819,5.35806467518381,5.62588561255447,5.41881048260329,5.89562436808593,6.03831894119722,5.21833046262439,3.98493579331972,6.4728050936719,5.27158944336424,5.65358191158546,5.82963030438951,5.69597532329029,5.87382725610784,4.92003898865885,6.11821364793049,5.23441831630988,5.29874367105141,4.56012146145676,4.44261377900358
"ATP9A",3.23747841081884,2.96380124939182,3.57794691758939,3.97992888800787,2.70062499460033,3.18221859799372,5.14641869239887,2.57766109543664,0.757767888056976,4.49588655830632,2.50267006619118,4.03558811414683,3.0378633256803,1.87952892572244,4.76749259310996,4.6681254339356,3.51565454015001,1.8243873807894,4.49750220436876,4.48908279092829
"ATP2B4",4.40718132984897,4.19984709387637,4.1782599213668,-0.830477440198712,4.74558784960196,5.29527149334423,5.24520666762261,5.60700591200759,2.43689903679637,5.6987660999725,5.14475037042816,5.28562658919015,5.58449506567095,4.26833413994554,5.03260881690803,5.69769980513868,5.04688274946512,4.54330634981163,0.839679602233005,-0.488868636737859
"NGFR",4.52454789449249,1.65574670328785,-0.0158502597474501,-3.02883749072026,4.39581656663034,2.73030278040601,7.31956047429634,2.73097587550025,-2.96381299903768,0.747260175502412,7.34246640905652,3.93104393132802,1.25036304820434,0.367800196503028,5.64843162653294,0.30964945095086,4.54200571814106,6.09530755888166,-2.02628929589097,-2.52266406611033
"CNN2",6.11076592766022,4.95311007987361,5.00599076430034,6.91106556161991,3.36385960360076,5.01832106075417,4.67203705553646,5.40401917701151,6.35829703216168,5.57522063359626,4.20504319899933,4.49088582692528,4.85121672209305,4.34736153495247,7.08495976821241,7.33676354724138,6.32834383720178,6.41366697003633,6.05158249707064,6.12146843825602
"TRAM2",4.37400395000135,3.58640160269463,3.33072617801695,3.60276052551771,3.67148763132624,4.07644460670326,5.03346772477761,4.86287994170272,6.19077338259563,3.90746148249525,3.6431065332255,4.78145027491363,2.91837645568078,3.30014007357807,6.31741863478524,6.04723626632062,5.42531219251583,4.54915167430735,2.3308589193755,2.21757867301909
"SLK",4.10013486410853,4.14687902379176,3.88510036967415,4.67899877224306,4.02980544204247,3.34424905726733,3.09264257930844,3.80147798193144,4.16474155862492,3.91012874993299,3.96099950592504,4.32703084355986,3.77593703491609,4.02035715818444,4.09090826621782,3.88807719028808,3.75952055155452,3.10682787624982,5.43407383768119,5.56017062731114
"GPR137B",3.77771190183171,5.99428105013722,6.01612244105569,3.44448826776316,7.17102071014185,7.88766999870719,6.56807923489023,5.72634329751772,2.66046802406056,5.52624316597039,6.6578980119124,5.95589336680053,7.30827372533884,6.23694512863814,4.75817808280383,3.03826477838092,4.80804509001534,5.74210782485302,7.69631788151045,8.05999508438577
"ITGAE",5.24074702728035,5.43167012942584,5.58174104415693,4.25523514490276,5.830964395583,5.67059707870712,5.67851664148028,5.48307111065815,4.9562618121757,6.00100805958584,5.33492070775953,5.14638818806663,4.82574701254633,5.76056319766741,5.65322828357778,5.00633166427348,5.24781833086162,4.89575799883557,-1.97613583033455,-2.11686008018874
"TRIP6",6.62083934739525,4.49172991520002,1.06450943771484,7.89188304749472,5.81549948278881,5.66472757907124,7.3664346191914,6.91005453102209,4.94176761185082,6.26799225893434,3.66035027284692,7.14297418786355,5.52172431343632,1.57322842887852,7.97941438414249,5.80600100440774,6.77559515880965,5.8616443469219,6.14181693351022,6.08236019119044
"ZDHHC8",5.16817751002363,5.90773347501091,6.14255184135761,5.76704424094764,5.78083436612788,6.01713658910065,5.03296680009451,4.76227674733106,5.29953669729006,5.12116625986012,5.44847915760628,5.577323606156,5.14375007287982,6.03360285250336,5.59550649334303,5.12153037473444,5.09792104554102,6.12809919302935,2.94140354095345,2.98612786339713
"TRIOBP",5.67947119498644,5.65058850690047,4.93421088364396,4.60383364950316,4.75855984457966,6.45694814072047,6.56871278005648,5.73763853688352,4.95408505962979,5.2924080797643,6.1607134995736,6.5093984954609,5.32039902801111,5.81149470665248,6.70808643820761,6.65512905523042,5.96087300720657,6.21433132842921,5.61560392299597,5.55244962357053
"CENPM",4.97845586578551,5.40705160273013,5.79103355396048,4.47848623873385,5.50898716809607,6.23643482806705,4.48587753424877,5.13736479246029,5.48005416606696,5.69440548469144,5.16647007811223,5.0074514172016,6.04061356216761,6.64804081034603,5.50167900329347,5.2038046760172,5.16623834196001,6.47206917250446,5.63388825680067,5.30704165354517
"CDK16",6.78819967357161,7.00644231894315,6.99034152121683,6.23516914527041,6.93032104020088,6.72605533544777,6.65045417941661,6.28820227828066,6.70526320904709,6.78505987196422,6.45545858406921,6.85470589375598,7.01196219187821,6.91005646707188,7.08644596575561,6.33955001744471,7.4763682613068,6.37685186077919,6.01959707628163,6.12962354931558
"EHD4",4.96376856843895,4.81685004562923,4.29457045043997,3.25420852192352,4.077163639615,4.93852451400704,4.47364074039434,5.46157945009316,4.19595975265137,5.29307582243553,2.84611122278716,3.89545472104407,2.98953323065186,2.37949432021661,5.93331900948515,3.81139217908455,4.90195394444944,4.67832840767133,4.82542408030055,4.59113800220541
