"","Hs_A375.G007.LK","Hs_FemxI.G007.LK","Hs_FemxV.G007.LK","Hs_LOX.G007.LK","Hs_MeWo.G007.LK","Hs_Skmel28.G007.LK","Hs_WM115.G007.LK","Hs_WM1341.G007.LK","Hs_WM1366.G007.LK","Hs_WM1382.G007.LK","Hs_WM239.G007.LK","Hs_WM266.G007.LK","Hs_WM35.G007.LK","Hs_WM45.1.G007.LK","Hs_WM793.G007.LK","Hs_WM852.G007.LK","Hs_WM9.G007.LK","Hs_WM983.G007.LK","Mm_G007LK","Mm_WNT_G007LK"
"ISL1",2.59333740089981,1.51705483801448,1.26205306749717,-3.32192809488736,-0.204731145282,-1.9385882490372,-2.56517665240345,1.47493194001595,0.83733047979357,1.39617753664915,-3.32192809488736,-2.97769983119996,-3.32192809488736,-3.32192809488736,0.327223530559668,1.5737058046838,2.18886008191543,1.03419606533063,-2.8424106578459,-2.82562953727026
"FAS",3.09264060092797,3.33002216226593,3.37755629166701,4.46487408982373,-0.0671504106994996,1.45448263481875,3.57873896333568,3.91879934998091,0.0655768923222453,3.75671460338185,3.66024124549261,4.38851563374836,3.14899647679475,2.21308531055149,4.74180880568813,3.58040911754805,4.21247555896308,3.56379836918614,-1.87867714824306,-1.87673858834291
"RARB",0.932036162251792,-2.01339781137334,-1.84141727164741,-2.73505371864322,-2.28124917683759,-1.55749814499486,3.45174699555657,-2.79576974826223,-3.0504362222204,4.75656675810602,4.7728698419508,4.53781865258445,-1.72400764468412,-2.32673344574681,0.607409796687896,5.60609811716954,4.19758789569705,2.74461661064754,3.138989270548,4.2551527924131
"TCF7",1.75570328425541,3.49292096613852,2.85941478682699,1.66052016180887,1.81111991788602,2.30737076584852,1.85848689311917,-0.551962724481129,1.95081490783937,0.62989646423238,0.541035244372054,1.13173210540373,2.00180068112249,0.449487810564901,0.990393816768175,4.62465571729972,3.57726042260979,1.30647550538535,0.888649880786188,2.22762412883478
"BIRC5",6.03197301090029,6.12691688522407,6.01617354478792,6.80267131074149,7.3356737499058,6.27898228674628,6.10424053627244,5.68272802618015,6.32999608657355,7.27689632446221,6.3777948447438,6.0708563840492,6.29016563333382,6.8269013048507,6.19684864072853,6.37079444857572,6.73673447841377,6.15627624425287,7.95467464733175,7.98869468725439
"SI",-3.32192809488736,-3.32192809488736,-3.25276819224437,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-2.47903664074256,-2.33698398023343
"SLC7A8",-2.11239352315545,4.7944601324797,5.35135351311437,-3.15962392173823,2.92229907805289,6.92944364694747,3.42729485002789,-0.99108272185916,-2.92272130691131,8.66890263571711,5.15887496311296,5.42663928993835,4.84929038341244,4.37320974357149,-2.44509301613221,-2.49654976649603,-2.53860415549305,2.15406501231934,0.86415658900868,-0.000664486306795364
"WISP1",-3.32192809488736,-2.84650992732789,-1.6927674946125,-3.20779820258879,-3.20199338576516,-3.21898182837912,-0.716042099120053,-2.43875556127506,-3.32192809488736,-1.81423243612862,-0.840703480470665,-2.74908196982368,-3.32192809488736,-3.20896037333985,0.240172279081261,-0.227424451463649,-0.247375012785946,-3.32192809488736,2.45034084804097,3.38041983264515
"MET",4.83112736354783,5.45782254206227,6.38245813738186,2.45411470182553,5.56756217040628,3.51217548598686,2.44502388005078,1.97897875206738,5.26456055612922,5.44290364188666,3.50372401827835,1.57126576591658,5.51892905414922,3.18614227379604,2.30977180823903,5.63179190772206,4.06529060139549,3.34850713603009,8.11150520075678,8.11906901478839
"EPHB6",-3.32192809488736,-3.32192809488736,-2.72067643500558,-3.32192809488736,-3.166533263732,-3.14650474588276,-3.32192809488736,-3.06990231959745,-3.32192809488736,-2.55259053574865,-3.32192809488736,-3.32192809488736,-2.89947810116636,-3.27582765249795,-3.32192809488736,-1.66390138675904,-3.32192809488736,-3.26613607612836,-0.548000832967427,-0.88988877366415
