"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"FUCA2",5.75417530575532,6.11131119448372,6.20394717228767,6.3707915719492
"MYLIP",3.11819645813777,3.63121020113617,3.08826326784774,3.66304688255518
"MGST1",4.79854845550603,5.56831606029197,5.75720034375077,6.28096439904394
"NSUN2",6.94368016018789,6.54341741771221,6.90664423173667,6.63896448802598
"TNFRSF9",2.07474894584084,2.97332918292904,2.08503361584881,2.68403510901798
"YBX3",8.967771250092,8.65579636972915,8.95368849752942,8.61781981428714
"MYLK",3.08974575946058,3.47219623865463,2.70387349651618,3.18862034895327
"ME1",5.89465523752334,6.22775885304084,6.11011538852555,6.38281068693524
"EIF2B3",5.04027633760721,4.61886530773658,4.93834662583641,4.72771173919216
"SEMA3A",5.77473937174884,5.29081538761747,5.73696374567373,5.45318637168657
"GPR137B",7.69631788151045,8.11460234454299,8.05999508438577,8.18841428849794
"GSTP1",5.4157830749605,5.96257050775637,5.70069193768822,6.20138535581223
"BLVRB",6.02938374526303,6.53588252628494,6.1993262835127,6.66061786802032
"VARS",7.49219797206963,7.13646697716872,7.22184477300075,6.94767818021348
"GGT1",2.83329728135207,3.74373301085024,3.33907455055527,3.37446223155217
"HMOX1",6.43056568131788,6.88904426445303,6.91454054080643,7.06934717082491
"EIF3J",3.5830460789756,3.43746489151196,3.58377714716176,3.47099523368484
"WISP1",3.4414350821758,2.45034084804097,4.52906612362476,3.38041983264515
"PLIN3",6.3848957905445,6.84316308444772,6.51692678445635,7.01402726490326
"COL1A1",4.26673995742701,3.51718205208564,4.09705755255468,3.06554025977673
"GAR1",7.46116492089759,7.07895804697219,7.31548985172642,7.18831958890086
"CCND1",7.61617468971238,7.17113246630327,7.56423866073988,7.12878215665377
"SPSB2",4.04116640476359,4.65066505546207,4.46944338270833,4.6674784372385
"ENPP5",3.99768710876179,4.48897126682083,4.31923466161142,4.6637649102308
"HBEGF",3.46887450527418,2.62528303675611,3.23202430688116,2.76917950075239
"KCNJ13",-0.574699114157231,1.14242673488162,1.49340320650254,2.56088114717687
"RND3",2.92452853129499,2.33521055339184,3.10387298079748,2.37109753356454
"ERRFI1",5.44005217844973,5.07276846620929,5.4356652186224,5.1728948547127
"SRM",7.83118615595898,7.41140927830778,7.86286776588218,7.46268104899943
"IVNS1ABP",6.73153810829351,6.43822381205757,6.45013923394056,6.28150216437041
"PIK3R3",5.24271544377478,5.73522893188758,5.24685792477415,5.63334748271143
"TNFAIP3",2.39941780943644,1.45713180066048,2.43989652251984,1.46127071708401
"VAMP8",6.06553916407458,6.49006411851741,6.29211914464753,6.71465906444519
"MAPK8IP1",5.66210765107937,5.98639643768087,6.02209444551836,6.19211971332078
"CITED1",5.48098791460871,6.56595669497325,5.59004655068912,6.64552823397719
"TUBA4A",5.67425607194572,6.09966480250911,6.22462657600338,6.59657674878553
"AJUBA",4.65811297053172,4.15995476648136,4.43092073632292,3.91155010802313
"TOMM40",7.14039859480917,6.83272777871147,7.15152644555615,6.87143440273448
"DUSP9",3.23797478556082,2.66636585606743,3.10175680456267,2.75902966745792
"ZNF428",4.87357580820705,4.45536813816214,4.51402286903324,4.42201854292869
"LGALS3",7.91636625825719,8.43684596158998,7.98538444759046,8.4203225237684
"DCLK1",3.24247760261016,3.7229096783902,2.88868090261517,3.36393120763456
"FST",2.76639594774335,1.80293850101406,3.04429380914659,1.99610051884704
"CYP2J2",1.32865976574144,1.95088363662491,1.62782202944153,1.6735299501634
"MYC",6.09114126238039,5.47133187476042,5.48311214794429,5.07002672480306
"IER3",5.49082596357621,5.91492245342571,5.71016794135375,5.80462650390402
"AOX1",2.67770773726892,3.15160491898286,3.03600790379348,2.94912839013771
"LARP1B",4.98060449432733,4.38059550960319,4.8801809978617,4.25488716952979
"WARS",6.88289415460925,6.50247248587753,6.78266888720583,6.53535328830723
"TPM1",8.98111679771328,8.5932930441189,8.90263757161633,8.58473284863495
"OSGIN1",4.12569333346895,4.74941330549992,3.90409935612156,4.5393249686851
"TOB1",4.51951619755425,5.02212340408475,4.5016715308153,4.87441317664176
"PGD",7.3296049878854,7.82835345576849,7.43095101983576,7.80804156418024
"CYR61",5.31231592039121,4.77299916432833,5.44685106622434,4.581281216679
"BOC",3.1170445166559,2.42061368091307,2.37132626240465,1.98979922357519
"LYAR",6.97752747970105,6.52679106768164,7.13370320257116,6.60516406418165
"PNRC1",4.40197252639583,4.90474197603791,4.22526895588477,4.56927126426152
"DENND2A",3.59776481320221,4.21159488429525,4.10873890575255,4.2760323889105
"GSN",6.7667507909813,7.16838613689957,6.78925213239475,7.01725050074446
"TMEM171",3.96917147357775,3.25774039250991,4.09392449834875,3.45667334399935
"CLDN12",5.71867699576346,5.33576031207264,5.66159550667444,5.52086574552304
"SQSTM1",8.99474526675414,9.42186901487648,9.05216860485365,9.36738938950954
"WDR43",6.18097614731491,5.78284031946252,6.15039817419581,5.8431329241983
"ORC5",4.91073616224427,4.51697801231168,4.78840619124204,4.70415559000971
"TP53INP1",3.26902765382185,3.89342941202675,3.39825626999961,3.85219640511464
