"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"FUCA2",0.0381637892431186,-0.00231010813701392,0.0335561003174893,0.0533737308408031,-0.108288018020811,-0.0800801731238343,0.147026834294219,0.093568588294962,0.0926183663041041,0.136243034292327,0.140316167577913,-0.0628372504357631,0.0379489180177494,0.0294357715291249,0.0487729910318222,0.0469405938127614,0.0210754275521707,0.0971491298447632,0.382858060131262,0.191939934203162
"MYLIP",-0.266568286483617,0.132431590972447,0.209565070151017,0.310115561456439,0.106538914118765,0.100727177068844,0.00733945925866406,-0.0215305617499599,-0.0837187502853109,-0.0590723011165946,-0.0767323659548487,-0.0549152010420615,-0.098579007767378,0.190241884685618,0.0755841392206678,0.0485272467699083,0.0997256118987661,0.0223122603016609,0.506891031354054,0.566028339289413
"MGST1",0.203551456161169,0.0106611729775474,-0.0129447083776759,0.0331547704754654,0.337200437247927,-0.0291629103790516,-0.496619044907872,0.457770511662894,0.0860300146854201,-0.0340279622130517,0.191782659177979,0.0505400956018908,-0.0970760329144259,0.572164734227287,-0.0365617925521766,0.0146033193113925,0.158722610963953,0.40157538357528,0.820407955442607,0.546930538758538
"NSUN2",0.00526380201048389,-0.176868165933006,-0.0773595803008272,-0.0222238123456572,-0.0300037205080416,-0.144198884153492,-0.022883309542054,-0.0530637077546142,-0.140664182490298,-0.0664090747118173,0.143529079406742,0.0609171859472208,0.0139052818379449,-0.0785380644946191,-0.0709189819635731,-0.0533476584578318,0.0708451393345553,-0.0973377691243516,-0.388430568605378,-0.246107605201827
"TNFRSF9",-0.172655842445894,0.277421743400072,-0.219120915429475,0.495276361409538,0.060083283612581,-0.0192680081414293,-0.216755039856689,-0.104564006423142,0.487792198555148,-0.216832894170936,0.217018206214867,-0.255956532370444,0.271532701165984,0.151910133598008,0.189073624574652,0.149798591135871,0.0130017394814395,-0.492021631710852,0.960799300651134,0.610242674756471
"YBX3",0.0997867416412961,-0.0147165290935261,0.0565113925724724,-0.0644056442100996,0.225172094424079,-0.158736424415697,-0.013349660221196,0.0116171965645816,-0.198890283539582,-0.00283554281103766,0.150369963467863,0.0904551955395264,0.114946917771627,-0.0362389839812581,0.109628226590219,-0.098723891310864,-0.0552797071188864,0.0401522578713349,-0.318215599117982,-0.334458691202834
"MYLK",-0.508861327559908,-0.579274942436566,0.784317890785687,0.16675622036831,0.0882655789544914,0.049734222740702,-0.451055010827876,-0.76865024406869,0.345926742309443,-0.120216799838664,0.413935065304865,0.12665371290067,0.155328491395718,-1.24597837909648,-1.19756677576534,-0.412348898132763,0.0762506114145032,0.00888582244876766,0.386281180108283,0.485499612749932
"ME1",0.0759257145471872,-0.004679309624138,0.242861806643488,0.0304299441306474,-0.0297536091158573,0.094192903713062,0.0956086029350804,-0.0442655510625956,0.211314033348084,0.213259477291989,0.100930927774,0.00634402737650272,-0.102500348519076,-0.0674910614953555,0.181065107215185,-0.179709396976675,0.0176640637215966,0.116909910912288,0.336653455350888,0.270239274334991
"EIF2B3",0.265331468328648,0.102887892516769,0.139517792213372,0.0637122456449995,-0.0795333287842459,-0.240977187053374,-0.0251925495178972,0.0483851903835753,-0.0792484667656726,-0.0256110407644327,0.129750439665792,0.0772832638644335,-0.0999084610259929,0.0733351005443896,-0.00942843526405429,-0.113005921612992,-0.0290206466926993,-0.148926859720026,-0.421844281737237,-0.203051780674133
"SEMA3A",-0.409234804009743,-0.20973938630195,-0.261495909643963,0.125685883328498,0.177000226720246,0.244278497066689,-0.0181054946122095,0.134773550340742,-0.415548952163852,-0.206445561711873,-0.0855402916549549,-0.333513946679627,-0.00170784287957398,-0.184219241995068,-0.210816583071369,0.0256732782881593,0.0645257964517383,0.100360094622016,-0.460942684001565,-0.303055969084509
"GPR137B",0.160646358700127,0.277722293925459,0.136991727728656,0.249184964572022,0.0755542150196074,0.0739706892973042,0.0738178716069068,0.229898363803056,0.38913251509967,0.0509621064034261,0.131441285402898,0.0403791723437284,0.0134028485759954,-0.0322150420845736,0.5491915864905,-0.0616598154852883,0.0846190989640238,0.353296390879421,0.431863069926278,0.169711306182567
"GSTP1",0.232516756411529,-0.0201836996220174,0.00379639402926745,0.109616096483783,-0.0279820793582909,-0.252585275560755,0.0217033099721997,0.160194752456466,0.107325662949063,0.0220948454073658,-0.120226356629794,0.198061580859971,-0.198547639649506,0.0585521430757842,-0.0624006375536404,0.0154008456466691,-0.107580322514153,0.00657655441699569,0.56082372035137,0.485798141888008
"BLVRB",0.343035020087343,0.0400046444201991,0.186765985090324,0.107009664603811,0.0613690089188193,-0.158407452188005,0.02778552009488,0.188801969677961,-0.00103676358375948,0.0249152992397099,-0.0559252464182552,0.368529200723213,-0.114637599365578,-0.0360182380551834,-0.172104144452467,-0.192189199873638,-0.0200153847969676,-0.157219403045817,0.492373367156728,0.474283659303022
"VARS",-0.257087057864345,0.416661456779689,-0.137778826775232,-0.0453836369334036,-0.10402551321918,-0.263604133844315,0.096408550906396,0.108746750758599,-0.259996251668001,0.0910347296410865,-0.089017561862897,-0.246940924379932,-0.0118207059595589,-0.158185052256274,0.220297383816873,0.115357372100196,-0.282844850900606,0.0105667441771943,-0.354353555349419,-0.275089872669701
"GGT1",0.311607665262766,-0.054274414848088,-0.468258254449389,0.0447388589412031,0.351039756280922,0.23103102853985,0.0970768072730835,-0.108091485793767,-0.117863910328724,0.93545881494713,-0.619378659122136,0.22093978533166,-0.617982277169536,-0.144435596277323,-0.686539618496517,0.478754387327176,-0.743455693727667,-0.33147062657702,0.934265476158212,0.0827028520425881
"HMOX1",0.247830952099493,0.196276432576089,0.127176475305151,0.308653368648279,-0.0686068162918948,0.0454666536963708,0.461073443633439,0.594763854713579,0.135968536558691,0.275653700006938,0.0921665939975477,0.263173561274712,0.0252369880120444,0.037159124590872,0.0345742136319928,0.0548346988207452,-0.215388630736622,0.242121636878254,0.46922223369996,0.158811759904151
