"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"FUCA2",4.63362884082721,5.28551443103601,5.45809874492671,4.00563677054624,6.17804309443933,6.36841873552623,5.65320399379746,4.08438271573169,5.9355374658983,5.99631402517716,5.59160502656804,6.30095071999356,5.88114368342884,6.76321608421966,6.70667188537877,5.36309015256155,5.65433818231465,5.8474483344693,5.75417530575532,6.20394717228767
"MYLIP",2.90266811222572,4.17848069885446,3.91151919245687,0.19638426936511,3.17104746105242,4.56532344402483,4.48100852823007,4.69559698966455,2.34726077823502,5.02064983723176,3.42391273891259,3.97142162481958,4.05043745134369,3.43004064365993,3.6195490742845,4.93745013866487,3.22669173300843,3.98878685217909,3.11819645813777,3.08826326784774
"MGST1",8.24461269928273,7.80767454204382,7.34331349608781,-1.56381392233575,0.89313599058394,9.00038489496552,-0.728988122941192,0.119809703335637,8.25331032976518,6.77784530036478,7.29140219802755,4.63826208440383,7.18860909473591,-1.19156634834853,4.79082081120111,9.77196034728902,6.86224698656907,-2.22634142828669,4.79854845550603,5.75720034375077
"NSUN2",6.6828397476501,6.36876482765263,6.72019063057964,6.01132570066845,5.63648037585584,5.57806418310976,5.3904985932523,6.03906501226397,6.92703146891462,5.69307373682242,6.27130247485914,5.32136106909386,6.12994157217706,5.40975235562349,5.81666283833455,5.97493319708358,6.4262305640141,6.03736960354566,6.94368016018789,6.90664423173667
"TNFRSF9",-1.88843547721278,-2.50944971098809,-2.24916696622363,1.28592090949799,-2.11525956825915,-2.10614658315216,-1.70240619779555,-1.83681230441623,-2.3704001002172,-2.08678358591563,-1.99436533976304,-2.08401604005643,-2.44485243784645,-2.1666889473588,-1.57439133663588,-0.213505373558542,-1.37387987192184,-1.681327074478,2.07474894584084,2.08503361584881
"YBX3",8.27504560248719,7.86890882353944,8.10419367190745,9.370440039282,6.76360549166587,7.77531979739256,7.73318755950562,8.40012213131352,9.13838477771419,7.6641807183184,7.97758377195841,7.57359079786977,8.52768076447022,8.73401580428502,8.02987553377624,7.62936764088093,7.95457774857817,6.34024418659934,8.967771250092,8.95368849752942
"MYLK",3.01251801774544,2.64815718554273,2.22739985478316,2.17976914186254,1.36015254286622,1.66256713614928,3.52692335002658,1.35093556002802,6.56427508952059,5.46924883007029,3.3990600368123,2.09691880155593,3.67426852862897,3.58817779060878,5.49579094754195,5.5861772401383,4.63676240980892,3.47792778157806,3.08974575946058,2.70387349651618
"ME1",4.07506845243366,4.46090020720868,4.05239425867014,2.71028224889672,3.28723821994505,4.20340826220754,4.11795850338129,-2.92686663951273,3.66574289715196,3.80934000480132,5.24540280977512,4.27120372805134,-3.21942774636829,4.05920855902978,4.28749726648022,4.39190386470299,3.70715034270701,-3.02923772474302,5.89465523752334,6.11011538852555
"EIF2B3",5.31705833641558,5.70055250383978,5.57048770026123,4.72483997995923,4.69108919288481,5.3604161586744,4.8033886893421,5.15297892865471,4.99292341200713,5.09526161772934,5.30006568986011,4.78453674093068,4.94395576837059,4.51103126442587,4.53893594643002,5.15803871107912,4.87945277831216,5.25488459479723,5.04027633760721,4.93834662583641
"SEMA3A",5.07270469860791,1.09562213779341,2.2129671249974,3.97681162662651,1.7228967041707,2.85777372946263,3.7489324617357,-0.0149581325946043,3.17122095013341,2.96661345822948,3.04890792602589,4.4841796889539,2.10675068368682,2.96904864362641,5.18245849585317,6.35317251443376,4.78115387882605,3.41598961770613,5.77473937174884,5.73696374567373
