"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO","Mm_WNT"
"ISL1",2.60746770247924,1.50300378675445,1.55010228108559,-3.32192809488736,0.155261770909865,-2.36406541673834,-3.32192809488736,1.55904855480363,1.20345907667344,1.65174951306745,-3.00935646834192,-2.84686954008478,-3.32192809488736,-3.32192809488736,0.561302894991437,1.55136801302871,2.43313766905656,0.986986424996719,-3.32192809488736,-3.32192809488736
"FAS",3.28956083540595,3.23876823161925,3.28003828167604,4.39809342880402,-1.02025808121251,1.16258386422631,3.74919797001361,3.8922131800376,-0.555739199047214,4.0901718209259,3.88551618973737,4.38581353847607,3.07587023737509,2.36703276801292,5.00885975581471,3.80975877501589,4.0228985155978,3.83272555086857,-1.75459186639682,-1.84818083073357
"RARB",1.16618019871851,-2.18325507722112,-1.32819558139322,-2.9332363204199,-2.83841008810108,-1.620658201071,3.74663528853893,-2.73555382514948,-2.50766146372577,4.57307583231404,5.013374410156,5.12779864149561,-1.13451603585504,-2.3775968848763,0.941713656857109,5.71625229013511,4.25033213132943,2.59074923110972,3.03293733435007,4.51752455760213
"TCF7",1.98799275989918,3.12535979306838,2.82152729698973,1.33717046027028,2.3171045892757,2.10937217134287,1.97128040122441,-0.522274521671123,2.24074714919242,0.341141091807991,1.29575056565998,1.56291352078661,1.99105722971077,0.8119400167068,1.03404245865751,4.59616082455795,3.73341795194529,1.37773956174394,0.873848001417004,3.32799169462807
"BIRC5",5.93947427456879,6.00117698455616,5.86144468830015,6.86750530312188,7.32209103222705,6.47318422702706,6.47150186023055,5.77653112544851,6.10426697941754,7.43601383024008,6.37827273403607,6.01015269821323,6.27476091245048,6.91288274211716,6.43735458812932,6.5530714869229,6.67780205709122,6.35807049125131,8.03709113216477,8.04872457323148
"SI",-3.32192809488736,-3.20769385311536,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.25161386349816,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.26211487200583,-3.32192809488736,-2.37153967147444,-2.25772127517162
"SLC7A8",-2.09339477909817,4.56550272950598,5.57929076030103,-2.43202556869978,3.13911357844533,6.69739575770717,3.22085211159484,-1.91637371187825,-3.08326930918034,8.60623608153537,4.97869631468987,5.32805216644088,5.09724456164953,4.30065168501446,-3.32192809488736,-2.48133388541109,-2.61774296296522,1.74149334310255,0.80727145785466,0.310697635162122
"WISP1",-3.15303693422284,-2.06846171274468,-2.6634988831775,-2.27343506194779,-3.32192809488736,-3.22022213503813,-1.16294183953252,-2.5456402828881,-3.32192809488736,-1.39313224684831,-0.800846136995195,-2.38879063677307,-3.32192809488736,-2.27610496049297,0.425073145070517,-0.0678021053529377,-0.302119991341877,-3.18722417995848,3.4414350821758,4.52906612362476
"MET",5.21850647187154,4.98875212876399,6.38555694182536,2.34447446251981,5.53457806635538,3.39474416506809,2.82119320611025,1.45374127758893,5.44543808176142,5.11936683695023,3.50899866612657,1.66364916659752,5.57221756078115,3.2788856475734,2.27856856263061,5.6636007563196,4.04094775352263,3.21771935076297,7.83828608008489,8.32420995496703
"EPHB6",-3.19449280185891,-3.32192809488736,-3.32192809488736,-3.32192809488736,-3.17264425399743,-2.85180212492131,-3.26828709438736,-2.75435764221273,-3.32192809488736,-3.32192809488736,-3.29331076919094,-3.32192809488736,-2.82452935355956,-3.32192809488736,-3.32192809488736,-2.34405592827707,-3.29193572985511,-3.27181371973346,-0.265543243446854,-0.72340885688128
"MLPH",2.84731692706908,6.70233722632155,7.14946027806752,-0.834089159511867,6.99006318941706,8.63861508820015,7.52477313723104,6.66187788867941,1.48879468425578,6.17822101422114,7.70953961453975,6.8871662096655,7.04288951195121,5.86028826732616,3.69517520916139,5.63879279171878,2.34394469798955,5.4006885671868,6.88774720273076,7.32720533468549
"ID2",0.51872962918345,2.27978838064571,2.29815382530779,0.530271996741499,2.65297685862739,5.72397423226532,5.96184170622435,2.3343328641938,2.12348609846357,6.73233482311953,2.71487863762394,2.93273343390164,2.9049227547467,2.72580882754515,2.1814402725873,6.0097438044586,0.925072596746633,3.25282650998021,7.02054589676418,7.80744760326315
"SPP1",4.2524793977684,0.580656164180011,2.90996105253172,7.0842053277459,3.83621327663863,8.29615491781098,11.6874106580605,0.628373436882058,0.374261905122988,8.99068470593406,5.84471571562792,11.2270283483376,7.05859097920457,1.92503222094013,3.13640781549799,4.91487016438354,4.36538766819924,3.38801845396377,10.5849574288303,10.4760373592492
"MLANA",-0.435279065047425,9.88594099862297,10.0473114086071,-1.53023643629323,9.02845374828289,11.163219120185,6.97489963826389,6.62768392065316,-0.413811698710254,10.8422183589949,9.00923358485981,4.83001136116231,11.3548038281298,9.70124600264102,-1.21066184830773,-0.0668023266182718,-0.0767590467889415,5.10492297497397,10.8554809478521,11.4949049131553
"SOX9",1.36280559980966,-2.60740489956891,-2.3456893551958,1.73360587511104,-3.32192809488736,-2.88223875791059,0.11473124777594,1.58453367971283,3.43490219178792,1.35786097470708,-1.57285106794657,3.3820962552948,-0.946576855839173,-3.32192809488736,-0.835636421978418,2.92063728647159,-3.32192809488736,-3.19036013226875,1.7981789608481,2.62777776144599
"PALLD",3.30203270943751,4.50930941052242,4.63821102015888,1.53319832902195,3.54134624400799,4.4799675276276,4.31117221637552,4.83373290676425,5.33103949667415,3.8980869676839,3.70028095966165,2.83908288347848,3.89376703654437,3.99903058960418,4.37829772963234,4.30216838358322,4.8653131536891,4.77405087601736,1.61070915370916,1.66304943382072
"NES",5.89340718033473,-0.870839209616528,-1.75296707879717,-3.32192809488736,7.12714718491236,-2.09457703066066,5.27246235588775,-0.00730182358022066,0.0433828717213131,5.55169841832042,1.33290316024638,6.44918154444975,3.71781737322345,2.14733459972029,7.68357654468195,4.87224219084295,6.90689892765452,6.76078974199524,4.02054394887218,3.60299832891958
