"","Hs_A375.DMSO","Hs_FemxI.DMSO","Hs_FemxV.DMSO","Hs_LOX.DMSO","Hs_MeWo.DMSO","Hs_Skmel28.DMSO","Hs_WM115.DMSO","Hs_WM1341.DMSO","Hs_WM1366.DMSO","Hs_WM1382.DMSO","Hs_WM239.DMSO","Hs_WM266.DMSO","Hs_WM35.DMSO","Hs_WM45.1.DMSO","Hs_WM793.DMSO","Hs_WM852.DMSO","Hs_WM9.DMSO","Hs_WM983.DMSO","Mm_DMSO"
"MYLIP",2.90266811222572,4.17848069885446,3.91151919245687,0.19638426936511,3.17104746105242,4.56532344402483,4.48100852823007,4.69559698966455,2.34726077823502,5.02064983723176,3.42391273891259,3.97142162481958,4.05043745134369,3.43004064365993,3.6195490742845,4.93745013866487,3.22669173300843,3.98878685217909,3.11819645813777
"CD9",6.96680932270105,8.27942816645398,8.35957541409331,-2.50457000638436,7.48040283480721,7.34952176864377,7.61900137717769,7.74605059411664,6.49496223707765,6.40886648964561,5.82921995653385,7.81690172205217,7.37823568537477,7.91585409971882,8.10699052783755,6.77723510748752,8.37026785945575,6.41270449294467,7.84801637566488
"GPRC5A",7.51935605814985,3.83698075212871,4.13357134179774,-0.882678418837979,4.6865728935666,0.677725973258528,4.61087425545856,4.7284587610802,5.56454183270823,3.04873929627019,4.1094897561916,4.76113644853789,6.6096895654942,4.25611147575983,0.183045079763037,6.3247000211087,3.59957805621347,3.63910690343326,3.85166460186072
"PLEKHO1",4.30433947948341,4.43770576049021,4.28257503099179,3.27790374138127,6.10541234590082,5.18304240543605,4.00375238783234,3.61467395881578,5.03677640902749,4.93365596982837,3.60467354579243,4.53096770706904,5.11735566749757,4.5306048044052,3.6751421744526,5.55889260971209,5.42012530589504,4.63439421369879,6.45362309294713
"LIMA1",6.0980486540005,5.58600927608689,5.62932876697418,5.41339488387633,5.24185682253297,6.39843361878855,5.01869688165456,5.49999067259843,6.73969575300982,5.42239399014658,5.35421451233774,5.34872444302898,6.99165780524215,5.72968460907216,5.37657798766505,6.9007717305908,4.649450767003,6.14511245457388,6.05239112929086
"YBX3",8.27504560248719,7.86890882353944,8.10419367190745,9.370440039282,6.76360549166587,7.77531979739256,7.73318755950562,8.40012213131352,9.13838477771419,7.6641807183184,7.97758377195841,7.57359079786977,8.52768076447022,8.73401580428502,8.02987553377624,7.62936764088093,7.95457774857817,6.34024418659934,8.967771250092
"LIMCH1",5.09951729085701,-0.649847885840347,-2.44671885367028,-3.14609989077528,1.89118875147748,0.970255381577884,1.76882669866749,3.41693908224089,6.61174009230529,4.47628773823144,3.52486900235224,-1.49510810881177,1.31496139216215,4.34660318305998,6.53600174569416,7.40957281442616,4.42115831886177,5.18141435227491,5.48263219549711
"CNN2",6.11076592766022,4.95311007987361,5.00599076430034,6.91106556161991,3.36385960360076,5.01832106075417,4.67203705553646,5.40401917701151,6.35829703216168,5.57522063359626,4.20504319899933,4.49088582692528,4.85121672209305,4.34736153495247,7.08495976821241,7.33676354724138,6.32834383720178,6.41366697003633,6.05158249707064
"MYLK",3.01251801774544,2.64815718554273,2.22739985478316,2.17976914186254,1.36015254286622,1.66256713614928,3.52692335002658,1.35093556002802,6.56427508952059,5.46924883007029,3.3990600368123,2.09691880155593,3.67426852862897,3.58817779060878,5.49579094754195,5.5861772401383,4.63676240980892,3.47792778157806,3.08974575946058
"FSTL3",4.89570676177642,2.18208541072628,2.72582078066474,5.78870969023391,1.95184550411616,2.90934309942988,2.69893015855244,1.90714391948807,2.25284110690546,4.01822710043814,2.54567738667939,2.04517134113303,3.27707587284665,2.65154898861,6.12830109317468,4.27712187688415,1.78463156951458,3.31083924259705,3.1016066958306
"CDH19",3.37628151047558,2.87895329685247,3.39653287427154,-3.32192809488736,4.14115837749853,2.09124956728093,6.37611016414152,2.02985720529034,-2.94871226709424,4.06342193600724,5.08034751960564,5.65537957881771,1.51702790073418,3.49278268457297,5.66570807698579,-0.870077943169884,4.44164547176131,5.0537628459921,4.42491670510374
"TCF7",1.98799275989918,3.12535979306838,2.82152729698973,1.33717046027028,2.3171045892757,2.10937217134287,1.97128040122441,-0.522274521671123,2.24074714919242,0.341141091807991,1.29575056565998,1.56291352078661,1.99105722971077,0.8119400167068,1.03404245865751,4.59616082455795,3.73341795194529,1.37773956174394,0.873848001417004
"GSTP1",9.47405295078936,10.2142654499087,9.94071594384264,8.98825313442418,9.94261114425664,10.0834687707356,8.71423515311081,7.22597716055501,8.59349528555927,9.83966415690868,9.21016336234405,8.63263396464047,9.12251253278143,9.15207843716771,9.35007704915296,8.45893678846613,9.36063483018306,9.25160117631967,5.4157830749605
"NOP14",5.73570278573842,4.35483035726368,4.66714450864002,4.5360273996621,5.09749271335642,4.2271508697223,4.47089208995774,4.45894830093848,5.36240862847156,4.09185123421205,4.60179292031497,4.24327922636971,4.67671914755217,4.20326082799208,4.461920675883,4.69131326916743,4.80875511625954,4.63716042058461,6.10665728730724
"BLVRB",4.80151558898796,6.08770494756598,5.85574966801411,6.41574537556744,6.70029655313653,6.88799296175071,5.92639175497417,6.74329304609132,6.19232220455347,6.87147500051694,6.40027895835517,6.35312514352188,6.91240001007684,7.16144592345827,5.51610870521494,6.23771391911372,5.2712880798869,6.21978972324114,6.02938374526303
"PABPC4",8.09425621787307,8.43757522657835,8.35484815135642,8.02557198238469,7.8366175503398,7.97980894472405,7.32735558117067,7.66353231571668,7.08459508635442,7.56278974162495,7.80803421504565,7.47832048705875,8.24621123398291,7.89541451447175,7.24358425591071,7.08679887536412,7.02760031386734,7.58394313522369,7.05218504861103
"JAK2",1.18815263856175,2.18272626293967,1.91270084086498,2.62500408222219,0.832394631906908,2.00744446506068,1.63882624123184,1.7736499999706,0.827791950057477,1.66492196298648,1.2787922010086,1.82855030406145,2.77883815758735,3.55402000747451,2.36135266830628,1.91144894165335,1.01584238729522,1.43275484827303,3.83312860947375
"SNAP29",4.12895756481699,5.12613812874472,5.78384467690141,4.74297785459178,5.22297566853552,5.99780616503644,5.23952371555351,5.09183184410892,4.97383929909757,5.17465835719273,5.29188415546489,5.5675760294097,5.63115187672143,6.68961711704711,5.14957044903789,5.06618630106467,4.81584910660952,5.52382019118388,4.00520452882097
"TIMP3",7.67296725721925,8.37753837185708,7.62077942843909,-3.32192809488736,6.93208067358943,8.26701746947483,9.0382990770516,8.25063913816488,0.708201651751791,5.06828472765518,9.66503135436718,8.65783730495983,9.93697644062319,7.37001559994498,9.73617216872058,8.89694809334665,7.68649550384823,8.94363293644817,4.55255620680374
"WISP1",-3.15303693422284,-2.06846171274468,-2.6634988831775,-2.27343506194779,-3.32192809488736,-3.22022213503813,-1.16294183953252,-2.5456402828881,-3.32192809488736,-1.39313224684831,-0.800846136995195,-2.38879063677307,-3.32192809488736,-2.27610496049297,0.425073145070517,-0.0678021053529377,-0.302119991341877,-3.18722417995848,3.4414350821758
"PLIN3",6.36237274562426,5.64777779684242,5.37101167258244,6.6881150315379,6.10411441397019,6.30362938252722,6.24112985958354,5.89597939911303,6.84253824722731,5.99427508961018,5.86616288454343,6.30928527594733,5.77905926429354,5.29988670834098,6.63857838433327,6.27723065894745,6.23493449824954,6.30151659047304,6.3848957905445
