"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"TNFRSF12A",0.146370809670041,-0.548775894977863,-0.0343097712126389,0.0228618484891006,-1.25696049527959,-0.7609859185971,-0.667385584279752,-0.401625281191903,-0.391456464769139,-0.860110884141665,-0.213375853016477,-0.132736788231078,-0.293582128715935,-0.249292639083196,-0.764119924140816,-0.644262400962911,-0.153083114433208,-0.667014361830163,-0.251069627036437,-0.00244026179302139
"BID",-0.02966155207352,-0.3146923195977,-0.0254349126501471,0.0765512320560222,-0.295689106504341,-0.362855293857614,-0.372118525772222,-0.250029850937167,-0.302586255705561,0.0328688724806164,-0.367136200966458,-0.0987496455917746,-0.252476199528072,0.0494508498210128,-0.422668965890921,-0.169787186022373,-0.358695214004999,-0.106274109140185,0.0656091587304176,0.169631395454504
"ATP9A",-0.092085338578604,0.235731116665653,0.0183846269733947,0.0810690842531583,0.130738569845169,0.317754281968981,0.17171618983391,0.323574553621061,0.44110127486331,-0.0303336864084148,0.201418031695626,0.140473194932892,0.0724840308164845,0.347577368165032,0.328812954512761,0.240426272242219,0.0263620922362803,0.528906818048518,0.29908068964174,0.0182566460589649
"ATP2B4",0.100519232698658,0.400063982696048,-0.0235571897644137,0.202056562346137,0.306554845401673,0.141949349961013,0.078295424758749,0.0249953938983397,0.439453804218429,-0.105688116199221,0.0472621967636837,0.0755172565648488,0.293630525570773,0.0792264603708017,0.164190305784504,0.057194547165247,0.159618957086951,0.545206383796318,-0.369204299750149,1.96078391822524
"NGFR",-0.360049861764779,-1.64112958957824,-0.911816112569385,0.380796009479954,-0.955981076897925,-1.1459415774958,-0.613708558977108,-0.558136618139881,0.0289028835201815,-0.378092015288302,-0.983000544314367,-0.531770742821969,-0.581088645023964,-0.222950012419633,-1.01334420291657,-0.395773001819347,-0.291380687575965,-1.22531813003432,-0.368464257954615,-0.00924527280935329
"CNN2",-0.379225150077113,-0.200745907556875,-0.142245911963826,0.101411759045532,-0.444747132199986,-0.216543381250479,-0.395758541026602,-0.29314227593136,0.04217983639296,-0.318750074595894,-0.549168197791974,-0.229496714283022,-0.287599836512387,0.0336660131521583,-0.712501938952733,-0.251680629971312,-0.213354241410455,-0.648034632906342,-0.237691718664726,-0.417997803408285
"TRAM2",-0.418880013733706,-0.149360358452801,-0.157477222018553,-0.117849908001157,-0.0162575460537816,-0.102930196528826,-0.0211536190100767,-0.187866523953914,-0.186020864002628,-0.0568416337445397,-0.145500426818883,-0.159846094535917,-0.0217358034403672,-0.0825727536451709,-0.275394233214712,-0.226699960514309,-0.011516403707287,-0.317064476780955,-0.0776328645006617,-0.381010861062987
"SLK",0.0866553151611312,0.108880384756692,0.106418289254429,-0.0604067613180875,0.121346843049588,0.258386594745951,0.30590598486882,0.0874010395712797,0.131532838201891,0.121191337080262,0.195195596012551,-0.0586668102503639,0.22853967823539,-0.0125806302728648,0.106740971579512,0.052805844992046,0.185007843065519,0.241503770097006,0.0330600844288692,-0.120710275550262
"GPR137B",0.160646358700127,0.277722293925459,0.136991727728656,0.249184964572022,0.0755542150196074,0.0739706892973042,0.0738178716069068,0.229898363803056,0.38913251509967,0.0509621064034261,0.131441285402898,0.0403791723437284,0.0134028485759954,-0.0322150420845736,0.5491915864905,-0.0616598154852883,0.0846190989640238,0.353296390879421,0.431863069926278,0.169711306182567
"ITGAE",0.0497257179090245,-0.11056289564865,-0.0685567085231294,0.147075904623474,-0.18852877428113,-0.473896767029583,-0.385330634269487,-0.166616987926022,-0.251879343482809,-0.213814871045947,-0.146167633983268,-0.0376567040199044,-0.184313444482367,-0.134140713572889,-0.40260779133489,-0.0991180119805596,-0.127981249686479,-0.405281732321773,-0.0216484460873278,0.0905388127133584
