"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"MYLIP",-0.266568286483617,0.132431590972447,0.209565070151017,0.310115561456439,0.106538914118765,0.100727177068844,0.00733945925866406,-0.0215305617499599,-0.0837187502853109,-0.0590723011165946,-0.0767323659548487,-0.0549152010420615,-0.098579007767378,0.190241884685618,0.0755841392206678,0.0485272467699083,0.0997256118987661,0.0223122603016609,0.506891031354054,0.566028339289413
"CD9",0.226289376482384,0.264381468322524,0.268703442373825,0.640960868075752,0.29654291435954,-0.0319098696309043,0.0157627440467673,0.167828892507046,0.159982940009526,-0.020384807107492,0.0928107771085862,0.220963193297004,-0.0589159444301302,-0.0127337440314754,0.132434598988296,-0.216496143295774,0.0918122214243907,0.0343405423009084,0.286890946228135,0.311390865220167
"GPRC5A",-0.594846595323906,0.270249844582547,0.0985746297976074,-0.460170355916771,0.222595902252061,0.824447677657197,0.224079376647968,0.254659315050711,-0.519893537753053,0.494082517989421,0.202482843835267,-0.138922099743561,0.138110380692039,0.103350764186322,-2.10461136924522,-0.556541668289057,-0.328485090379083,0.444175285515861,-0.341766595326746,-0.485074630864786
"PLEKHO1",0.0895470924479221,-0.10065102079753,-0.0650824997113129,-0.126501800581761,-0.0958531383005751,-0.162679841776765,-0.032762052556654,0.345339008738349,0.0512989773447001,0.00707310262686901,-0.0247737504748124,0.137391597231936,-0.163697195295985,-0.282982553387837,0.148119607912632,0.0929599546891443,-0.135838105458702,-0.0421290656389044,0.173637562472449,0.368367946148244
"LIMA1",-0.195239977797055,-0.102178672072046,-0.00425907438878937,-0.108490269536793,-0.54903668371906,-0.0346845483105111,-0.0486959608051728,-0.189684161703283,-0.641063387758386,-0.162332836257239,0.020345234908148,-0.185435980272704,0.0855066532202926,0.07302085364687,-0.217338881497546,0.0352841227775365,0.0416729956347148,-0.148445937550872,0.058096768176414,-0.456050059203184
"YBX3",0.0997867416412961,-0.0147165290935261,0.0565113925724724,-0.0644056442100996,0.225172094424079,-0.158736424415697,-0.013349660221196,0.0116171965645816,-0.198890283539582,-0.00283554281103766,0.150369963467863,0.0904551955395264,0.114946917771627,-0.0362389839812581,0.109628226590219,-0.098723891310864,-0.0552797071188864,0.0401522578713349,-0.318215599117982,-0.334458691202834
"LIMCH1",-0.303540814181311,0.070454983625825,-0.802301278268575,-0.175828204112082,-0.507420195305236,-0.12804731390679,-0.0598073800893175,0.0375927196659372,-0.483389036897099,-0.429401459069287,-0.0472031532098553,-0.095341008072848,0.208790768485045,-0.401944032644799,-0.479822521063886,0.057138046620838,0.0492587900404118,-0.860023171315235,-0.336894290128838,-0.562538737551643
"CNN2",-0.379225150077113,-0.200745907556875,-0.142245911963826,0.101411759045532,-0.444747132199986,-0.216543381250479,-0.395758541026602,-0.29314227593136,0.04217983639296,-0.318750074595894,-0.549168197791974,-0.229496714283022,-0.287599836512387,0.0336660131521583,-0.712501938952733,-0.251680629971312,-0.213354241410455,-0.648034632906342,-0.237691718664726,-0.417997803408285
"MYLK",-0.508861327559908,-0.579274942436566,0.784317890785687,0.16675622036831,0.0882655789544914,0.049734222740702,-0.451055010827876,-0.76865024406869,0.345926742309443,-0.120216799838664,0.413935065304865,0.12665371290067,0.155328491395718,-1.24597837909648,-1.19756677576534,-0.412348898132763,0.0762506114145032,0.00888582244876766,0.386281180108283,0.485499612749932
"FSTL3",0.165428928319507,0.0709196549257521,-0.182928657911529,-0.0152823721125247,0.136372616538898,-0.0925352484191315,0.242456342746132,0.284928713420101,-0.321634638263278,-0.213066857620639,-0.299091407389529,0.229529585764926,-0.11407092212476,0.0438834137601866,-0.768324034184897,-0.524001764192493,0.159586578015073,-0.263503089433403,-0.408116997586638,-0.654762467270366
"CDH19",-0.427132998014478,-0.23285810279028,-0.263441259531517,0,-0.125034689513865,0.331751617942052,0.070878481167254,0.334985190473247,0.678460961107049,-0.314142731523202,0.074560201771782,-0.187989003988515,0.25709792123186,-0.181595444178316,-0.0409250213174692,-0.743406612671125,0.137849806911789,-0.0250754308195702,0.266043573563526,0.470978084705183
"TCF7",-0.232289475643762,0.367561173070139,0.0378874898372647,0.323349701538591,-0.505984671389686,0.19799859450565,-0.112793508105239,-0.0296882028100064,-0.289932241353042,0.288755372424388,-0.75471532128793,-0.431181415382882,0.010743451411716,-0.3624522061419,-0.0436486418893388,0.0284948927417632,-0.156157529335507,-0.0712640563585955,-0.00337047235001256,-1.07571858833766
