"","Hs_A375","Hs_FemxI","Hs_FemxV","Hs_LOX","Hs_MeWo","Hs_Skmel28","Hs_WM115","Hs_WM1341","Hs_WM1366","Hs_WM1382","Hs_WM239","Hs_WM266","Hs_WM35","Hs_WM45.1","Hs_WM793","Hs_WM852","Hs_WM9","Hs_WM983","Mm_G007LK_vs_DMSO","Mm_WNT_G007LK_vs_WNT"
"DPM1",0.171858306325958,-0.0159268141801272,0.296616231966619,0.176814304784032,-0.142455372743029,-0.0398758677504287,-0.0384835876572206,0.111926503671453,0.0277874559256788,-0.0581325203492501,0.0790624766095684,0.232411358103053,0.0723353062374727,0.0199895526034407,0.0952751651170765,-0.19613834654634,0.26581835868688,-0.11587007463111,-0.0653381868861561,-0.253734512097355
"M6PR",-0.0445927966203247,0.043212944214522,-0.049685880544902,0.164034763094454,0.111725758077048,0.209358481996561,0.021430109860094,0.13317961333649,-0.132626228336234,-0.003829122231342,0.0828516143723458,-0.0581211875399287,0.0345353491782855,0.0220595807637235,-0.103141664546238,-0.102943560112338,0.000181678640484846,0.076017268409313,-0.00692394274881995,0.0402159513064175
"ARF5",0.154238763620268,0.115947821786301,0.079182725301287,0.0796868551818041,0.162560898109924,-0.141820275119349,0.0734771440943549,0.0719379717878581,-0.0549203873181558,-0.0857403780931469,0.0498098718684665,0.163443373796721,-0.0703937122591928,0.0944509481131258,-0.126608910377692,-0.0215134286954127,-0.0523873284646067,0.125825885988426,0.109287481472959,0.117208352327924
"POLDIP2",-0.00454301422141556,0.0382317428761105,-0.021105513277813,-0.0549706457294089,0.0182205207132149,-0.0566539115005413,-0.000465646797161437,0.117167064633741,-0.0561164092669944,0.00902920457273875,0.0560552358015791,0.050044365454671,-0.0794958740700688,-0.0237976449815121,-0.122916275328614,-0.0486181429581183,0.016697451701953,-0.0608028239515949,0.00721451493240889,0.059182703014437
"AK2",0.0236537518696136,0.00285117063585296,0.124157470971322,0.107153910141714,0.136831727611515,-0.0614321936632252,-0.0233337993656003,0.0473956301393976,-0.0887332774492899,0.00903427925375593,0.0646011529016768,-0.0253930427061263,-0.00805170719308515,0.0317682749543935,-0.107782547286666,-0.0796154632599784,0.0202867399238188,-0.00209241079826289,-0.125930756880319,-0.0858649441112251
"FKBP4",-0.0395365810692344,0.0404300332523586,0.122979077131516,-0.074710405421793,0.0476740874044413,0.00243124092367817,-0.110789595198323,0.0562534345287574,-0.192387668772873,-0.124306604391541,0.173290822563934,-0.210123112255004,-0.0699395708774327,0.0322853672465865,-0.23323112132851,-0.0572478335464525,0.0053459449236038,-0.0421986234001481,-0.127964390927457,-0.103585748935114
"KDM1A",0.218622746783664,0.0017204579228656,1.74219882260037e-05,0.128813840679677,-0.141470954636509,-0.155007239427136,-0.126518598808228,0.0679722219230231,-0.0123392445166017,-0.0904701409806398,0.0938460553112386,0.237518871881446,-0.185723515416722,0.00546181486896987,-0.221755451616211,0.0820181495198549,-0.0867370954596366,-0.0904298795229578,0.0492071109766153,-0.0598246590988262
"NDUFAB1",0.156643721115556,-0.0336196884222884,0.119476718388634,0.0453691501259438,-0.0343490221820195,-0.352977257887027,-0.0232328478463195,0.0604154205502301,0.111724337259745,0.0322253767073818,0.136541410027489,0.0200888807209768,-0.102954349642739,-0.0194634216252788,-0.082717587556526,-0.107204884989468,0.0377022893816899,0.0224193670730683,-0.00528680218685031,-0.0164473531991876
"CDC27",-0.174660944070677,0.00732647941196364,-0.10687558334473,-0.170570520799098,0.138240859248265,0.377810715506128,-0.0376173568282605,0.178961836741312,-0.158684980318887,0.0664516085324814,0.115750280334128,-0.501585965625886,-0.0382153289243248,-0.106825291798696,-0.0975982199474834,-0.106283342537171,-0.0759628369733726,0.12145910643887,-0.044914167035647,-0.0484513963122451
"SLC25A5",0.236556851822018,0.114203430477624,0.0856893087831072,0.0812442824749431,0.284060816877597,-0.0904584265670371,-0.00620719553543351,0.0555647979141173,0.0153497051976501,0.0148997018811649,0.0664004690310568,0.190620772993091,-0.1156256809383,0.0638113788553088,-0.22164549544777,-0.0682347528941621,-0.0299574138884712,-0.0896583782447099,-0.0485199682847463,0.0598715221189668
"POLR2J",0.16444557392636,-0.125349555752016,-0.0382132119190115,0.0603225805760175,-0.192624688230743,-0.403060948318688,0.0333555537814701,0.0297168816446607,0.283370745021616,-0.00391622859707554,-0.161362485054746,0.0419856744552922,-0.257115591258139,-0.0487843800891195,-0.0867987869920959,0.000419764623405177,-0.183238208292917,-0.10804647546045,0.0080966765404382,0.0403751113214461
"CIAPIN1",0.0304088622009781,-0.0627720959450612,-0.0602145985123543,0.0463895857359676,-0.00619447989300799,-0.0471730727193106,0.13992224501758,-0.00443157420860291,0.294004665632698,-0.0398389164191018,0.134656468289019,0.0615155807753687,0.112212543192123,0.15279219742582,-0.011274519732873,-0.230078399699331,-0.157836328770059,-0.145282958653684,-0.167041520547398,0.0634736802268674
"LAMP2",-0.142224118396071,0.137452507039128,-0.0196395747110147,0.170729538496075,0.0539247291050863,0.0730090404286219,-0.0698687881214993,0.0361880183400186,0.177389463546162,-0.0584158686945346,0.0661727478367626,-0.00341215029259349,0.0278510984021661,0.0115274979702586,-0.0434442994146417,-0.00281210740418652,0.0624292566498845,-0.00620939745740781,0.319136991269751,0.274245069009584
"AP2B1",-0.228159432788213,0.0873565538166724,-0.0295085434687345,0.0241832051995716,0.174248086971655,0.0744961968886863,0.00862913218198077,-0.0190137993253131,0.0246948891952126,-0.0295101911059655,0.171301317680913,-0.0899474803270548,0.0406310051845633,-0.0938161690109993,-0.0427590002071447,0.0172794725450597,-0.0384169586986842,-0.00833337889630159,0.0172702618968817,-0.0662495957014299
"RALA",0.266315445200382,0.0358302315057857,0.184313503414483,-0.125581688442269,0.0395486280410001,-0.207387546335124,-0.201830877393044,-0.140471085589837,-0.151880608776577,0.233328353963571,0.4137971372676,-0.110026091970062,0.151529228749932,-0.153806234398655,0.390754763945625,0.00167541971995099,0.174864289031463,0.0800422327481362,0.158731786701711,0.133047468521482
"GGCT",0.212948445208033,0.0891652522776359,0.0982431006988751,0.0972728661920984,-0.24286697747453,-0.196928423579462,-0.104100143467719,-0.14310915764218,-0.0682182436172824,-0.0765780306633557,0.132646457039048,0.0230569431779413,-0.0142768432329564,0.0520958385563387,0.0498484423852987,-0.264387867126011,0.0782834723910879,-0.0115725736118993,-0.00775167359983095,-0.0260890033157874
"CCDC124",0.0818754005749138,-0.149561357862218,0.256977423710443,0.0875036014043032,-0.0741433186004428,-0.332670139603859,-0.0736325297282996,0.142681590684331,-0.265122564696448,-0.150467119642028,-0.149649681518416,0.158306068848771,-0.194515501147598,0.101919882455964,-0.335910565519935,-0.263538028819812,-0.140949486582869,-0.167801615933452,0.00774696922419625,-0.00702690630357343
"PAFAH1B1",0.0404374840113611,0.134644938452512,-0.0441881515081947,0.0642512495482383,0.108049536903971,-0.00931521344609197,-0.0170907097653243,0.114671129608412,0.0325581667061401,-0.125601652848275,0.189568662299923,0.0417608313695329,0.0415128394080793,0.0320951011388464,0.00131808756880771,0.0367223139337079,0.00142662714748302,0.0915310517271939,0.005660567571075,0.000902719677638132
"PSMB1",0.216500808097607,-0.0456784181300907,0.166160872515319,0.135525222391944,0.0205824489481376,-0.298946829900391,0.023826154361325,0.0955582289855422,0.0612880709115285,0.00155242793415173,0.0453060423649006,0.113290931283016,-0.128830974677397,0.0108784872716898,-0.0688774117576462,-0.0830436930404949,0.127879211847619,-0.200952921674884,0.013460742762946,0.161215883425195
