"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"TNFRSF12A",7.80114625591839,7.57250958367955,7.75198384555335,7.7401375412325
"BID",4.56012146145676,4.62898760110985,4.44261377900358,4.59902170622968
"ATP9A",4.49750220436876,4.78950430044585,4.48908279092829,4.45780882303862
"ATP2B4",0.839679602233005,0.551985879390507,-0.488868636737859,1.12102941402794
"NGFR",-2.02628929589097,-2.40914470436761,-2.52266406611033,-2.54377851710506
"CNN2",6.05158249707064,5.79840671061855,6.12146843825602,5.6882985899839
"TRAM2",2.3308589193755,2.24791227591023,2.21757867301909,1.9356646760666
"SLK",5.43407383768119,5.47206434751795,5.56017062731114,5.43502158875571
"GPR137B",7.69631788151045,8.11460234454299,8.05999508438577,8.18841428849794
"ITGAE",-1.97613583033455,-2.0145644936568,-2.11686008018874,-2.00220315703297
"TRIP6",6.14181693351022,6.06301430568919,6.08236019119044,6.00823956988991
"ZDHHC8",2.94140354095345,2.99480769345818,2.98612786339713,2.82698064158296
"TRIOBP",5.61560392299597,5.71470616303547,5.55244962357053,5.59076936524136
"CENPM",5.63388825680067,5.49016575637509,5.30704165354517,5.29786368457943
"CDK16",6.01959707628163,5.99631479833795,6.12962354931558,6.04882380944595
"EHD4",4.82542408030055,4.67520480851193,4.59113800220541,4.57102351298088
"ASAH1",6.6169920278123,6.81278074833891,6.71130489910505,6.84389894359911
"NFKBIB",5.4308961297799,5.28066697191118,5.42323447492102,5.28260292373003
"PLEKHJ1",6.30321661503392,6.22433709048217,6.22058296534397,6.31805756125993
"OAZ1",9.70120724438321,9.65186057181604,9.6651310238091,9.74053510992156
"SYDE1",5.77921564942276,5.60927805905961,5.60632264295731,5.41960886215981
"TNKS2",5.91312503855,5.8390518661652,5.92711655933273,5.87117807655553
"DKK1",-3.32192809488736,-2.89895233326899,-2.88947249033654,-2.96432976719246
"SH2B3",4.29627728428579,4.17252010311716,4.05097318105597,3.94853826841519
"PERP",0.653020952851092,0.617708757621908,0.286347991406091,0.672209089062701
"AMOTL2",5.04494532048948,4.66905014547135,4.70386870445731,4.28230857446616
"IVNS1ABP",6.73153810829351,6.43822381205757,6.45013923394056,6.28150216437041
"CD3EAP",4.39367368770896,4.21448239354001,4.48449353774698,4.27612701152756
"CTGF",4.45640899334667,3.91483530897945,4.63776261158146,3.8159408124105
"NEK6",6.07250021883612,5.77889820020787,5.96230612908158,5.61663327517678
"UBL3",7.21706171768174,7.04441988613207,7.54933331831982,7.4401248482116
"KIAA1191",5.90213941751153,5.8353074427721,6.00431984731918,5.89446760183912
"BAZ2B",4.04803772895316,4.09468578937133,4.07462816470305,4.19007613700534
"POPDC3",-3.32192809488736,-3.32192809488736,-2.86950193078171,-3.32192809488736
"LOXL2",2.73771038215413,2.93349126567912,3.12779352822534,2.44140034509675
"BHLHE40",5.7999960657502,6.127877120649,6.364876976596,6.31937655474139
"ANXA1",7.88179284653893,7.84513613976497,7.70561238364152,7.78636342427257
"CD63",9.47105342674068,9.67995474655741,9.78209987178991,9.85565485432416
"SERPINE2",-1.21338380357749,-1.23456581037767,-1.73877654438914,-1.21873383762475
"NDUFB5",7.71068275348477,7.70806714297012,7.72569671917932,7.92445601111234
