"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"ISL1",-3.32192809488736,-2.8424106578459,-3.32192809488736,-2.82562953727026
"FAS",-1.75459186639682,-1.87867714824306,-1.84818083073357,-1.87673858834291
"RARB",3.03293733435007,3.138989270548,4.51752455760213,4.2551527924131
"TCF7",0.873848001417004,0.888649880786188,3.32799169462807,2.22762412883478
"BIRC5",8.03709113216477,7.95467464733175,8.04872457323148,7.98869468725439
"SI",-2.37153967147444,-2.47903664074256,-2.25772127517162,-2.33698398023343
"SLC7A8",0.80727145785466,0.86415658900868,0.310697635162122,-0.000664486306795364
"WISP1",3.4414350821758,2.45034084804097,4.52906612362476,3.38041983264515
"MET",7.83828608008489,8.11150520075678,8.32420995496703,8.11906901478839
"EPHB6",-0.265543243446854,-0.548000832967427,-0.72340885688128,-0.88988877366415
"MLPH",6.88774720273076,6.71770074616727,7.32720533468549,6.77804720168646
"ID2",7.02054589676418,7.12204778750989,7.80744760326315,7.35796237025348
"SPP1",10.5849574288303,10.8637634991289,10.4760373592492,10.7954723066612
"MLANA",10.8554809478521,10.8514146271822,11.4949049131553,11.3918570585081
"SOX9",1.7981789608481,2.37359531240311,2.62777776144599,2.69625809937679
"PALLD",1.61070915370916,1.63829397656515,1.66304943382072,1.6350661430746
"NES",4.02054394887218,4.15010983362591,3.60299832891958,3.54898504846093
"TRPM1",6.47330584956526,6.47810051104392,9.32558851359639,8.67731114852599
"MYC",6.09114126238039,5.47133187476042,5.48311214794429,5.07002672480306
"FZD7",4.418023152744,4.34540246710561,4.29038061696155,3.81000235788451
"KIT",0.577693165153366,-0.166994907812377,1.4455868894296,0.582280946231117
"TGFA",0.380373082573549,0.610372889069734,0.239042209518528,0.366050992331297
"CITED2",6.88312296520197,6.78243203621433,6.45147212002856,6.59887029433781
"AXIN2",2.22242739556901,2.33993171263732,4.31901982972273,3.44691974676467
"MITF",7.43201469727856,7.37732750991681,7.77959137932142,7.57202886423647
"MME",-0.455689091078168,-0.244161734723908,-0.817306434897571,-0.994097350352152
"L1CAM",2.60234374630447,2.65018121056848,1.85655763197733,1.91176731550257
