"","Mm_DMSO","Mm_G007LK","Mm_WNT","Mm_WNT_G007LK"
"SLC25A5",10.0582001845237,10.0096866850591,10.0454359801605,10.0829515869989
"VIM",11.3985418715861,11.3557347784117,11.2333157263256,11.1156384700571
"RPL18",10.9277328985445,10.8790043939012,10.9233042394541,10.9507987152907
"YBX1",9.63004137578976,9.5408702989773,9.70624837801417,9.65348915119798
"PKM",11.202251949649,11.3580688886296,11.2817521109877,11.3274706153286
"ACTB",10.8450469133494,10.7204898203431,10.8612509416723,10.6998705388446
"DCT",11.8033547104535,11.9948790849692,11.8845166377262,11.9298421170256
"HSP90AA1",9.89018636728719,9.80439191533219,10.0906142026667,9.97813076406634
"RPS5",10.9886210115018,10.8953350495896,10.9321920713352,10.9860427509888
"FTL",13.3202056949753,13.7537056291499,13.4517525867053,13.8186981646787
"GNAS",9.75662465054779,9.86528715790359,9.73874939831755,9.79620244153253
"RPL6",10.7185384827757,10.6191623548979,10.7395697262234,10.7448557228557
"MYL6",9.72446616489787,9.74694138464881,9.77316721702848,9.90335254194281
"RPS18",10.8138366146312,10.7597464566306,10.7752391931023,10.9296702427517
"HSP90AB1",11.2254954892452,11.1364130177725,11.1984993583571,11.1210056569571
"LGALS1",12.0157663425787,11.9544233956185,12.1550334446201,12.1470439706478
"RPL3",10.1452627548558,10.0595973635042,10.0656304546996,10.1784104156509
"PGK1",10.9546312897417,10.980977220944,10.9305921101995,11.1475813842111
"RBM3",9.9589203553557,9.98930123794629,9.93463039900876,10.1505750924321
"OAZ1",9.70120724438321,9.65186057181604,9.6651310238091,9.74053510992156
"RPS19",11.4360733824384,11.3941901176077,11.4260874927347,11.5648018322211
"RPL18A",11.6007166486301,11.5502056663551,11.5107547116124,11.5245421816323
"TYRP1",12.1244299071044,11.8832828280086,12.3692946789766,11.8845147163133
"RPL19",11.4047607889745,11.3971721022746,11.4379079994656,11.5501732640201
"PFN1",10.4091672006227,10.3539848339943,10.2869090428339,10.2630993932735
"YWHAE",9.69032100648246,9.66835099884206,9.7286072037823,9.7726927113598
"RPL34",11.0866528363185,11.0008859909597,11.1426068039118,11.3038484538159
"HSPA8",10.5990751457339,10.6531618765401,10.6622784664172,10.7586320438312
"RPS13",10.5396910612487,10.4253152359399,10.4229343492313,10.6051286023453
"ATP5F1B",10.5560964483304,10.5016871563148,10.5855143036227,10.5283398467946
"TPI1",10.5704346114673,10.6840497658812,10.6021615782046,10.7121516952553
"EEF1B2",10.9540061024959,10.9100181175538,10.9090146507209,11.0111265004505
"RAB3GAP1",9.82633719143844,9.98257921435373,9.88399274793628,10.0389427301035
"RPL22",9.75164473868923,9.75211590133392,9.84385590459509,9.94762488626976
"PRDX1",10.4649228846899,10.6733077191839,10.4978700887533,10.8604518483402
"CTSD",9.30937811206456,9.63638367727017,9.82212527347136,9.78407629006979
"RPS25",11.3208920578982,11.2986614755613,11.3661194146738,11.5645823490597
"SPP1",10.5849574288303,10.8637634991289,10.4760373592492,10.7954723066612
"MLANA",10.8554809478521,10.8514146271822,11.4949049131553,11.3918570585081
"HNRNPA2B1",10.3291095059304,10.2837352478307,10.2423522245552,10.2617316824769
"TUBA1B",11.2714384039842,11.0860536027039,11.2026027758536,11.1209725755931
"RPL23",10.4062202387775,10.4144206379176,10.4514943641412,10.4296028637588
"RPL36",11.2506487724686,11.2472571479693,11.2082739974846,11.3344233711545
"COX4I1",9.52970872900875,9.58876480209621,9.60327401040791,9.79424340390069
"EIF5A",10.6115796905239,10.3620376156141,10.5596064235293,10.4298257099919
"LDHA",11.1980429459853,11.1713290292985,11.1944794410588,11.2746479383842
"RPS15A",11.2444966376935,11.1766440608218,11.2947355186011,11.5079620706084
"CD63",9.47105342674068,9.67995474655741,9.78209987178991,9.85565485432416
"CDK4",9.65935476933173,9.56477668025885,9.67689500737812,9.65519718373462
"COX5B",9.76552766601145,9.69859571803399,9.83664551370367,9.94813653446374
"GPNMB",10.4073256702783,10.6736166444793,10.8288323028906,10.6699142149794
"RPL35",10.1495487203921,10.054990192173,10.1933968633169,10.279337133127
"CTSV",10.345977252145,10.5862178836664,10.4059833583188,10.6097577183975
"RPS6",10.7002766886389,10.6861210074738,10.6602136038829,10.8198891791496
"RPLP1",12.8106965779594,12.7971633072048,12.7497066787743,12.8584055719948
"SLC38A6",10.7754450051047,10.947549264583,10.7790629672257,10.9876239992655
"RPS2",10.8796237258684,10.7810954219994,10.8292432590134,10.8348802814462
"RPS11",10.9522448004492,10.8515578826457,10.9498227542973,11.0169741758851
"RPL11",10.3003496998469,10.2847776802175,10.3317866347884,10.3245612826168
"SERBP1",9.94710446571639,9.88882184044403,10.0032596819127,9.8155261332283
"RPS8",10.8995002584104,10.8651299195501,10.933516917171,11.0273242417479
"RPS27A",11.0492535556039,11.0663501938043,11.1038717855276,11.3161459552946
"RPL32",12.2016922884751,12.1866192469446,12.2329487592413,12.4038133412069
"RPS3A",11.374657085234,11.3330875899239,11.4137252189522,11.4775404003989
"RPL37",10.3098325021098,10.3415487259015,10.3529146484686,10.3954380081543
"BTF3",9.64956912321358,9.55219424303076,9.67689219302493,9.71862342265763
"RPS3",10.8763940506227,10.8687109054294,10.915846701503,11.0710617916121
"ALDOA",10.9181617954953,11.0841559902677,11.019201320815,11.1284553358139
"UBC",11.2512294635279,11.490876128001,11.1904342696853,11.3850057557144
"NOCT",10.5874899992693,10.7956447228217,10.6176242251362,10.8273735435649
"ATP5MC3",10.0476207533465,10.0416408375523,10.1310509118935,10.2308880688301
"DBI",9.79755697626725,10.0388518784333,9.67809811546234,10.1675104272301
"RPL30",10.6523262195605,10.7064916043118,10.6679500052161,10.799530620373
"EEF1A1",13.311570681834,13.2646253466779,13.2597500545572,13.3711403582812
"LY6E",9.63575407077138,9.69406657100827,9.62723956948247,9.51772553639533
"RPL8",11.6252580041498,11.5181255888271,11.5966170587916,11.5907532169897
"EIF4A1",9.82619510405164,9.69498521710607,9.78288971649411,9.75299454242173
"RPL26",10.9042435306411,10.8915978720189,10.9148266834347,11.1061365238241
"RPL29",10.0602949174801,10.0384939394236,10.0326564587059,10.0712351584167
"H3F3A",9.79956571070858,9.94166746865959,9.85841067177437,10.2253981345984
"S100A11",10.455817112788,10.2798007060042,10.3789746211981,10.3032359609575
"H2AFZ",10.4262288878249,10.4187741743613,10.3405598433886,10.5820024834832
"RPS14",10.6451395041434,10.510623893927,10.5748223250225,10.7088992613963
"HNRNPK",10.0095170008901,9.91788612428688,9.99408597023272,10.0115286186531
"RPL36AL",9.68721796785487,9.672780353584,9.66597875327115,9.73899648341225
"B2M",9.51494010699078,9.69414553348937,9.580198466658,9.68091451132845
"RPL13",11.1341122929154,11.15016880072,11.1438621829731,11.1515660458825
"EEF2",10.6201409535305,10.6139331193882,10.5955755028514,10.4665464979564
"FTH1",12.0263708143443,12.3806764941383,11.9315603718781,12.2526438040213
"HINT1",9.93906482834554,9.94565361995013,9.94021996494683,10.1045885449243
"RPS9",11.2378466334658,11.228935477158,11.2174478534524,11.2895261575208
"PGAM1",9.79446400532987,9.84904023991645,9.83614293049655,9.91272498628831
"RPS21",10.9831294092225,11.0479076920882,11.0244335186747,11.1785244429812
"RPS7",9.88810546207488,9.84995706903804,9.90354927052851,10.0568154963302
"CFL1",10.3374747444225,10.2988302571456,10.3050481108237,10.2867021528376
"RPL38",11.0185229414143,10.9644358039087,11.024250452284,11.1629073112471
"RPL4",11.0386293205605,10.9847651737507,11.0550466115019,11.0144411746145
"COX8A",9.5989475714183,9.62438945547886,9.494474144758,9.60762574607249
"CHD9",9.91270675322162,10.0545275647234,9.76171895912126,9.74534909614314
"RPLP2",11.368729183687,11.2532523133952,11.3099748310434,11.3114566833148
"RPS27",11.4794315609734,11.4988021380175,11.4420276733497,11.6887591713096
"CALR",9.63187862973101,9.63810914364797,9.9520012012442,9.86871203258471
"ANXA2",10.0508708783456,9.93829167170744,10.1318613926038,10.0224266919972
"RPL35A",10.4588294532458,10.4341240453534,10.415771036975,10.6392150165386
"TUBB",9.93324352788767,9.85695255396458,9.8620340673881,9.76684421025498
"ACTG1",10.1123424998176,10.0204804382247,10.2310144986826,10.069108943848
"PMEL",11.2935205047094,11.3790342935113,11.7004349554242,11.4242215414508
"ATP6V0C",9.78224854778665,10.0394727951172,10.0511895940001,10.1322460241704
"PTMA",11.5422697582529,11.4657347860269,11.4199922648103,11.4639897858737
"RPL14",10.2222694792712,10.1070803348968,10.2189814302911,10.2301885118089
