run_sample_name,sample_name,run_id,cell_line,treatment,filename
LOX-DMSO_S5,LOX-DMSO,S5,LOX,DMSO,LOX-DMSO_S5_R1_001.fastq.gz
WM1382-G007-LK_S8,WM1382-G007-LK,S8,WM1382,G007LK,WM1382-G007-LK_S8_R1_001.fastq.gz
WM35-DMSO_S15,WM35-DMSO,S15,WM35,DMSO,WM35-DMSO_S15_R1_001.fastq.gz
WM9-G007-LK_S18,WM9-G007-LK,S18,WM9,G007LK,WM9-G007-LK_S18_R1_001.fastq.gz
LOX-G007-LK_S7,LOX-G007-LK,S7,LOX,G007LK,LOX-G007-LK_S7_R1_001.fastq.gz
WM239-DMSO_S9,WM239-DMSO,S9,WM239,DMSO,WM239-DMSO_S9_R1_001.fastq.gz
WM35-G007-LK_S17,WM35-G007-LK,S17,WM35,G007LK,WM35-G007-LK_S17_R1_001.fastq.gz
WM983-DMSO_S1,WM983-DMSO,S1,WM983,DMSO,WM983-DMSO_S1_R1_001.fastq.gz
Skmel28-DMSO_S2,Skmel28-DMSO,S2,Skmel28,DMSO,Skmel28-DMSO_S2_R1_001.fastq.gz
WM239-G007-LK_S12,WM239-G007-LK,S12,WM239,G007LK,WM239-G007-LK_S12_R1_001.fastq.gz
WM852-DMSO_S10,WM852-DMSO,S10,WM852,DMSO,WM852-DMSO_S10_R1_001.fastq.gz
WM983-G007-LK_S3,WM983-G007-LK,S3,WM983,G007LK,WM983-G007-LK_S3_R1_001.fastq.gz
Skmel28-G007-LK_S4,Skmel28-G007-LK,S4,Skmel28,G007LK,Skmel28-G007-LK_S4_R1_001.fastq.gz
WM266-DMSO_S11,WM266-DMSO,S11,WM266,DMSO,WM266-DMSO_S11_R1_001.fastq.gz
WM852-G007-LK_S13,WM852-G007-LK,S13,WM852,G007LK,WM852-G007-LK_S13_R1_001.fastq.gz
WM1382-DMSO_S6,WM1382-DMSO,S6,WM1382,DMSO,WM1382-DMSO_S6_R1_001.fastq.gz
WM266-G007-LK_S14,WM266-G007-LK,S14,WM266,G007LK,WM266-G007-LK_S14_R1_001.fastq.gz
WM9-DMSO_S16,WM9-DMSO,S16,WM9,DMSO,WM9-DMSO_S16_R1_001.fastq.gz
