run_sample_name,sample_name,run_id,cell_line,treatment,filename
A375-DMSO_S7,A375-DMSO,S7,A375,DMSO,A375-DMSO_S7_R1_001.fastq.gz
A375-G007-LK_S10,A375-G007-LK,S10,A375,G007LK,A375-G007-LK_S10_R1_001.fastq.gz
FemxI-DMSO_S2,FemxI-DMSO,S2,FemxI,DMSO,FemxI-DMSO_S2_R1_001.fastq.gz
FemxI-G007-LK_S5,FemxI-G007-LK,S5,FemxI,G007LK,FemxI-G007-LK_S5_R1_001.fastq.gz
FemxV-DMSO_S16,FemxV-DMSO,S16,FemxV,DMSO,FemxV-DMSO_S16_R1_001.fastq.gz
FemxV-G007-LK_S18,FemxV-G007-LK,S18,FemxV,G007LK,FemxV-G007-LK_S18_R1_001.fastq.gz
MeWo-DMSO_S15,MeWo-DMSO,S15,MeWo,DMSO,MeWo-DMSO_S15_R1_001.fastq.gz
MeWo-G007-LK_S17,MeWo-G007-LK,S17,MeWo,G007LK,MeWo-G007-LK_S17_R1_001.fastq.gz
WM115-DMSO_S9,WM115-DMSO,S9,WM115,DMSO,WM115-DMSO_S9_R1_001.fastq.gz
WM115-G007-LK_S12,WM115-G007-LK,S12,WM115,G007LK,WM115-G007-LK_S12_R1_001.fastq.gz
WM1341-DMSO_S8,WM1341-DMSO,S8,WM1341,DMSO,WM1341-DMSO_S8_R1_001.fastq.gz
WM1341-G007-LK_S11,WM1341-G007-LK,S11,WM1341,G007LK,WM1341-G007-LK_S11_R1_001.fastq.gz
WM1366-DMSO_S1,WM1366-DMSO,S1,WM1366,DMSO,WM1366-DMSO_S1_R1_001.fastq.gz
WM1366-G007-LK_S4,WM1366-G007-LK,S4,WM1366,G007LK,WM1366-G007-LK_S4_R1_001.fastq.gz
WM45-1-DMSO_S13,WM45-1-DMSO,S13,WM45_1,DMSO,WM45-1-DMSO_S13_R1_001.fastq.gz
WM45-1-G007-LK_S14,WM45-1-G007-LK,S14,WM45_1,G007LK,WM45-1-G007-LK_S14_R1_001.fastq.gz
WM793-DMSO_S3,WM793-DMSO,S3,WM793,DMSO,WM793-DMSO_S3_R1_001.fastq.gz
WM793-G007-LK_S6,WM793-G007-LK,S6,WM793,G007LK,WM793-G007-LK_S6_R1_001.fastq.gz
