symbol	FemxI.DMSO	FemxI.G007.LK	FemxV.DMSO	FemxV.G007.LK	MeWo.DMSO	MeWo.G007.LK	Skmel28.DMSO	Skmel28.G007.LK	WM115.DMSO	WM115.G007.LK	WM1341.DMSO	WM1341.G007.LK	WM1382.DMSO	WM1382.G007.LK	WM239.DMSO	WM239.G007.LK	WM35.DMSO	WM35.G007.LK	A375.DMSO	A375.G007.LK	WM1366.DMSO	WM1366.G007.LK	WM793.DMSO	WM793.G007.LK	WM852.DMSO	WM852.G007.LK
AAAS	1665	3602	2664	2907	1598	1761	2051	1748	1689	1778	3010	1418	1831	1795	2492	2261	3402	2807	2228	3258	1416	1322	554	688	1596	1494
AACS	1844.269527	3583.007431	2081.255544	1973.184685	1361.633488	1757.510186	1302.830413	1174.459291	1225.146908	1346.915506	2998.824149	1308.839538	3366.506188	3191.011147	1831.518146	1618.585468	1706.969409	1288.948133	1485.905862	2158.030013	1189.276858	1169.805157	1174.945128	1384.567514	906.2781039	1033.300323
AAED1	487.8554433	1070.392034	724.3747069	722.0508159	307.4920258	367.1222949	817.7692197	772.9255843	994.2327328	1177.718497	1370.413597	638.731568	811.1665981	845.4186224	776.6697862	704.0170923	576.1620218	444.2595847	439.3851533	614.5941331	368.9879827	318.3807425	367.3137935	412.9209757	387.4782596	389.1459318
AAGAB	2391	5217	2882	3210	1944	2221	3445	2980	2260	2580	4984	2357	2915	3002	3219	3190	4416	4105	1768	2671	1676	1604	1039	1421	3383	3295
AAK1	919.6552459	2068.270461	1710.887677	1746.47035	2421.870336	3494.186384	4107.459021	4682.728398	1512.401893	1870.600716	3274.83034	1350.729596	3471.719092	3282.746044	5017.004272	5020.392869	3838.714146	4114.399682	960.8736711	1209.92925	1888.919789	1624.192396	1223.527425	1660.083202	2086.641559	2388.736678
AAMDC	139.4226949	316.1070538	231.0478807	189.6431029	867.7158252	1101.492317	225.0109025	170.3567677	294.7074427	362.356295	373.4263859	207.2683827	6033.349152	6237.205513	305.5173948	248.6146435	404.2048518	404.2843416	86.84750519	179.6533538	162.0601597	128.2662563	260.2740553	320.9219225	316.1280869	332.9236822
AAMP	3968	8685	7707	8232	4210	5102	12931	10842	3908	4358	6083	2823	4971	4809	7950	7255	7233	6128	4413	6393	4726	4139	1914	2410	6159	6079
AAR2	1529	3086	2187.112414	2281	3157	3859	3293.004692	3144.011316	3319	3861	4212	1906	3445	3151	1976.095657	1916	2634	2274.012348	1954	2695	989	834	1710	2377	1684	1825.28814
AARS	7423.186358	14859	11663.38605	11001	24912.19134	30714.79456	7144	6915	9740	10717.05027	41097.42846	17552	14379	13953	13691.32061	12239	25127	23747	11903.02139	19201	14694	12485	3253	4333	7015.341702	7059
AARS2	2144.373533	4299.598949	3610.628155	3541.490118	1816.154818	2166.853462	2971.463765	3058.502048	2876.677601	3286.675583	9812.273596	4113.480929	1307.98059	1271.423061	1873.650425	1790.274126	2659.976164	2312.787359	1020.991201	1422.477712	1157.552284	1007.290908	927.2910983	1253.204847	1325.726515	1429.215872
