gene_id	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000213648	SULT1A4	-2.8860868707147187	1.5158141186246383	-4.918923844056705	1.965306274066202e-5	0.12617266279505018	2.4470681276082233
ENSG00000188710	QRFP	-1.3266144140087561	-2.468903612654321	-5.0370035751110525	1.372192224165518e-5	0.12617266279505018	2.2316878036774934
ENSG00000280663	PCMTD2	0.8007968206112257	3.5718892604631622	4.6922684581452625	3.904083481766758e-5	0.14117635841850168	1.9792807971171271
ENSG00000267544	AC007229.1	1.827460493338406	-3.9041120617460567	5.206949407651029	8.1699371558458e-6	0.12617266279505018	1.828728151943272
ENSG00000117281	CD160	-0.9774781476848271	-1.365631046031438	-4.652759560497009	4.398017396215005e-5	0.14117635841850168	1.6280456287569454
ENSG00000163251	FZD5	0.3829492463532804	2.826060699618377	4.5051634176339626	6.852418399630822e-5	0.14831966265901497	1.6000594556412322
ENSG00000281028	AC104662.2	1.1139247393355318	1.9633929728894826	4.396610013376567	9.477775038600477e-5	0.15428208693557396	1.3545021979063296
ENSG00000215695	RSC1A1	0.9877643789387591	2.2534245951177225	4.316835683270459	1.2015738857910744e-4	0.15428208693557396	1.1328694473387095
ENSG00000279389	KIAA0355	1.912231856784734	-2.893682613838366	4.75511463868312	3.229047564106492e-5	0.14117635841850168	1.046756286620103
ENSG00000284024	HSPA14	0.3106403445362451	3.454599188235457	4.260150972531986	1.4213652950671236e-4	0.1610323269587812	0.7626872564896274
ENSG00000269404	SPIB	-0.6828666971939206	-1.2538787188329377	-4.2923513387879195	1.292083289426017e-4	0.15553452596465678	0.7612919421407103
ENSG00000241278	ENPP7P4	-1.6466971184153825	-2.868601724880882	-4.5013647315549665	6.930825357897896e-5	0.14831966265901497	0.616511365607419
ENSG00000260690	CYCSP39	-1.2573262653856019	-2.7167713926007635	-4.344604054226727	1.1064459769074592e-4	0.15428208693557396	0.38522058059256814
ENSG00000179813	FAM216B	1.8583339860182817	-3.690404283760616	4.434559561160882	8.463363074468473e-5	0.15428208693557396	0.3337378939205706
ENSG00000255513	AC005363.1	0.7547052436410544	-1.4236411740090984	4.06939133341234	2.491367467210686e-4	0.22297649466505956	0.32396655600657454
ENSG00000227382	EIF4A2P2	1.9434346477470332	-4.012534433297015	4.561904647844242	5.7801976161945226e-5	0.14831966265901497	0.2515367090085654
ENSG00000213075	RPL31P11	1.616521330127688	-3.545712565380001	4.213754752312735	1.6302208116199206e-4	0.1652529096410509	0.05641897376811489
ENSG00000243547	HNRNPKP4	1.5143178913542412	-3.0226479212122115	4.150676335080426	1.9630584770019706e-4	0.18904253133528978	0.040414955736653546
ENSG00000233024	AC126755.2	-0.5299394574230694	3.7747071808854473	-3.9570334910066594	3.4559744680188326e-4	0.23681455953876637	-0.0927980803801125
ENSG00000229022	AL365366.1	1.723030359246228	-4.5033030623242105	4.3759166443334205	1.0080362109952327e-4	0.15428208693557396	-0.09800349712062051
ENSG00000265188	AP001496.3	0.6791747263410997	-0.12888849276477735	3.8312741430884727	4.96878656769309e-4	0.27904042581621435	-0.15978251145722844
