gene_id,symbol,DMSO-1,DMSO-2,DMSO-3,G007LK-1,G007LK-2,G007LK-3,WNT_G007LK-1,WNT_G007LK-2,WNT_G007LK-3,WNT-1,WNT-2,WNT-3
ENSMUSG00000000001,GNAI3,5901,3689,2446,3735,3844,2696,2001,2825,3923,2566,1926,2529
ENSMUSG00000000003,PBSN,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,CDC45,2242,1637,1359,1461.0704102227908,1887,1317,762,1261.0000000000002,1536,1006,800.9070338925235,1238
ENSMUSG00000000037,SCML2,116.99999999999997,143,155,85.99999999999999,134,160,40.00000000000001,103,216.00000000000003,53.00000000000001,55,150
ENSMUSG00000000049,APOH,1,1,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000000056,NARF,798,453,880,675,660,1166.0000000000002,475,520,1504,373,251,1266
ENSMUSG00000000058,CAV2,8123.999999999999,4095,2673,5203,4546,3119,3134,3062.9999999999995,4568,3864,1765,2345
ENSMUSG00000000078,KLF6,4043,2261,2255.0000000000005,2841,2478,2370.9999999999995,1424,2021,3095,1635,1195,2252
ENSMUSG00000000085,SCMH1,967.8105948679741,491.96875927545955,572.6539613754848,605.9233190423763,639.0447876660855,557.4639855938728,359.40697333457865,538.7537911565882,765.6672430381715,470.1035054027777,367,742.6784572738517
ENSMUSG00000000088,COX5A,6361.9989211622715,4034.997452149383,3282.0000000000005,3972.9956745361287,4592,3255.0000000000005,2185,3254.9978887976017,5039.000000000001,2895.9999999999995,2197,3461.996546413835
ENSMUSG00000000093,TBX2,1581,1311,857,1033,1521,868,465,940,1022,576,680,806
ENSMUSG00000000094,TBX4,572,564,648,421.00000000000006,659,623,263,403,704,254,284,568
ENSMUSG00000000103,ZFY2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,NGFR,16.018053350686646,7.034288512363566,5.021003497830876,5.017413138945282,5.018853796648548,4.024424517250432,1.0037539280688197,4.012329610293843,5.070371270354789,1.0057803150865539,3.0038103934199336,4.027585479903541
ENSMUSG00000000125,WNT3,0,0,0,0,1,0,0,0,1,0,0,0
ENSMUSG00000000126,WNT9A,27,9,17,29,12,17,12,10,40.00000000000001,25,7.999999999999998,41
ENSMUSG00000000127,FER,1605,999,1017.9999999999999,1058,1069.9999999999998,999.0000000000001,608,785,1409.9999999999998,720,476,1095
ENSMUSG00000000131,XPO6,3260.030335647113,2415.1890823568233,1887.2839172122463,1979.1068403844251,2471.3202286597066,1790.4798785495273,1053.1403897423752,1818.576670658737,1923.9932578603823,1369.9778043296703,1434.0497715524946,1746.0766927741397
ENSMUSG00000000134,TFE3,2099,1146,1186,1432.0000000000002,1473.9999999999998,1268,772.0000000000001,1158,1329.0000000000002,840.9999999999999,647.0000000000001,1167
ENSMUSG00000000142,AXIN2,194,222,338,132,302,361.99999999999994,255.99999999999997,591,690.9999999999999,486,571,1159
ENSMUSG00000000148,BRAT1,857.0000000000001,444.99999999999994,407,519,455.9999999999999,422,257,362,442.0000000000001,369,215.99999999999997,369.00000000000006
ENSMUSG00000000149,GNA12,3574.186488269404,2100.6730756282027,1854.7027818225083,2240.2706779137716,2302.044174620806,1839.023941267882,1126.840408357294,1688.8184008974467,1814.347109605631,1461,1115.919582932631,1715.8773791202948
