"gene_id","symbol","DMSO","G007LK","WNT","WNT_G007LK"
"ENSMUSG00000000001","GNAI3",68.8132197031538,68.0471295570649,68.5476206020316,71.3396089229723
"ENSMUSG00000000003","PBSN",0,0,0,0
"ENSMUSG00000000028","CDC45",51.4264347095022,52.5401847497591,49.4405732616324,48.4031148265388
"ENSMUSG00000000037","SCML2",2.38802132739289,2.74262316802051,1.92969534356601,2.28429859288761
"ENSMUSG00000000049","APOH",0.0798763321124177,0,0,0.025326159590294
"ENSMUSG00000000056","NARF",10.3011622533417,13.9807571474386,12.5545083373562,16.0175400407549
"ENSMUSG00000000058","CAV2",110.040074327104,112.980216262971,106.949633944052,121.33470075458
"ENSMUSG00000000078","KLF6",43.0300128294502,43.3609913418289,43.0272892230553,45.0902214861217
"ENSMUSG00000000085","SCMH1",19.9541451744331,19.2561994803577,25.768207108,21.9204790961288
"ENSMUSG00000000088","COX5A",487.803228267801,479.645572663247,503.979603665058,516.884034164445
"ENSMUSG00000000093","TBX2",19.8545844058988,20.1422006960929,18.2084873982203,17.5614346600347
"ENSMUSG00000000094","TBX4",12.374293129571,12.6019001438664,11.4873201665753,11.8916936328634
"ENSMUSG00000000103","ZFY2",0,0,0,0
"ENSMUSG00000000120","NGFR",0.145485667956987,0.0882674238913855,0.0740213154082289,0.0714929866982058
"ENSMUSG00000000125","WNT3",0,0.00645657869454568,0,0.00616787380999636
"ENSMUSG00000000126","WNT9A",0.298383557896181,0.3842482836178,0.643061637842809,0.45639084957679
"ENSMUSG00000000127","FER",23.4470235223699,22.9675343622804,23.4333612579396,24.5917916082381
"ENSMUSG00000000131","XPO6",38.6368514428849,34.0361762576865,36.9882543603011,33.4682509136614
"ENSMUSG00000000134","TFE3",31.5010982952617,32.9908954000582,30.159382954382,32.3206341460516
"ENSMUSG00000000142","AXIN2",4.56677979872786,4.96278673234854,19.8597234934701,10.8050142248483
"ENSMUSG00000000148","BRAT1",9.62984402088677,9.27729050062331,9.0440855442946,8.6688645657594
"ENSMUSG00000000149","GNA12",41.492220568493,40.5044312309394,39.4851353548138,36.887389237037
"ENSMUSG00000000154","SLC22A18",5.9113770974806,8.75953964893646,4.59786736449963,5.19985677641704
"ENSMUSG00000000157","ITGB2L",0,0,0,0
"ENSMUSG00000000159","IGSF5",0,0,0,0.0273373842136834
"ENSMUSG00000000167","PIH1D2",2.40125507932393,3.00235584184763,2.17291494725372,2.87796590232394
"ENSMUSG00000000168","DLAT",77.0847438846548,75.4487821653342,83.3318785835136,78.8958367169224
"ENSMUSG00000000171","SDHD",218.381142062623,218.238259856803,233.248870781882,249.598833432366
