ens_gene	pval	qval	b	se_b	mean_obs	var_obs	sigma_q_sq	sigma_sq	smooth_sigma_sq	smooth_sigma_sq_pmax	ext_gene
ENSMUSG00000032348	1.62443637452853e-17	1.4532663173632e-13	0.62703576152178	0.0736137137100967	5.85823527458044	0.166241438762761	0.00289996540798785	0.00124836666928508	0.00522850286130026	0.00522850286130026	GSTA4
ENSMUSG00000051159	2.11276632603504e-17	1.4532663173632e-13	0.745474258891797	0.0878328554006358	6.04016973533352	0.24230672184397	0.00171264260295312	0.00985927312879038	0.00490599764873039	0.00985927312879038	CITED1
ENSMUSG00000042379	2.87310444174567e-16	1.3175099268365e-12	-0.531868611303671	0.0650322425729126	6.39621580210478	0.204289611371186	0.00188219785909207	0.00135387392357863	0.00446159100200115	0.00446159100200115	ESM1
ENSMUSG00000026778	1.9402067916068e-15	6.67285620803369e-12	-0.888680157280955	0.111852486658963	6.75363658872403	0.283395356864402	0.00218450045128367	0.0165819677064065	0.00416706517986638	0.0165819677064065	PRKCQ
ENSMUSG00000022346	2.65400856974468e-12	6.08519931566292e-09	-0.432539947960312	0.0618362523777659	6.92590726859872	0.174024280943949	0.00124591864953671	0.00448966451265344	0.00404548981324643	0.00448966451265344	MYC
ENSMUSG00000025491	2.48665518675302e-12	6.08519931566292e-09	0.456459610030923	0.0651708003986467	7.16775339102714	0.387409623056971	0.00128102812645685	0.00508982171044353	0.00389439996876512	0.00508982171044353	IFITM1
ENSMUSG00000091243	3.8771617272572e-12	7.61973055455391e-09	-0.580052700469866	0.0835619584226314	6.6417386439655	0.171267673759629	0.00168250947540314	0.00879139186773522	0.00424481177593043	0.00879139186773522	VGLL3
ENSMUSG00000056025	2.03740033642686e-11	3.50356455352804e-08	-0.411858871584266	0.0614410503768541	6.69606035971161	0.356204374145541	0.001455989823777	0.00166390250878859	0.00420651418333969	0.00420651418333969	CLCA3A1
ENSMUSG00000038602	1.37246491742255e-10	1.94293530109867e-07	-0.60260013880891	0.0938787749127755	5.80469463814475	0.496341562616169	0.00357524036405312	0.00964459620463222	0.00533515805014215	0.00964459620463222	SLC35F1
ENSMUSG00000050335	1.41232485360084e-10	1.94293530109867e-07	0.334823760284324	0.0521974837195642	7.90175973637153	0.201388373192201	0.000333183217771765	0.00349001113101596	0.00375368274220949	0.00375368274220949	LGALS3
ENSMUSG00000032802	6.7055322949271e-10	8.38618252557384e-07	0.446690716304655	0.0723633720133939	5.49867160315572	0.206409796503069	0.00178243181346394	0.00502449861022072	0.00607225460025932	0.00607225460025932	SRXN1
ENSMUSG00000005413	1.69769300041597e-09	1.94626355056021e-06	0.320708536317352	0.0532351966081215	7.38815697250927	0.0534462262623493	0.000450160691161002	0.00341786962458173	0.00380081854569703	0.00380081854569703	HMOX1
ENSMUSG00000021765	2.97150640266198e-09	3.14453950626314e-06	-0.741663889507379	0.125003086372369	4.69369322393195	0.279337266796437	0.0140104378411393	-0.000312703763131961	0.00942821956278756	0.00942821956278756	FST
ENSMUSG00000037573	1.054855749807e-08	1.03654646786392e-05	0.340994905354991	0.059597153393178	6.67843458459006	0.0319777909294218	0.00110895981172978	0.000469395629657073	0.0042187712271252	0.0042187712271252	TOB1
ENSMUSG00000008540	1.83830727876152e-08	1.68597288226148e-05	0.565665549708527	0.100534746300582	6.07571273533244	0.27550624620004	0.00586124387866236	0.00929960894192128	0.00485209112567714	0.00929960894192128	MGST1
ENSMUSG00000025762	2.08390802602366e-08	1.79177016962547e-05	-0.409669691560079	0.0730915158813648	6.11907917548627	0.169235838655398	0.00322308428365584	0.00388904423406723	0.00479047025709787	0.00479047025709787	LARP1B
ENSMUSG00000030693	4.71217197718961e-08	3.81325587589397e-05	-0.495561478458171	0.0907315523893492	5.25199870034998	0.175187468937429	0.00550147567430834	0.00385451394429245	0.00684684622416348	0.00684684622416348	KLK10
ENSMUSG00000074179	5.42551040647893e-08	4.14659703677393e-05	0.662967074769578	0.121941350595323	4.88150956807847	0.507227279256212	0.013887723593449	-0.0100385850737833	0.00841681588406825	0.00841681588406825	GM10639
ENSMUSG00000028211	8.20972784464079e-08	5.94427505045912e-05	0.420677908909678	0.0784487163202746	6.34489707752692	0.0607079004650151	0.00471331887290548	0.00131132152246906	0.00451798276554291	0.00451798276554291	TRP53INP1
ENSMUSG00000052914	8.8297150177757e-08	6.07351947497702e-05	0.288358573968225	0.0539058948397827	7.51750170704907	0.0291467084352181	0.00058824620650571	0.00107073680647859	0.00377052204121086	0.00377052204121086	CYP2J6
ENSMUSG00000041057	9.83727156937929e-08	6.44434976095004e-05	-0.278607473148138	0.0522744694660261	7.96417805619732	0.0796408833734308	0.000338969611365074	0.00212249311357693	0.00375996062556666	0.00375996062556666	WDR43
ENSMUSG00000024803	1.11742772384415e-07	6.98747872587451e-05	-0.52507544892309	0.0989492614324836	5.0806284591259	0.292265544601686	0.00718582413798973	-0.000756205435988872	0.00750061036906125	0.00750061036906125	ANKRD1
ENSMUSG00000067367	1.22094538470072e-07	7.30284593796864e-05	-0.303883238199583	0.0574412417247241	6.80563472814718	0.140141846746405	0.00081782791693157	0.00275232281013419	0.00413141645938571	0.00413141645938571	LYAR
ENSMUSG00000015837	1.45568329849398e-07	8.34409797390904e-05	0.290976704427895	0.0553389799467092	8.8063140808283	0.0334924876053095	0.000138329215212417	0.004455274837101	0.00409765653803558	0.004455274837101	SQSTM1
