baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRAM2	5494.20736196906	-0.28641475628932	0.0421049538225792	-6.80240043716013	1.02890123391127e-11	1.1027763425061e-07
CAV1	9226.39274222643	-0.331163747614185	0.0528236405908974	-6.26923369744513	3.62829238143971e-10	1.18259613588829e-06
PTBP1	13616.4893055548	-0.164047147316773	0.0262952753327156	-6.23865486255898	4.41349556218807e-10	1.18259613588829e-06
RBMS2	1633.23543110215	-0.399095325784394	0.0631055957957453	-6.32424622177962	2.54471688077856e-10	1.18259613588829e-06
PTPRF	5584.19794467627	-0.364604520940287	0.0596532017604229	-6.11206959862102	9.83472720745723e-10	2.10817212419053e-06
GPNMB	43513.5335415548	0.284907609138534	0.0480687445097748	5.92708655164892	3.08356471157204e-09	5.50827442977152e-06
CRIM1	3822.68670321278	-0.527255309908342	0.09938270277546	-5.30530258469218	1.12486247192027e-07	0.000172232513914878
CAV2	1699.51066929114	-0.288091854194712	0.055116866763374	-5.22692727493997	1.72350250788827e-07	0.000174300443340373
CTSK	4234.380914263	0.306743610593197	0.0583841548154638	5.25388457814845	1.48924230090317e-07	0.000174300443340373
ETS1	9130.22358078727	-0.331417036822423	0.0631852687808913	-5.24516304538775	1.56144181674031e-07	0.000174300443340373
PVR	2894.03793486921	-0.262754166752129	0.0503356810307925	-5.22003798044157	1.78886441196501e-07	0.000174300443340373
NQO1	42853.3305087158	0.328310628181083	0.0635136101089787	5.16913819916325	2.35175946489595e-07	0.00021005131620629
LATS2	1501.23150111588	-0.348685587755968	0.0681528358314415	-5.1162300658824	3.11702831796319e-07	0.000238630782228068
LATS2.1	1501.23150111588	-0.348685587755968	0.0681528358314415	-5.1162300658824	3.11702831796319e-07	0.000238630782228068
ANKRD13A	1922.80548586959	-0.256503278557951	0.0511132243730244	-5.01833491634159	5.21212541273125e-07	0.000363034194215801
WDR91	2560.16750854574	0.279308697038338	0.0557409468635899	5.01083517152778	5.41943189723159e-07	0.000363034194215801
ARHGAP29	2057.48635724421	-0.453111264525463	0.0911639703597432	-4.97028884039862	6.68532340499052e-07	0.000421489977968755
GATAD2B	576.649170042769	3.26081084716464	0.658166603470343	4.95438515107151	7.25593578878838e-07	0.000432050665467966
PHLDB2	2257.25462752265	-0.351029773640615	0.0713257873968977	-4.92149875173874	8.58839502300817e-07	0.000484475883455798
AJUBA	1468.77175995657	-0.509001931824619	0.105255292091984	-4.83587971405557	1.32558066934376e-06	0.000670011696928087
CD3EAP	885.551407457773	-0.408595996165134	0.0846207784359091	-4.82855397595522	1.37528058708881e-06	0.000670011696928087
PIR	6038.57941249455	0.298755317358808	0.0617088164094102	4.84137169925123	1.28945918583344e-06	0.000670011696928087
SNAI2	4386.59029378071	0.405667552590417	0.0845551016327478	4.79767092413149	1.60521214933281e-06	0.000748028861589088
AMOTL2	2423.74346683387	-0.507285512660521	0.106681474061415	-4.75514157564493	1.98307396985246e-06	0.000787206918847357
BCL2L1	2814.89794762949	-0.341729780335477	0.0718561013896586	-4.75575175561442	1.9770930061309e-06	0.000787206918847357
SLC7A1	9164.6074852295	-0.260173477012776	0.0546273390826627	-4.7626972388144	1.91022334535872e-06	0.000787206918847357
HTRA1	4907.66180659144	0.433386859489486	0.0908705017974424	4.76927991941258	1.84885605944631e-06	0.000787206918847357
RASAL2	1708.70062878817	-0.283047354407227	0.0598682659048086	-4.72783619384059	2.26925135264303e-06	0.000868636999915284
PPME1	4717.21031661801	-0.364278522892651	0.0772937063053182	-4.71291312456557	2.44200325928933e-06	0.00089804478182961
TGFB2	821.249350543355	-0.552739792149841	0.117428840565423	-4.70701907204723	2.51365398907336e-06	0.00089804478182961
ASAP1	6253.69641858436	-0.265720453998617	0.0570159237589343	-4.66046038510389	3.1550288259941e-06	0.0010908257728066
ARHGEF18	1702.37709087653	-0.235048508494893	0.050954129610879	-4.61294325484285	3.97006716089119e-06	0.00132972436970099
SEC14L1	3541.10108690281	-0.215532418514847	0.0468816305530504	-4.59737462140858	4.27847931939416e-06	0.00138959822258384
PRKAG2	807.927285486656	-0.444748102680163	0.0968993878766236	-4.58979269555795	4.43686438228012e-06	0.00139865624850819
UBASH3B	1620.18803869501	-0.270588772579438	0.0596119471785285	-4.53917017286931	5.64760447661512e-06	0.00172945785086745
AZIN1	9505.48094946486	-0.167955031929982	0.0372305320085856	-4.51121761814338	6.44565500087811e-06	0.00191901473053921
PCLO	949.534937488309	-0.496053825292858	0.110491085917989	-4.48953706239298	7.13781279710962e-06	0.00206765074484921
USB1	2571.35281460006	-0.175933606991796	0.0392428125701101	-4.48320585272724	7.35299347599133e-06	0.00207393115988619
