baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOXL3	5757.65183079987	0.480740591504467	0.0771102703586884	6.23445604934647	4.53350583588402e-10	4.41200787948232e-06
CAV2	1699.51066929114	-0.393872320407445	0.0663385777912609	-5.93730425826722	2.89746656415683e-09	1.40990723011871e-05
OGFRL1	1578.44962286984	-0.425206714153197	0.0739650465939775	-5.74875206240752	8.99045401080154e-09	2.91650328110402e-05
UGCG	7678.77005827266	-0.526476173480392	0.0960870908959511	-5.4791561339961	4.27359127041769e-08	0.000103976475609262
SH3BP4	6624.71821660487	-0.47042037962391	0.0901681047107142	-5.21714836008982	1.81698722824927e-07	0.000353658394106438
MITF	15871.9963200529	-0.360309853868651	0.0705020448089519	-5.11062983839727	3.21086552503292e-07	0.000354127575521015
NCEH1	1693.47599562183	-0.628914314445864	0.123007440128338	-5.11281523938466	3.17392700271475e-07	0.000354127575521015
SEC14L1	3541.10108690281	-0.285019693017587	0.0558107350401854	-5.10689731666075	3.27491592651986e-07	0.000354127575521015
SLC7A1	9164.6074852295	-0.337416046933859	0.0653977346325688	-5.15944548889346	2.47682323156775e-07	0.000354127575521015
CYTH3	7195.17717398363	-0.572263475392594	0.113997052400318	-5.01998484472215	5.16755563631761e-07	0.00050290651452643
AZIN1	9505.48094946486	-0.220901974525033	0.0445199577876459	-4.96186397073207	6.9819887885482e-07	0.000522682422231932
PLEKHA4	2298.33182730107	0.40792001474716	0.0820640085017426	4.97075419778573	6.6692957954378e-07	0.000522682422231932
TBX2	3463.89282633921	0.481674391127712	0.0967187794403391	4.98015373968643	6.35337813765436e-07	0.000522682422231932
ARHGAP29	2057.48635724421	-0.559063505575221	0.113231779214416	-4.93733746350992	7.91963623565056e-07	0.000550527856038223
GGT7	1612.0070515393	0.288590726564711	0.0597787858005461	4.82764450130525	1.38157435983332e-06	0.000840583959289809
GNG11	2769.55801373988	0.433787752178261	0.0898560141185185	4.82758729544917	1.38197116200544e-06	0.000840583959289809
PTBP3	4658.75196603946	-0.339967363607	0.071173479308927	-4.7766017188984	1.78282389559614e-06	0.00102061424423186
CAV1	9226.39274222643	-0.295743005822486	0.0641314644917693	-4.61151180884762	3.99750943437192e-06	0.00216132010085042
PCLO	949.534937488309	-0.599277184136156	0.130517320532454	-4.59155291950039	4.39960050480991e-06	0.0022535216901479
CORO1C	14864.3174267102	-0.30285577365594	0.0664487242493246	-4.55773646638548	5.17078597195813e-06	0.00251610445395482
BCL2L1	2814.89794762949	-0.39334505946956	0.0865409494145371	-4.54519001848951	5.48857167967326e-06	0.0025435609326943
CTSK	4234.380914263	0.298987229761824	0.0667180625318251	4.4813536007465	7.41711039945732e-06	0.00328105992761448
WDR91	2560.16750854574	0.269976671090018	0.0606678353120218	4.45007918448873	8.58386341729704e-06	0.00363209385987543
PTPN1	6154.52147735593	-0.191246864981568	0.0433278377950414	-4.41394896939572	1.0150189443791e-05	0.00411590181945724
KLF6	5586.32617865559	-0.211203484425097	0.0480426731302577	-4.39616429861142	1.10180548682317e-05	0.00428910839910523
ITGA11	2340.33993474721	0.687090025947718	0.157233682665806	4.3698653767978	1.24323157673887e-05	0.00465351142493182
ANKRD13A	1922.80548586959	-0.265787304079799	0.0611800183598226	-4.34434822357529	1.39689782565031e-05	0.00503504060712179
SNAI2	4386.59029378071	0.408953455333349	0.0948829665106758	4.31008294083359	1.63193327655669e-05	0.0056721338026606
PRKCE	1319.23219371731	-0.504307335903907	0.117570231377749	-4.28941348497975	1.79145579433415e-05	0.00601187854843446
ASAP1	6253.69641858436	-0.290325583269794	0.0681229285009311	-4.26178952752781	2.02796396941952e-05	0.00622014550225364
SERPINE2	51709.0822296449	0.382402209512226	0.0895913247000364	4.26829506978002	1.96972667253488e-05	0.00622014550225364
HTRA1	4907.66180659144	0.447028561923527	0.104938949205515	4.25989173045803	2.04525951574308e-05	0.00622014550225364
TXNRD1	18983.9836945867	-0.216183600462055	0.0510915716004088	-4.23129674210933	2.32347900181035e-05	0.00685215080170254
