baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AMOTL2	4759.94464483463	-0.509589720568184	0.0915058759802209	-5.56892893608638	2.5630998766047e-08	0.00021066117885814
DAXX	774.291273762125	1.35970666286749	0.251339400613272	5.40984286407061	6.3080072962039e-08	0.000256983534790842
PHLDB2	4203.96605816782	-0.35360253811887	0.0662382848658237	-5.33834079241558	9.3801022554146e-08	0.000256983534790842
TRAM2	8277.81173074551	-0.290988212207615	0.055051084172614	-5.28578531342297	1.251666193691e-07	0.000257186111148658
MT-ND5	37987.9680367651	0.220307321855831	0.0425714903457583	5.17499669535957	2.27915014895388e-07	0.000374646701485039
ASAP1	4160.0222646311	-0.268403528460944	0.0529056269050915	-5.07325107294238	3.91075955259909e-07	0.000459179039468741
CAV1	12679.6591355255	-0.33365585483928	0.0655077802297096	-5.09337751438504	3.51740324026031e-07	0.000459179039468741
GPNMB	1941.06302843484	0.282023258484088	0.0558716408896752	5.04769958414099	4.47161540529287e-07	0.000459402587701276
RBMS2	2119.27501435685	-0.403529125259104	0.0804805402312815	-5.01399622939234	5.33110316004942e-07	0.000486848187471624
JUN	1392.43886632144	-0.382094699425404	0.0778758233855354	-4.90646111738414	9.27343623422377e-07	0.000762183724090851
CRIM1	8493.18220587717	-0.530044416852586	0.110230728433488	-4.80849962968728	1.52067310650352e-06	0.0011362192965775
AZIN1	7402.74087413828	-0.17084407501511	0.035936912920499	-4.7539997493123	1.99431283994057e-06	0.00126086594088243
MT-ND6	7469.73722312658	0.305515727865815	0.0641911686052823	4.75946667592954	1.94105168284072e-06	0.00126086594088243
PCLO	743.652741416953	-0.499589566673174	0.106177673327889	-4.70522239765398	2.53589356188209e-06	0.00148875065607921
TGFB2	1783.78583607711	-0.55625227872944	0.12058087833548	-4.61310521542095	3.96697360682853e-06	0.00217363707163491
LOXL2	9290.28543804781	-0.271458406425988	0.059690755352633	-4.54774620998349	5.42234675770443e-06	0.0027853917500983
UBASH3B	1899.07264798586	-0.273791946927188	0.0612026330978482	-4.47353215162264	7.69379832503715e-06	0.00371972520196943
ZC3H7B	4785.71652315878	-0.161275081772502	0.0364640190497535	-4.42285535098172	9.74049580800182e-06	0.00444761861366483
PTPRF	11261.2123597323	-0.367077612044979	0.0845395768809626	-4.34208007170239	1.41140072699736e-05	0.0061054224079954
MBNL2	1820.23123786286	-0.220158525538269	0.0519899654892918	-4.23463496207965	2.28923266046037e-05	0.00940760161816191
NQO1	28611.2086481234	0.325962344299922	0.0779371592104271	4.18237394847607	2.88480965944067e-05	0.0112905955194966
FASN	15586.2090741999	-0.150764551440812	0.0362229237025205	-4.16213093893138	3.15291461719692e-05	0.0117790023812461
PTX3	1336.99849500394	-0.713315801754639	0.173637476504604	-4.10807514664453	3.98970303147585e-05	0.0142571170503044
RBM14	2123.41597251238	-0.209263713571982	0.0511236606732639	-4.09328500377556	4.25304426438583e-05	0.0145649045037446
AJUBA	2921.66093341827	-0.514514850610962	0.128020297501746	-4.01900995897894	5.84432008613099e-05	0.0151894480996049
ARHGAP29	3437.35881174162	-0.456341560487096	0.113624621195646	-4.01622074234544	5.9138865943224e-05	0.0151894480996049
EPAS1	2710.88437904317	-0.253527749011883	0.0625931807419123	-4.05040526790359	5.11290054933471e-05	0.0151894480996049
LATS2	1059.02158483947	-0.35405087945553	0.0879572415910596	-4.02526128663314	5.69120877088677e-05	0.0151894480996049
PCNX4	2153.78258509717	-0.227315943291786	0.0560059357268928	-4.05878306185739	4.93291132713125e-05	0.0151894480996049
PTBP1	11789.5891075106	-0.166659785265162	0.0414452303557424	-4.02120542785379	5.79010821776289e-05	0.0151894480996049
ZEB2	1608.57359704896	-0.256966712920455	0.0633063051473193	-4.05910141687263	4.9261916506707e-05	0.0151894480996049
LATS2.1	1059.02158483947	-0.35405087945553	0.0879572415910596	-4.02526128663314	5.69120877088677e-05	0.0151894480996049
CAV2	1821.09239771278	-0.291601726938136	0.0732812582961338	-3.97921288086725	6.91438079928877e-05	0.0159727527374729
CTSK	2038.65143611299	0.311802072748279	0.0784128722930488	3.97641437725933	6.99621728372096e-05	0.0159727527374729
MED15	2542.50379952079	-0.182540520946996	0.0457596801184472	-3.98911269647203	6.63209093889701e-05	0.0159727527374729
TSC22D2	1708.70855361203	-0.255074613240957	0.0639863494144255	-3.9863910908387	6.70858997504859e-05	0.0159727527374729
EPHA2	5469.05346452194	-0.416990451502295	0.105754966706719	-3.94298692995382	8.04730425814622e-05	0.0178758901885686
SLC7A1	6966.78602438177	-0.26316915712309	0.0669332070127422	-3.93181753674212	8.43060450446412e-05	0.0182345101111028
MAP3K20	2607.03217415915	-0.180023651788934	0.0458917380614258	-3.92279001392306	8.75294345067093e-05	0.0184462672361704
FGF2	2036.57005265787	-0.319528615362685	0.083323510406217	-3.8347954113422	0.000125668852787632	0.0258218075265388
ANKRD13A	1812.31252101423	-0.260206134810601	0.0681845427613853	-3.81620414646181	0.000135520393222257	0.0271668807778958
SEC14L1	3115.36934636242	-0.220458484933769	0.0584967185769359	-3.76873250836827	0.000164078604887452	0.0299680456348882
