baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AAAS	1462.16032928304	-2.68339758559427e-08	0.0957189901943888	-2.80341192499498e-07	0.999999776320091	0.999999999882353
AACS	1322.72487056374	-3.35224071000991e-08	0.111210880244515	-3.01431002311957e-07	0.999999759492857	0.999999999882353
AAED1	411.171790078903	-4.20747509943651e-08	0.134054990840412	-3.13861876611918e-07	0.999999749574454	0.999999999882353
AAGAB	1968.53376856031	-2.06543496985806e-08	0.0851727163029404	-2.4249960075381e-07	0.999999806513313	0.999999999882353
AAK1	1619.2823202089	-2.92351285779615e-08	0.109607734690015	-2.66725050569125e-07	0.9999997871842	0.999999999882353
AAMDC	225.819019690774	-1.20571617079056e-07	0.245476881220949	-4.91173003662745e-07	0.999999608100644	0.999999999882353
AAMP	4258.0668386788	-1.32068714095493e-08	0.0644764219273864	-2.04832573129181e-07	0.999999836567252	0.999999999882353
AAR2	1754.40158835629	-2.14734544333884e-08	0.0879153792582084	-2.4425139963647e-07	0.999999805115579	0.999999999882353
AARS	9603.04137818873	-3.47703685159208e-08	0.0976590405117149	-3.56038399862733e-07	0.999999715922458	0.999999999882353
AARS2	1180.79860179547	-1.90152548043819e-08	0.0854764263636848	-2.22461977100866e-07	0.999999822501023	0.999999999882353
AARSD1	972.483392307736	-6.03409269787552e-08	0.147047397431016	-4.10350186626476e-07	0.999999672587922	0.999999999882353
AASDH	408.721736946538	-4.47055746409241e-08	0.140686588172564	-3.17767139153938e-07	0.999999746458506	0.999999999882353
AASDHPPT	2257.75741144332	-2.86087834209482e-08	0.100263862590338	-2.85334942040275e-07	0.999999772335655	0.999999999882353
AASS	577.657589879991	-8.30967427984498e-08	0.19041735680025	-4.36392691269311e-07	0.999999651809009	0.999999999882353
AATF	1723.78462512385	-3.92428859064232e-08	0.114053653284489	-3.44073905362225e-07	0.999999725468743	0.999999999882353
AATF.1	1723.78462512385	-3.92428859064232e-08	0.114053653284489	-3.44073905362225e-07	0.999999725468743	0.999999999882353
ABAT	233.235844491961	-1.24166251458326e-07	0.256953793876207	-4.83224044234761e-07	0.999999614442996	0.999999999882353
ABCA1	401.349285917848	-1.66801991056911e-07	0.318144218836208	-5.24296784857772e-07	0.99999958167169	0.999999999882353
ABCA12	4.33160002552503	-6.25305324770164e-07	1.26797271063293	-4.93153614053752e-07	0.999999606520345	0.999999999882353
ABCA13	86.2326869124239	-1.72772168840524e-07	0.33156820009106	-5.21075811230011e-07	0.999999584241655	0.999999999882353
ABCA2	1602.83191652998	-2.87341057653764e-08	0.108003329653513	-2.66048332561217e-07	0.999999787724143	0.999999999882353
ABCA3	368.47869427187	-1.09883136358604e-07	0.374739392620681	-2.93225474883101e-07	0.999999766039921	0.999999999882353
ABCA4	11.5864292574317	-4.180134554976e-08	1.06932206340109	-3.9091445861321e-08	0.999999968809539	0.999999999882353
ABCA5	374.477609196001	-9.41759699908225e-08	0.223659652666373	-4.21068211758794e-07	0.999999664036175	0.999999999882353
ABCA7	564.947989167661	-4.80308238908671e-08	0.161719888447283	-2.9700010525622e-07	0.999999763028201	0.999999999882353
ABCB10	857.879513742061	-3.37415513349015e-08	0.114179919370849	-2.95512131387229e-07	0.999999764215433	0.999999999882353
ABCB6	1387.57433675119	-3.11083250584004e-08	0.108447168723268	-2.86852348702452e-07	0.99999977112494	0.999999999882353
ABCB7	704.799469005954	-2.37251556215028e-08	0.0966396007586288	-2.45501382820897e-07	0.999999804118237	0.999999999882353
